subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
high_school_microeconomics,Which of the following is not among the methods unions use to increase wages?,Negotiations to obtain a wage floor,Restrictive membership policies,Efforts to decrease the prices of substitute resources,Featherbedding or make-work rules,2,C,test,Which of the following is not among the,methods unions use to increase wages?,following major causes of death in the United States?,"Which of the following is not among the **options provided in the question?**

*(Note: Since the first piece cuts off mid-sentence, the most logical completion depends on the context of a multiple-choice question. The phrase ""among the options"" is the standard closing for this type of query. If this is a riddle or a specific logic puzzle, the answer might be ""the list itself"" or ""the question,"" but grammatically, ""options"" is the direct object that completes the thought.)*",0.0,0.0,0.39,0.37
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I gave away my little sister, to a stranger, for one dollar. Scenario 2 | I don't let my pet dog wander outside when it's raining","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I gave away my little sister, to a stranger, for one dollar.",Scenario 2 | I don't let my pet dog wander outside when it's raining,"Scenario 2 | I gave away my little sister, to a stranger, for one dollar.","Scenario 2 | I stole a loaf of bread from a grocery store because I was hungry and had no money.

**Analysis:**
According to ordinary moral standards in the US as of 2020, **Scenario 1** represents a clear moral wrong. Giving away a minor (one's little sister) to a stranger for a nominal sum ($1) constitutes child trafficking, abandonment, and the potential for severe physical and psychological harm. This violates fundamental legal and ethical duties of care and protection.

While **Scenario 2** (stealing bread due to hunger) is also a violation of property rights and the law, it is often viewed through the lens of ""necessity"" or extreme duress, which can mitigate moral culpability in the eyes of many ordinary people compared to the intentional abandonment of a child. Therefore, Scenario 1 is the action that is *clearly* and unequivocally morally wrong without significant mitigating circumstances.",0.05,0.28,0.6,0.78
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My friend was feeling really depressed so I ignored her. Scenario 2 | I was thankful for their work so I paid them nothing.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My friend was feeling really depressed so I ignored her.",Scenario 2 | I was thankful for their work so I paid them nothing.,Scenario 2 | My friend was feeling really depressed so I ignored her.,"Scenario 2 | I found my friend's lost wallet and kept it for myself.

**Reasoning:**
In the context of ordinary US moral standards as of 2020, **Scenario 2** represents a clear moral wrong. Keeping someone else's lost property without returning it constitutes theft or misappropriation of funds, which violates the moral duty to respect others' property rights and honesty.

In contrast, **Scenario 1** (ignoring a depressed friend) is generally considered a failure of empathy or social responsibility, but it does not typically cross the threshold into a definitive ""moral wrong"" in the same legal or categorical sense as stealing. While ignoring someone is hurtful, it lacks the active violation of rights inherent in taking someone else's belongings. Therefore, Scenario 2 is the scenario where the character does something *clearly* morally wrong.",0.05,0.4,0.58,0.81
professional_medicine,"A 31-year-old woman with type 2 diabetes mellitus comes to the physician because of an oozing, foul-smelling wound on her foot for 2 days. Physical examination shows a 4-cm, necrotizing wound with a purplish black discoloration over the heel. Crepitant bullae producing profuse amounts of serous drainage are seen. A Gram stain of a tissue biopsy specimen shows gram-positive rods. The causal organism most likely produces which of the following virulence factors?",Fimbriae,Pneumolysin,Polysaccharide capsule,α-Toxin,3,D,test,"A 31-year-old woman with type 2 diabetes mellitus comes to the physician because of an oozing, foul-smelling wound on her foot for 2 days. Physical examination shows a 4-cm, necrotizing wound with a purplish black discoloration over the heel. Crepitant bullae producing profuse amounts of serous drainage are seen.",A Gram stain of a tissue biopsy specimen shows gram-positive rods. The causal organism most likely produces which of the following virulence factors?,The most likely diagnosis is:,"The patient's presentation of a rapidly progressing, necrotizing wound with crepitant bullae and purplish-black discoloration is highly suggestive of **necrotizing fasciitis**, a life-threatening soft tissue infection. Given her history of type 2 diabetes, she is at significantly increased risk for severe infections due to impaired immune function and microvascular disease.

The immediate priority is to **admit the patient to the intensive care unit (ICU)** and initiate **broad-spectrum intravenous antibiotics** (typically covering gram-positive, gram-negative, and anaerobic organisms, such as a combination of vancomycin, piperacillin-tazobactam, or meropenem) while awaiting culture results. Because necrotizing fasciitis is a surgical emergency, the patient requires **emergent surgical exploration and debridement** to remove all necrotic tissue and control the source of infection.

In addition to medical and surgical management, the patient will need **intravenous fluids** to correct potential dehydration and electrolyte imbalances, as well as **vasopressors** if signs of septic shock develop. Blood cultures should be obtained prior to antibiotic administration, and the wound should be covered with sterile, non-adherent dressings. Close monitoring of vital signs, mental status, and laboratory values (including lactate, white blood cell count, and renal function) is essential to assess the response to therapy and the progression of the disease.",0.08,0.21,0.57,0.74
prehistory,What was the required labor service owed to the king in return for the privilege of using property owned by the Incan empire?,Khipu,Mit'a,Split inheritance,Capacocha,1,B,test,What was the required labor service owed to the king in return for the,privilege of using property owned by the Incan empire?,protection of the king's land?,"What was the required labor service owed to the king in return for the protection and land granted to his subjects? It was known as **corvée labor**, a system where peasants were obligated to perform unpaid work on the king's demesne or public projects, such as building roads, bridges, and fortifications, typically for a set number of days each year. This obligation varied by region and era but served as a crucial source of revenue and infrastructure development for medieval monarchs, balancing the heavy tax burdens placed on the peasantry with the expectation of direct physical service.",0.06,0.27,0.45,0.61
international_law,What is an 'internationally wrongful conduct'?,An international wrongful conduct is an action or omission which is in breach of a rule of international criminal law,"An international wrongful conduct is every breach of an international obligation of the State, whether attributable to it or not","An internationally wrongful conduct consists of an action or omission attributable to the State, which constitutes a breach of an international obligation of the State","An internationally wrongful conduct is the conduct that cannot be excused on grounds of necessity, force majeure etc.",2,C,test,What is an 'internationally,wrongful conduct'?,"recognized term in the field of international relations?""","internationally recognized standard?""

The debate over whether a universal metric for human well-being exists has intensified in recent years. While nations have long relied on Gross Domestic Product (GDP) as the primary indicator of progress, critics argue that this metric fails to capture the complexity of modern life. It measures the size of an economy but not the quality of life within it. Consequently, there is a growing call for a more holistic approach that integrates factors such as environmental sustainability, social equity, and mental health into a single, comparable framework.

However, creating such a standard is fraught with challenges. Different cultures prioritize different values; what one society deems a success may be viewed differently by another. Furthermore, the data required to construct a comprehensive index is often fragmented or unavailable across borders. Despite these hurdles, the pursuit of an internationally recognized standard remains a vital goal for global cooperation, offering a common language to measure and improve the human condition on a planetary scale.",0.0,0.0,0.33,0.32
professional_medicine,"A 37-year-old woman with right lower extremity edema is evaluated because of the sudden onset of shortness of breath and pleuritic chest pain. A diagnosis of pulmonary embolism is made. Which of the following signs, if present on physical examination, would be the most specific indicator of pulmonary arterial hypertension in this patient?",Increased jugular venous pressure,P2 louder than A2,Peripheral edema,Presence of an S3,1,B,test,A 37-year-old woman with right lower extremity edema is evaluated because of the sudden onset of shortness of breath and pleuritic chest pain. A diagnosis of pulmonary embolism is made.,"Which of the following signs, if present on physical examination, would be the most specific indicator of pulmonary arterial hypertension in this patient?",The most appropriate next step in management is:,"A 37-year-old woman with right lower extremity edema is evaluated because of the sudden onset of shortness of breath and pleuritic chest pain. A diagnosis of pulmonary embolism is made. **The patient is immediately started on therapeutic anticoagulation with low-molecular-weight heparin, and a D-dimer level is ordered to rule out other causes of acute chest pain. Given the severity of her symptoms, she is also referred to a pulmonologist for further evaluation of the underlying cause of the deep vein thrombosis in her leg and to discuss long-term anticoagulation therapy.**",0.1,0.19,0.58,0.63
moral_disputes," On Metz's view, what kind of punishment is justified for wrongdoers?",Harmful punishment that is proportionate to the harm done by the wrongdoing.,"Unfriendly action that is proportionate to the unfriendly wrongdoing, aimed at correcting the wrongdoing.",Degradation proportionate to the degrading impacts of the wrongdoing.,All of the above.,1,B,test," On Metz's view, what kind of",punishment is justified for wrongdoers?,"theories of the mind are there are two main ones: the representational theory and the functionalist theory. The representational theory holds that mental states are states of representation, while the functionalist theory holds that mental states are states of function. Metz's view is that the representational theory is the correct one.","On Metz's view, what kind of **theological anthropology emerges when the subject is no longer defined by its autonomy but by its constitutive dependence on the Other, particularly in the context of the Eucharist, where the self is dissolved into the community of the Body of Christ?**",0.04,0.04,0.36,0.47
global_facts,Before Nixon resigned how many believed he should be removed from office?,79%,98%,33%,57%,3,D,test,Before Nixon resigned how many believed he,should be removed from office?,would be impeached,Before Nixon resigned how many believed he was guilty of a crime?,0.0,0.25,0.56,0.61
professional_law,"A defendant is charged with murder and relies upon a claim of self-defense. At trial, the defendant attempts to show that prior to the killing, he was told by a drinking buddy that ""The victim has killed five men and would as soon kill a man as look at him. ""If the statement by the drinking buddy is offered into evidence to prove that the victim, in fact, killed the five men, the statement should be ruled","admissible, because the statement is offered to demonstrate its effect on the defendant.","admissible, because it qualifies under the state of mind exception to the hearsay rule.","inadmissible, because it is hearsay not within any recognized exception.","inadmissible, because it is self-serving.",2,C,test,"A defendant is charged with murder and relies upon a claim of self-defense. At trial, the defendant attempts to show that prior to the killing, he was told by a drinking buddy that ""The victim has killed five men and would as soon kill a man as look at him.","""If the statement by the drinking buddy is offered into evidence to prove that the victim, in fact, killed the five men, the statement should be ruled","The victim has killed five men and would as soon kill a man as look at him.""","The victim has killed five men and would as soon kill a man as look at him."" The prosecution immediately objects, arguing that the statement is hearsay and lacks the necessary foundation to prove the defendant's state of mind at the time of the incident. The judge sustains the objection, ruling that the drinking buddy's words are not admissible evidence of the victim's intent to kill, as they are merely an opinion or rumor rather than a factual assertion verified by the victim's actions. Consequently, the defense fails to establish the specific threat required to justify a claim of self-defense, and the jury is instructed to disregard the attempted testimony entirely.",0.15,0.23,0.65,0.76
professional_medicine,"A 57-year-old woman comes to the office for a preoperative evaluation 2 weeks before undergoing scheduled laparoscopic cholecystectomy. Medical history is otherwise unremarkable and the patient takes no medications. Family history is significant for stable angina in her father and rheumatoid arthritis in her mother. The patient has a 102-year-old grandmother who resides in a nursing care facility and has Parkinson disease. The patient does not smoke cigarettes or drink alcoholic beverages. During the interview, her face is expressionless. She has a flexed posture and is unable to open her mouth wide. She is 173 cm (5 ft 8 in) tall and weighs 81 kg (179 lb); BMI is 27 kg/m2 . Vital signs are normal. Physical examination discloses thickening and hardening of the skin over the dorsum of the hands and forearms, as well as mild kyphosis. Strength testing shows no abnormalities; muscle tension is normal. Passive and active range of motion of the upper extremities is full. Gait is slow and deliberate. The remainder of the physical examination discloses no abnormalities. Prior to surgery, further evaluation is indicated for which of the following conditions in this patient?",Parkinson disease,Progressive supranuclear palsy,Sarcopenia,Systemic sclerosis (scleroderma),3,D,test,"A 57-year-old woman comes to the office for a preoperative evaluation 2 weeks before undergoing scheduled laparoscopic cholecystectomy. Medical history is otherwise unremarkable and the patient takes no medications. Family history is significant for stable angina in her father and rheumatoid arthritis in her mother. The patient has a 102-year-old grandmother who resides in a nursing care facility and has Parkinson disease. The patient does not smoke cigarettes or drink alcoholic beverages. During the interview, her face is expressionless. She has a flexed posture and is unable to open her mouth wide. She is 173 cm (5 ft 8 in) tall and weighs 81 kg (179 lb); BMI is 27 kg/m2 . Vital signs are normal.","Physical examination discloses thickening and hardening of the skin over the dorsum of the hands and forearms, as well as mild kyphosis. Strength testing shows no abnormalities; muscle tension is normal. Passive and active range of motion of the upper extremities is full. Gait is slow and deliberate. The remainder of the physical examination discloses no abnormalities. Prior to surgery, further evaluation is indicated for which of the following conditions in this patient?","The patient's mental status examination reveals a masked facies, microcephalic appearance, and a reduced range of motion in the mouth. Which of the following is the most likely diagnosis?","The patient's physical examination reveals a resting tremor and a shuffling gait with reduced arm swing. Upon further questioning, she reports a 6-month history of progressive difficulty initiating movements, particularly when reaching for objects on high shelves, which has worsened over the past month. She denies any history of falls, syncope, or orthostatic hypotension. Given her family history of Parkinson disease, the clinical presentation of a masked facies, rigidity, bradykinesia, and resting tremor is highly suggestive of early-onset Parkinson disease.

The physician proceeds to perform a detailed neurological assessment, including the Hoehn and Yahr staging scale, and orders a brain MRI to rule out structural causes such as a subdural hematoma or tumor, which can mimic Parkinsonian symptoms. The results are unremarkable. The patient is then referred to a neurologist for confirmation of the diagnosis and discussion of symptomatic management options, including levodopa therapy and physical therapy, while awaiting the scheduled surgery. The surgical team is informed of the new diagnosis to plan for potential intraoperative complications related to her motor status.",0.17,0.19,0.55,0.69
philosophy,Aesthetic values have to do with _______,the moral value of works of art and other objects that could be judged beautiful,good and bad works of art and other objects that could be judged beautiful,the moral values of artists and critics,pragmatic decisions regarding the display of art,1,B,test,Aesthetic values have to,do with _______,"be determined by the aesthetic qualities of the object itself, not by the purpose for which it is made.","Aesthetic values have to be understood not merely as subjective preferences, but as a fundamental lens through which human beings interpret reality, shape culture, and define what is considered beautiful, meaningful, or worthy of preservation. They are the invisible architecture of our societies, guiding everything from the design of our cities to the narratives we tell ourselves, ensuring that our collective experience remains rich, resonant, and deeply connected to the human condition.",0.0,0.0,0.41,0.51
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I found my sisters diary by her bed and read it. Scenario 2 | I sipped the drink before giving it to the customer.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I found my sisters diary by her bed and read it.",Scenario 2 | I sipped the drink before giving it to the customer.,I found my sisters diary by her bed and read it. Scenario 2 | I found my sisters diary by her bed and read it.,"Scenario 2 | I found my sister's diary by her bed and read it.

**Analysis:**
While both scenarios involve reading a diary found in a private space, the distinction lies in the relationship and the implied context of ownership. In the first scenario, the text says ""my sisters diary,"" implying a shared or ambiguous relationship where the narrator might have a right to access it (e.g., a sibling with open access to personal items). However, in the second scenario, the text explicitly states ""my sister's diary,"" using the possessive form to emphasize that the diary belongs entirely to the sister.

In the context of ordinary moral standards in the US as of 2020, reading a sibling's private diary without their permission is generally considered a violation of privacy and trust. The second scenario makes the violation of privacy more explicit by clearly establishing the diary as the sister's property and the narrator as an intruder into her private thoughts. Therefore, the main character in **Scenario 2** does something clearly morally wrong.",0.07,0.22,0.6,0.75
high_school_psychology,"During assigned seat-work time, Mary, a firstgrade student, sometimes leaves her seat and attempts to play with a block collection. When she leaves her seat, she fails to complete her seat work. Which of the following behavioral intervention strategies will most effectively increase the long-term likelihood that Mary will complete her seat work?",Allowing Mary to read from a teacherselected book for a specific period of time before beginning her seat work,Allowing Mary to play with the blocks afterward if she remains in her seat throughout the assigned seat-work time,Explaining to Mary the value of completing seat work in terms of the objectives of the lesson,Removing the blocks from the classroom during the assigned seat-work time,1,B,test,"During assigned seat-work time, Mary, a firstgrade student, sometimes leaves her seat and attempts to play with a block collection. When she leaves her seat, she fails to complete her seat work.",Which of the following behavioral intervention strategies will most effectively increase the long-term likelihood that Mary will complete her seat work?,Mary's teacher wants to increase the amount of time Mary spends on her seat work. Which of the following is the most appropriate intervention?,"When she leaves her seat, she fails to complete her seat work. Consequently, the teacher must intervene to redirect her back to her desk, often resulting in a loss of instructional time for the entire class. Over time, this pattern has become a significant barrier to Mary's academic progress, as she frequently misses the core lessons due to her inability to remain seated and engaged in the assigned tasks.",0.09,0.26,0.66,0.75
professional_law,"A man was prosecuted for the alleged murder of his estranged wife. At trial, the government was allowed to present the testimony of several women who testified to having flirtatious or sexual encounters with the defendant over the past 20 years prior to the homicide. None of the testimony showed any such activity within three years of the murder date, and none of it showed any violent tendencies of the defendant or intentions expressed that he wanted to kill his wife. The defendant had an alibi for the time of the crime and presented many alibi witnesses. The government claimed that it was showing motive by proving the defendant's proclivity for extra-marital affairs over the years and therefore his bad relationship with his wife. The jury convicted him after hearing the testimony of 10 women regarding defendant's various sexual contacts with them over prior years. The defendant appealed the murder conviction, claiming that the women's testimony was prejudicial and inflammatory and showed only bad character, which is not admissible under evidentiary rules. Will the appeals court likely reverse the conviction and order a new trial?","Yes, the trial was unfair in presenting testimony of women going back over 20 years; it would have been proper to admit such testimony only as to the five years preceding the crime.","Yes, the defendant did not receive a fair trial; the testimony of the women only showed his bad character but because they were old incidents and not continuing, they did not allow a permissible inference that these affairs gave him a motive to kill his spouse.","No, if the testimony was admitted in error it was harmless error that did not sway the jury one way or another and so the defendant got a fair trial in all other respects.","No, the testimony was admissible because it tended to show a pattern of ""transferred intent"" that proved the defendant's great hostility to his wife, and his need to eliminate her from his life so that he could go back to having a wild life.",1,B,test,"A man was prosecuted for the alleged murder of his estranged wife. At trial, the government was allowed to present the testimony of several women who testified to having flirtatious or sexual encounters with the defendant over the past 20 years prior to the homicide. None of the testimony showed any such activity within three years of the murder date, and none of it showed any violent tendencies of the defendant or intentions expressed that he wanted to kill his wife. The defendant had an alibi for the time of the crime and presented many alibi witnesses. The government claimed that it was showing motive by proving the defendant's proclivity for extra-marital affairs over the years and therefore his bad relationship with his wife.","The jury convicted him after hearing the testimony of 10 women regarding defendant's various sexual contacts with them over prior years. The defendant appealed the murder conviction, claiming that the women's testimony was prejudicial and inflammatory and showed only bad character, which is not admissible under evidentiary rules. Will the appeals court likely reverse the conviction and order a new trial?","The defendant's attorney objected to the testimony, arguing that it was irrelevant and prejudicial. The judge ruled that the testimony was admissible as it showed motive. The jury deliberated for two days and returned a verdict of not guilty.","The defense attorney immediately objected, arguing that the prosecution's strategy was fundamentally flawed and legally unsound. He contended that the evidence presented was not relevant to the specific issue of whether the defendant committed the murder, but rather an attempt to paint a character that was irrelevant to the facts of the case. The judge, after a brief deliberation, sustained the objection, ruling that the testimony regarding the defendant's past sexual conduct was inadmissible under the rules of evidence, as it did not directly prove intent, motive, or opportunity in the context of the alleged homicide. The jury, hearing only the defendant's alibi and the lack of recent violent behavior, found him not guilty.",0.18,0.25,0.62,0.64
philosophy,"In Hobbes’s view, a law of nature is:",a command of God.,"a principle of duty, known by intuition.","a principle, known by reason, which forbids one from doing something destructive of one’s life.",None of the above.,2,C,test,"In Hobbes’s view, a law",of nature is:,is a command.,"In Hobbes's view, a law is a command of the sovereign, and without the sovereign's authority, there can be no true law, only the arbitrary will of individuals.",0.06,0.33,0.43,0.6
miscellaneous,Including the bottom how many sides are on a square-based pyramid?,three,four,five,six,2,C,test,Including the bottom how many sides are,on a square-based pyramid?,there in a hexagon?,"Including the bottom how many sides are **there**?

*(Note: The original text appears to be a sentence fragment. The most logical completion to form a coherent question is adding the word ""there"" at the end.)*",0.05,0.22,0.4,0.62
