id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
9429,https://ymnik.kz/tests_old/history_kz/?v=87,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Орта ғасырлық Қазақстанда буддизм таралған аймақ,Оңтүстік Қазақстан,Шығыс,Солтүстік,Батыс,Орталық,A,test,Орта ғасырлық Қазақстанда буддизм,таралған аймақ,"А. Тарихи деректер мен білім негізінде шешілді  
Б. Мифологиялық түзетілмеген  
В. Миллионындағы көптеген адамдардың  
Г. Дәстүрлі мәдениеттің",Осы кезеңде буддизм Қазақстан аймағында мұндай терең таралумен аяқталды және ол кейіннен монгол империясында ерекше құндылыққа айналды.,0.0,0.0,0.51,0.21,No
1670,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),"Ученый, показавший, что серповидная анемия вызывается наличием в эритроцитах дефектного гемоглобина",Л. Полинг,Я. Беккори,Э. Фишер,Ф. Мишер,,A,test,"Ученый, показавший, что серповидная анемия вызывается наличием",в эритроцитах дефектного гемоглобина,генетических мутаций,"мутаций в гене, ответственного за синтез гемоглобина",0.0,0.0,0.76,0.62,No
21509,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),1813 жылы болған Лейпциг түбіндегі шайқастың тарихи атауы:,Аустерлиц түбіндегі шайқас,«Халықтар майданы»,«Қасиетті соғыс»,Ватерлоо шайқасы,,B,test,1813 жылы болған Лейпциг түбіндегі,шайқастың тарихи атауы:,қандай,бірінші,0.0,0.0,0.43,0.49,No
778,https://ymnik.kz/tests_old/biology_kz/?v=2,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Төс сүйегінде қыры болмайтын құс:,Тауық.,Түйеқұс.,Тырна.,Жапалақ.,Қаз.,B,test,Төс сүйегінде қыры,болмайтын құс:,Дұрыс жауап: Есептеу,"Төс сүйегінде қыры, бірақ оған қарай дауды.",0.0,0.0,0.32,0.29,No
14110,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Өрнекті ықшамдаңыз.
 \((2\sqrt{a}+\sqrt{b})(\sqrt{a}-5\sqrt{b})\)",\(2a+5b-9\sqrt{ab}\),\(2a-5b-9\sqrt{ab}\),\(2a-5b+9\sqrt{ab}\),\(2a+5b-\sqrt{ab}\),,B,test,Өрнекті ықшамдаңыз.,\((2\sqrt{a}+\sqrt{b})(\sqrt{a}-5\sqrt{b})\),Түзетіңіз.,Өрнекті ықшамдаңыз. Сондай-ақ оны қолданудың тиімді жолдарын табыңыз.,0.0,0.0,0.67,0.55,No
11797,https://itest.kz/kz/endless,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),Есім ханның тұсында өмір сүрген жырауды көрсетіңіз.,Асан қайғы,Жиембет,Доспамбет,Шалкиіз,,B,test,Есім ханның тұсында өмір,сүрген жырауды көрсетіңіз.,Жауап: Д,Тұсында елге түсу барын жазды.,0.0,0.0,0.26,0.33,No
9890,https://ymnik.kz/tests_old/history/?v=78,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),"В 90-х годах по новым законам республики, иностранные инвесторы освобождались от уплаты налога на прибыль в течение:",2 лет.,6 лет.,5 лет.,4 лет.,3 лет.,C,test,"В 90-х годах по новым законам республики, иностранные инвесторы освобождались",от уплаты налога на прибыль в течение:,в том случае если они были освобождены от налоговых ограничений,и не предусматривались никаких запретов для вывода средств.,0.0,0.0,0.64,0.56,No
2543,https://oltest.kz/tests/biologiya/,STEM,Biology,University,Russian,Biology (Professional & University in rus),К какой группе мышц отностся поперечная грудная мышца:,мышцы шеи,"
мышцы грудныx стенок",мышцы плечевого пояса,"
мышцы позвоночного столба",мышцы брюшных стенок,B,test,К какой группе мышц отностся,поперечная грудная мышца:,Ответов:,относится к скелетным мышцам,0.0,0.0,0.32,0.41,No
791,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Плазмалемма арқылы ішінде сұйық заттары бар көпіршіктердің клеткаға өтуін:,Тыныс алу,Пиноцинтоз,Фагоцитоз,Жұтыну,,B,test,Плазмалемма арқылы ішінде сұйық заттары,бар көпіршіктердің клеткаға өтуін:,... ерекше болып қалады.,...қорғау қызметін атқарады,0.0,0.0,0.45,0.35,No
19846,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),Родина Г.Х. Андерсена,Норвегия,Дания,Англия,Швеция,,B,test,Родина Г.Х.,Андерсена,— мұндай,Историю этой страны мы будем писать с любовью к земле,0.0,0.0,0.26,0.19,No
2304,https://ymnik.kz/tests_old/biology/?v=66,STEM,Biology,High School,Russian,Biology (High School in rus),Превращают перегной в минеральные вещества бактерии,Уксусные,Болезнетворные,Клубеньковые,Почвенные,Молочнокислые,D,test,Превращают перегной в минеральные,вещества бактерии,минеральными удобрениями,удобрения,0.0,0.0,0.7,0.5,No
5351,https://oltest.kz/tests/vospitanie_i_obuchenie/,Humanities,Education and training ,University,Russian,Education and Training (Professional & University in rus),"Взаимодействие участников педагогического процесса, дающий наибольший эффект:
","Авторитарное руководство
","Коммунарная методика
","Самоуправление
","Либеральное руководство
","Педагогика сотрудничества
",E,test,"Взаимодействие участников педагогического процесса,","дающий наибольший эффект:
",обеспечивающие критерии успеха.,"которое способствует формированию мотивации и сотрудничества, а также создает базу для эффективной реализации педагогических задач.",0.0,0.0,0.72,0.68,No
900,https://ymnik.kz/tests_old/biology_kz/?v=27,STEM,Biology,High School,Kazakh,Biology (High School in kaz),"Ішекқуыстары арқылы шоғырласып жалғасқан, әшекей заттарын жасауға пайдаланылатын жәндік:",Кебісше.,Гидра.,Медуза.,Қызыл маржан.,Актиния.,D,test,"Ішекқуыстары арқылы шоғырласып жалғасқан, әшекей",заттарын жасауға пайдаланылатын жәндік:,Дұрыс жауапты белгілеу,әлемдегі қауымға,0.0,0.0,0.52,0.39,No
5665,https://oltest.kz/tests/finansy_i_kredit/,"Social Science





","Finance, credit, insurance ",University,Russian,Finance (Professional & University in rus),"Пенсионные активы накопительных пенсионных фондов формируются за счет
","только пенсионных взносов
","пенсионных взносов, инвестиционного дохода, средств, поступивших в качестве пени и возмещения убытков
","пенсионных взносов, инвестиционного дохода, средств, поступивших в качестве пени
","пенсионных взносов, инвестиционного дохода образуемого за счет инвестиционной деятельности, за минусом комиссионных вознаграждений накопительным пенсионным фондам и компаниям по управлению пенсионными активами негосударственных накопительных фондов
","пенсионных взносов, инвестиционного дохода
",D,test,Пенсионные активы накопительных пенсионных фондов,"формируются за счет
",определяются законодательно.,Они играют ключевую роль в структуре финансовой системы и подлежат обязательному учету государством,0.0,0.0,0.54,0.68,No
19038,https://itest.kz/ru/endless,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),"Ряд звуков, не имеющих пару по твёрдости-мягкости","[й], [щ], [ц]","[м], [и], [р]","[ф], [л], [ц]","[ч], [п], [в]",,A,test,"Ряд звуков, не имеющих",пару по твёрдости-мягкости,различий,значений,0.0,0.0,0.47,0.59,No
13864,https://oltest.kz/tests/menedzhment_i_marketing/,"Social Science





",Management and Marketing ,University,Russian,Management and Marketing (Professional & University in rus),"Самостоятельное структурное подразделение организации, выполняющее определенную функцию или несколько функций менеджмента — это:
","Процесс менеджмента
","Технология менеджмента
","Система менеджмента
","Ступень менеджмента
","Звено менеджмента
",E,test,"Самостоятельное структурное подразделение организации, выполняющее определенную функцию или","несколько функций менеджмента — это:
",создается,или как отдельная структурная единица,0.0,0.0,0.52,0.45,No
2151,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),Формула цветка одуванчика,Ч(5) Л(5) Т0 П(3),Ч0 Л(5) Т(5) П1,Ч(5) Л5 Т∞ П(5),О3+3 Т3+3 П1,,B,test,Формула цветка,одуванчика,Ответ: 0,"Ведь это не просто набор компонентов, / Он говорит о том, что жизнь существует.",0.0,0.0,0.19,0.21,No
17067,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),"Кестеде әрқайсысының массасы 1 кг екі сұйықтардың жылулық сипаттамалары берілген. 100°C қайнау температурасындағы сұйықтықты толығымен буландыруға қажет жылу мөлшері 
 



 

\(c,\frac{Дж}{кг\cdot ºC}\)
(меншікті
жылусыйымдылығы)


\(\lambda,\frac{кДж}{кг}\)
(балқу
жылуы)


\(r,\frac{кДж}{кг}\)
(булану
жылуы)


\(T_қ,ºC\)
(қайнау
температурасы)


\(T_б, ºC\)
(балқу
температурасы)



I-сұйықтық
4200
335
2260
100
0


II-сұйықтық
2400
108
853
80
–110",335 кДж,2260 кДж,2400 Дж,835 кДж,,B,test,Кестеде әрқайсысының массасы 1 кг екі сұйықтардың жылулық сипаттамалары берілген.,"100°C қайнау температурасындағы сұйықтықты толығымен буландыруға қажет жылу мөлшері 
 



 

\(c,\frac{Дж}{кг\cdot ºC}\)
(меншікті
жылусыйымдылығы)


\(\lambda,\frac{кДж}{кг}\)
(балқу
жылуы)


\(r,\frac{кДж}{кг}\)
(булану
жылуы)


\(T_қ,ºC\)
(қайнау
температурасы)


\(T_б, ºC\)
(балқу
температурасы)



I-сұйықтық
4200
335
2260
100
0


II-сұйықтық
2400
108
853
80
–110","Осы іске қосу және тіркесу сипаттамаларын ескере отырып, екінші кезеңді толықтыру керек.","Бұл есептеу жүйесін пайдаланғанда, есептің шешімін табу үшін сұйықтардың есептеулеріне қатысты мәселелерді шешу керек.",0.0,0.0,0.43,0.42,No
14838,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Есептеңіз.
 \((-1)^{10}+(-1)^{11}+(-1)^{12}+...+(-1)^{21}\)",\(0\),\(2\),\(–1\),\(1\),,A,test,Есептеңіз.,\((-1)^{10}+(-1)^{11}+(-1)^{12}+...+(-1)^{21}\),Жауапты табу,Есептеңіз. Бұл есепті шығару үшін алдымен суретті анықтау керек.,0.0,0.0,0.51,0.36,No
9822,https://ymnik.kz/tests_old/history/?v=91,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Мамая на Куликовом поле разбил:,Иван Грозный,Святослав,Дмитрий Донской,Александр Невский,Ярослав Мудрый,C,test,Мамая на Куликовом,поле разбил:,— это шуточка,"Она вернулась ко дню, когда ветер шептал о том, что бы это стало для неё больше всего...",0.0,0.0,0.14,0.25,No
1492,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),Обмен газов в легких называется,Тканевым дыханием,Внешним дыханием,Клеточным дыханием,Внутренним дыханием,,B,test,Обмен газов в,легких называется,в лёгких,в лёгких,0.0,0.0,0.66,0.66,No
1819,https://ymnik.kz/tests_old/biology/?v=76,STEM,Biology,High School,Russian,Biology (High School in rus),Сухой односемянный плод - это:,Костянка,Стручок,Семянка,Ягода,Боб,C,test,Сухой односемянный плод,- это:,Сухой односемянный плод является,Находящиеся в этой местности и пригодные к использованию в пищу.,0.0,0.0,0.5,0.66,No
1112,https://ymnik.kz/tests_old/biology_kz/?v=37,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Микроэволюциялық даму жолының нәтижесі.,Тұқымқуалаушылық.,Тіршілік үшін күрес.,Қолдан сұрыптау.,Өзгергіштік.,Түрлердің көп түрлілігі.,E,test,Микроэволюциялық даму,жолының нәтижесі.,Микроэволюциялық даму – бұл табиғаттың өзгерістерін түсіну үшін,Бул процесс адамдардын жеке организмдеринде бир гана өзгөрүүлөрдөн келип чыккан организмдерди алат. Бул процесс жергиликтүү факторлор менен байланышы бар жана ал адамдардын организмдерине таасир этет жана адамдардын организмдерине катышат.,0.0,0.0,0.45,0.54,No
5970,https://oltest.kz/tests/obshcheobrazovatelnye_discipliny/,Others,General education disciplines,University,Russian,General Education Disciplines (Professional & University in rus),"Радиоактивность — это:
","масса атома
","самопроизвольный распад атомных ядер
","разновидность атомов с определенным массовым числом и атомным номером
","масса электрона
","атомы одного и того же элемента, имеющие разные массовые числа
",B,test,Радиоактивность —,"это:
",пособености атома распадаться на более легкие частицы,способностью ядра излучать излучения,0.0,0.0,0.23,0.37,No
19726,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Особенностью композиции пьесы А.Н. Островского «Снегурочка», является",наличие эпилога,наличие пролога,отсутствие кульминации,отсутствие завязки,,B,test,Особенностью композиции пьесы А.Н.,"Островского «Снегурочка», является",и его стиля,"Особенностью композиции пьесы А.Н. является стремление к глубокой реализации внутренних переживаний героев через детальную проработку их диалогической структуры, что позволяет раскрыть трагизм и достоинство личности персонажа без лишних внешних объяснений действия.",0.0,0.0,0.49,0.4,No
13139,https://itest.kz/kz/endless,Humanities,Law,High School,Kazakh,Law (High School in kaz),Дұрыс тұжырымды таңдаңыз,"Республиканың азаматтығынан шығу кезінде егер ол республикаға жүктелмеген міндеттерін орындамаса, бас тартуға болмайды.","Қазақстанда туған бала ата-анасының екеуі де белгісіз болса, ол – ҚР-ның азаматы емес.","Республикамызда тұрақты тұратын жері бар, азаматтығы жоқ адамдардың ҚР-ның аумағында туған баласы ҚР-ның азаматы болмайды.","Нәресте жарық дүниеге келген кезде оның ата-анасы ҚР-ның азаматтығында тұрған болса, онда сәби қай жерде туғанына қарамастан республика азаматы болады.",,D,test,Дұрыс тұжырымды,таңдаңыз,Тұжырымын,Осы есеп бойынша жауаптарды таңдау және түсіну үшін:,0.0,0.0,0.54,0.73,No
14622,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Бөлшекті қысқартыңыз.
 \(\frac{\sqrt{15x} - \sqrt{5}}{3x - 1}\)",\(\frac{\sqrt{5}}{\sqrt{3x}+1}\),\(\sqrt{5x}-\sqrt{5}\),\(\frac{\sqrt{5}}{\sqrt{3x}-1}\),\(\sqrt{3}+\sqrt{5}\),,A,test,Бөлшекті қысқартыңыз.,\(\frac{\sqrt{15x} - \sqrt{5}}{3x - 1}\),Бұл есепті шығару.,"Осы қажеттілік бойынша шығарымын ашып, жалпылама түрде аяқтап, енді де есепті шығаруға.",0.0,0.0,0.31,0.43,No
8390,https://oltest.kz/tests/gosudarstvo_i_pravo/,"Social Science





","Jurisprudence, state and law",University,Russian,Jurisprudence (Professional & University in rus),"Привилегированная акция, по которой имеются преимущества по сравнению с другими видами привилегированных акций в выплате дивидендов, удовлетворении претензий:
","отзывная
",гарантированная,"участвующая
","приоритетная с преимущественным правом
","конвертируемая
",D,test,"Привилегированная акция, по которой имеются преимущества по сравнению с другими видами","привилегированных акций в выплате дивидендов, удовлетворении претензий:
",Сравнение с обычными акциями,...предоставляющий инвесторам приоритетное право на получение дивидендов и прибыли.,0.0,0.0,0.64,0.49,No
15880,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),Найдите область допустимых значений выражения \(\frac{a}{5+a}\).,\(a\ne-10\),\(a\ne5\),\(a\ne0\),\(a\ne-5\),,D,test,Найдите область допустимых значений,выражения \(\frac{a}{5+a}\).,f(x) = \sqrt{x^2 - 4},"Для этого необходимо определить, какие значения координаты \( x \) удовлетворяют условию существования функции.",0.0,0.0,0.5,0.63,No
6560,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Бразилиядағы негізгі ауылшаруашылық дақылы.,Күнбағыс,Кофе,Тары,Батат,,B,test,Бразилиядағы негізгі,ауылшаруашылық дақылы.,жағдайы,Бразилиядағы негізгі **әлеуметтік және саяси құрамдарының**,0.0,0.0,0.29,0.44,No
3027,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),Элементтердің массалық қатынасы 6:1 болатын қосылыстар қатары,"\(C_4H_8,\;C_2H_6\)","\(C_2H_4,\;C_3H_6\)","\(C_2H_6,\;C_3H_8\)","\(C_2H_4,\;C_3H_8\)",,B,test,Элементтердің массалық қатынасы 6:1,болатын қосылыстар қатары,Бұл есепті шешу барысында,"Бұл қатынасты ескергенде, заттардың құрамын анықтауға болады.",0.0,0.0,0.73,0.62,No
16688,https://oltest.kz/tests/filosofiya_i_psihologiya/,Humanities,Philosophy and psychology,University,Russian,Philosophy and Psychology (Professional & University in rus),"Кто из психологов проанализировал исследования о влиянии разлуки с матерью в младенческом возрасте на психическое развитие ребенка?
","Л.С. Выготский
","А.Н. Леонтьев
","М.И. Лисина
","А.Р. Лурия
","С.Л. Рубинштейн
",C,test,Кто из психологов проанализировал исследования о влиянии разлуки с матерью,"в младенческом возрасте на психическое развитие ребенка?
","А. Фрейд
Б. Психиатр",и уточнить границы проблемы,0.0,0.0,0.43,0.41,No
15562,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),Решите уравнение: \(2^{|3x-1|}={\sqrt2}^4\),\(1;\frac13\),\(1;5\),\(-1;\frac13\),\(-\frac13;1\),,D,test,Решите,уравнение: \(2^{|3x-1|}={\sqrt2}^4\),задачи,Сложное число в задании.,0.0,0.0,0.34,0.28,No
18778,https://ymnik.kz/tests_old/russian/?v=53,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),Укажите предложение с обстоятельством образа действия.,Кругом кричали коростели.,Вечером мы пошли в театр.,Все присели отдохнуть.,Вчера я приехал в Астану.,Корабль несется на всех парусах.,E,test,Укажите предложение с обстоятельством,образа действия.,вариантов ответа,"Когда дождь начался утром, мы решили остаться дома.",0.0,0.0,0.33,0.54,No
15708,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Найдите производную функции \(y = arctg \frac{{x + 1}}{{x - 1}},\) при \(\left( {x \ne 1} \right)\).",\({ \frac{3}{{2 + {x^2}}}}\),\({ \frac{1}{{1 - {x^2}}}}\),\({ - \frac{1}{{1 + {x^2}}}}\),\({ - \frac{2}{{1 - {x^2}}}}\),,C,test,Найдите производную функции \(y = arctg \frac{{x + 1}}{{x -,"1}},\) при \(\left( {x \ne 1} \right)\).",1),"Для решения данного задания необходимо выполнить дифференцирование поданной функции \(y=\arctg \frac{x+1}{x-1}\), используя цепное правило дифференцирования. Выразим внутреннее преобразование для упрощения, затем получим итоговый результат.",0.46,0.29,0.46,0.65,No
15256,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"В сплаве золота и серебра отношение их масс равно 3 : 5 соответственно. Найдите массу серебра, если она на 16,04 г больше, чем масса золота.","8,02 г","64,16 г","65,6 г","40,1 г",,D,test,В сплаве золота и серебра отношение их масс равно 3 : 5 соответственно.,"Найдите массу серебра, если она на 16,04 г больше, чем масса золота.",Найдите процентное содержание золота.,"Это означает, что в сплаве содержится 37,5% золота.",0.0,0.0,0.67,0.7,No
1975,https://ymnik.kz/tests_old/biology/?v=8,STEM,Biology,High School,Russian,Biology (High School in rus),Признак однодольных,Корень стержневой,Сетчатое жилкование листьев,Перистое жилкование листьев,2 семядоли в семени,Параллельное жилкование,E,test,Признак,однодольных,Вопрос,...и является основным критерием.,0.0,0.0,0.12,0.13,No
11275,https://ymnik.kz/tests_old/kazakh_kz/?v=41,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Мекен үстеуін табыңыз.,Былтыр.,Сонша.,Жедел.,Жоғары.,Ертең.,D,test,Мекен үстеуін,табыңыз.,Көптеген,"Мекен үстеуін ескерту керек, себебі мұндай сөзді қолдану арқылы тіршілік тәрбиесін жасауға арналған маңызды нұсқаулар берілсе де, бүгінгі кездегі қоғамдық жағдайда бұл ұғымы ерекше маңыздылыққа ие.",0.0,0.0,0.45,0.44,No
10507,https://ymnik.kz/tests_old/history/?v=71,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),«Жеты-Жаргы» появляется в период правления хана:,Абулхаир,Абылай,Касым.,Тауке,Таукель,D,test,«Жеты-Жаргы» появляется в период,правления хана:,13-14 в.в.,... 19-XX ғасырында,0.0,0.0,0.44,0.62,No
21110,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),«Мазурка королі» деп аталған композитор:,В.А.Моцарт,Ф.Шопен,Д.Верди,Ф.Шуберт,,B,test,«Мазурка королі» деп,аталған композитор:,Выберите вариант ответа.,«...этим можно назвать музыку своей эпохи.»,0.0,0.0,0.46,0.43,No
18177,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),"Два небольших заряженных шара действуют друг на друга по закону Кулона с силой \(0,1\) Н. Если расстояние между шарами остается неизменным, то при увеличении заряда каждого шара в \(2\) раза сила кулоновского взаимодействия будет равна","\(0,2\) Н","\(0,4\) Н","\(0,1\) Н","\(0,025\) Н",,B,test,"Два небольших заряженных шара действуют друг на друга по закону Кулона с силой \(0,1\) Н. Если расстояние между шарами остается неизменным,",то при увеличении заряда каждого шара в \(2\) раза сила кулоновского взаимодействия будет равна,"Как изменится сила взаимодействия, если заряд одного из шаров увеличится?",то сила взаимодействия не изменится,0.0,0.0,0.77,0.74,No
19830,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),«Франт с хвостом» – так в повести Н.В. Гоголя «Ночь перед Рождеством» назван,Черт,Дьяк,Кузнец,Голова,,A,test,«Франт с хвостом» – так в повести Н.В.,Гоголя «Ночь перед Рождеством» назван,«Франт с хвостом» – так в повести Н.В. Ивановой.,В этой повести,0.0,0.0,0.39,0.48,No
13334,https://itest.kz/ru/endless,Humanities,Law,High School,Russian,Law (High School in rus),Разделение объекта (мысленно или реально) на составные части в целях их отдельного изучения,Измерение,Наблюдение,Сравнение,Анализ,,D,test,Разделение объекта (мысленно или реально) на составные части,в целях их отдельного изучения,Ответ: Правильный вариант.,"Следует подчеркнуть, что результаты такого деления позволяют составить общую картину явления и его связей с другими системами.",0.0,0.0,0.62,0.61,No
7379,https://ymnik.kz/tests_old/geography/?v=8,Social Science,Geography,High School,Russian,Geography (High School in rus),"Отрасль промышленности, для которой отходы металлургических комбинатов являются источником сырья:",Легкая.,Пищевая.,Химическая.,Текстильная.,Машиностроение.,C,test,"Отрасль промышленности, для которой отходы металлургических",комбинатов являются источником сырья:,относится к категории,"производств, относящихся к ним",0.0,0.0,0.43,0.43,No
4191,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),Какой объем 2%-ной соляной кислоты с плотностью 1 г/мл потребуется для нейтрализации 100 мл 1 М раствора гидроксида бария?,225 мл,235 мл,365 мл,175 мл,,C,test,Какой объем 2%-ной соляной кислоты с плотностью 1 г/мл потребуется для,нейтрализации 100 мл 1 М раствора гидроксида бария?,для приготовления 1000 мл,Приготовления 100 мл водного раствора,0.67,0.0,0.52,0.37,No
