question,тақырып,таңдаулар,жауап,sheet,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
" HI-дің сутегі газы мен йод буына диссоциациялануының тепе-теңдік константасы Kc белгілі бір температурада 21-ге тең. Егер 12,0 л колбаға 15 грамм HI газы енгізіліп, тепе-теңдікке келтірілсе, йод буының молярлық концентрациясы қандай болады?", орта мектеп химиясы,"['4,58 моль/л' '0,00687 моль L-1' '4,4 × 10^-3 М' '9,76 × 10^-3 М']",2,Sheet1, HI-дің сутегі газы мен йод буына диссоциациялануының тепе-теңдік константасы Kc белгілі бір температурада 21-ге тең.,"Егер 12,0 л колбаға 15 грамм HI газы енгізіліп, тепе-теңдікке келтірілсе, йод буының молярлық концентрациясы қандай болады?",СОНЫМЕНҢІЗ,,0.0,0.0,0.72,0.33,No
 Бұл тағамдардың қайсысы шошқа ішегінен жасалады?, әртүрлі, ['haggis' 'chitlins' 'grits' 'chop suey'],1,Sheet1, Бұл тағамдардың қайсысы,шошқа ішегінен жасалады?,... дұрыс жауаптарды,Бұл тағамдардың қайсысы екі нәрсеген.,0.0,0.0,0.32,0.26,No
"Бір ер адам көлігінің майын ауыстыруы керек болды. Жұма күні ол көлігін жергілікті дилерлік орталыққа апарып, майын ауыстыруды шешіп, көршісінен дилерлік орталықтан үйіне дейін жеткізіп салуды сұрады. Көршісі: «Неге дилерлік орталық сізден жоғары баға алады? Мен көлігіңіздің майын ауыстыра аламын. Егер маған 50 доллар төлеуге келіссеңіз, демалыс күндері көлігіңіздің майын ауыстырамын», - деді. Ер адам бірден келісті. Жексенбі күні түстен кейін ер адам көршісінің әлі көлікті жөндеуді бастамағанын байқады. Ол көршісінен дүйсенбі күні таңертең жұмысқа бару үшін көліктің дайын бола ма деп сұрады. Көршісі: «Мен ойландым да, 50 доллар жұмыс үшін тым төмен баға екенін түсіндім. Көлігіңіздің майын ауыстыратынымды ойламаймын», - деп жауап берді. Содан кейін ер адам: «Қараңызшы, жұмыс үшін 50 доллар аз екенін түсінемін. Егер сіз менің көлігімдегі майды ертең таңертең ауыстыра алсаңыз, мен сізге қосымша 25 доллар төлеймін. Және мен сізге уәдеңізді орындамағаныңыз үшін шағын сотта шағымданбаймын», - деді. Содан кейін көршісі жексенбі күні түстен кейін майды ауыстырды, бірақ ер адам көршісіне 50 доллардан артық төлеуден бас тартты. Көршісінің ер адам уәде еткен қосымша 25 долларды өндіріп алу туралы талап арызында көршісі...",кәсіби_құқық," ['жеңіс, себебі ол келісімшарттың өз бөлігін орындады.' 'жеңіс, себебі 75 долларға жасалған екінші келісімшарт бастапқы 50 долларлық келісімшартты алмастырды.' 'жеңілді, себебі 75 долларлық келісімшарт 50 долларлық келісімшартты алмастырмады.' 'жеңілді, себебі көршінің көліктегі майды 50 долларға ауыстыруға алдын ала міндеті болған.']",3,Sheet1,"Бір ер адам көлігінің майын ауыстыруы керек болды. Жұма күні ол көлігін жергілікті дилерлік орталыққа апарып, майын ауыстыруды шешіп, көршісінен дилерлік орталықтан үйіне дейін жеткізіп салуды сұрады. Көршісі: «Неге дилерлік орталық сізден жоғары баға алады? Мен көлігіңіздің майын ауыстыра аламын. Егер маған 50 доллар төлеуге келіссеңіз, демалыс күндері көлігіңіздің майын ауыстырамын», - деді. Ер адам бірден келісті. Жексенбі күні түстен кейін ер адам көршісінің әлі көлікті жөндеуді бастамағанын байқады. Ол көршісінен дүйсенбі күні таңертең жұмысқа бару үшін көліктің дайын бола ма деп сұрады. Көршісі: «Мен ойландым да, 50 доллар жұмыс үшін тым төмен баға екенін түсіндім.","Көлігіңіздің майын ауыстыратынымды ойламаймын», - деп жауап берді. Содан кейін ер адам: «Қараңызшы, жұмыс үшін 50 доллар аз екенін түсінемін. Егер сіз менің көлігімдегі майды ертең таңертең ауыстыра алсаңыз, мен сізге қосымша 25 доллар төлеймін. Және мен сізге уәдеңізді орындамағаныңыз үшін шағын сотта шағымданбаймын», - деді. Содан кейін көршісі жексенбі күні түстен кейін майды ауыстырды, бірақ ер адам көршісіне 50 доллардан артық төлеуден бас тартты. Көршісінің ер адам уәде еткен қосымша 25 долларды өндіріп алу туралы талап арызында көршісі...",Сұрақ бойынша қандай жауап қабылданады?,"түшіндім. Өйткені көлігіндегі баға өте төмен болып, оны дилерлік орталықтан алмасу мүмкіндіксіз екенін білдім. Сондықтан ер адам көлігін өз аумағында сақтап қалып, жаңа жоспарлауға шешім қабылдады.",0.0,0.0,0.7,0.82,No
" Бардағы дау кезінде жәбірленушіні бильярд кийімен ұрғанын мойындағаннан кейін, бір ер адам шабуыл және ұру үшін қылмыстық жауапкершілікке тартылды. Ер адам мас және агрессивті жәбірленушінің шабуылына ұшырағаннан кейін өзін қорғау үшін әрекет еткенін айтты. Алғашқы қорғаушы куәгер ретінде ер адам көршісін сол адамның жақсы көрші екеніне куәлік етуге шақырады. Көршісінің куәлігі...", кәсіби_құқық,"[«жаралады, себебі бұл ер адамның себепсіз шабуыл жасауының екіталайлығын көрсету үшін маңызды». «жаралады, себебі бұл ер адамның сенімділігін қолдау үшін маңызды». «жарамайды, себебі бұл тек куәгердің пікірі ғана». «жарамайды, себебі ол ер адамның мінезінің тиісті белгісіне бағытталмаған».]",3,Sheet1," Бардағы дау кезінде жәбірленушіні бильярд кийімен ұрғанын мойындағаннан кейін, бір ер адам шабуыл және ұру үшін қылмыстық жауапкершілікке тартылды. Ер адам мас және агрессивті жәбірленушінің шабуылына ұшырағаннан кейін өзін қорғау үшін әрекет еткенін айтты.",Алғашқы қорғаушы куәгер ретінде ер адам көршісін сол адамның жақсы көрші екеніне куәлік етуге шақырады. Көршісінің куәлігі...,Бұл құжаттарға сәйкес келетін жағдайлар бойынша қабылданған есептің барлығымен қорғау қызметінің талаптарымен сәйкес келеді.,Бұл жағдайда заңгерлердің көрініс-өндірістік ережелері мен жобаларының орнына ерекше қатысу барлық есептерімен тіркеуі тиіс болды.,0.0,0.0,0.34,0.53,No
" Алты сау адам бұлшықет метаболизмін зерттеуге қатысады, оның барысында гипергликемия мен гиперинсулинемия пайда болады. Тыныштық күйінде субъектілерден алынған бұлшықет биопсиясының үлгілері малонил-КоА концентрациясының айтарлықтай жоғарылағанын көрсетеді. Малонил-КоА концентрациясының жоғарылауы осы субъектілерде келесі процестердің қайсысын тікелей тежейді?", кәсіби_медицина, ['Май қышқылының тотығуы' 'Май қышқылының синтезі' 'Глюконеогенез' 'Гликогенолиз'],0,Sheet1," Алты сау адам бұлшықет метаболизмін зерттеуге қатысады, оның барысында гипергликемия мен гиперинсулинемия пайда болады. Тыныштық күйінде субъектілерден алынған бұлшықет биопсиясының үлгілері малонил-КоА концентрациясының айтарлықтай жоғарылағанын көрсетеді.",Малонил-КоА концентрациясының жоғарылауы осы субъектілерде келесі процестердің қайсысын тікелей тежейді?,Жауап: Б,"Сонымен, бұлшықеттің қозғалысын реттеуіне қажетті қызметті реттеудің екінші кезеңіндегі жағдайларды анықтау үшін қызметтің тиімділігін қамтамасыз ету қажет болып табылады.",0.0,0.0,0.73,0.71,No
" Егер ата-аналармен тексеруден кейінгі талқылау кезінде психолог баланың жаңа педиатры баланың миының зақымдану тарихын білмейтінін анықтаса, бұл проблемалық жағдайды түсінуде өте маңызды, психолог...", кәсіби_психология,['ата-аналарға педиатрға хабарлайтынын айт'' 'ата-аналардан педиатрға хабарлауға рұқсат беруін сұрау' 'ата-ананың педиатрға заңды түрде хабарлауға міндетті екенін ұялы телефонға жазу' 'ата-аналарға педиатрға хабарлау олардың міндеті екенін ұялы телефонға жазу'],1,Sheet1, Егер ата-аналармен тексеруден кейінгі талқылау кезінде психолог баланың жаңа педиатры баланың миының зақымдану,"тарихын білмейтінін анықтаса, бұл проблемалық жағдайды түсінуде өте маңызды, психолог...",екендік,...және қолдау жасау үшін. Бұл жағдайда балаға жүйелендірілген тәрбие мен жүйелендірген емді тудыру қажеттіліктері туындайды.,0.0,0.0,0.46,0.39,No
"Себетте 5 жасыл шар және $k$ күлгін шарлар бар, мұндағы $k$ белгісіз оң бүтін сан. Себеттен кездейсоқ шар алынады. Егер жасыл шар алынса, ойыншы 2 доллар ұтады, бірақ күлгін шар алынса, ойыншы 2 доллар ұтады. Егер ойынды ойнау үшін күтілетін ұтыс сомасы 50 цент болса, онда $k$ қанша болады?", орта мектеп математикасы, ['6' '12' '3' '4'],2,Sheet1,"Себетте 5 жасыл шар және $k$ күлгін шарлар бар, мұндағы $k$ белгісіз оң бүтін сан. Себеттен кездейсоқ шар алынады.","Егер жасыл шар алынса, ойыншы 2 доллар ұтады, бірақ күлгін шар алынса, ойыншы 2 доллар ұтады. Егер ойынды ойнау үшін күтілетін ұтыс сомасы 50 цент болса, онда $k$ қанша болады?","Осылайша, жалпы жағдайда $n$ шарының жұмысы нақтылауы керек.",,0.0,0.0,0.81,0.58,No
" Егер үкімет монополияны тиімді бөлу көлемінде өндіру үшін реттесе, төмендегілердің қайсысы дұрыс болар еді?", орта мектеп_микроэкономикасы, ['Монополия шығынды өтейді.' 'Монополия экономикалық шығынға ұшырайды.' 'Монополия экономикалық пайда табады.' 'Бұл нарықтағы нақты шығын азаяды.'],3,Sheet1, Егер үкімет монополияны тиімді бөлу көлемінде өндіру үшін,"реттесе, төмендегілердің қайсысы дұрыс болар еді?",өндіру шараларын жүзеге асырады,,0.0,0.0,0.58,0.71,No
 Релаксациялық кернеумен басқарылатын осцилляторлар генерациялау үшін қолданылады, электрлік_инженерия, ['Синусоидалы толқын' 'Үшбұрышты толқын' 'Ара тіс толқыны' 'B және C екеуі де'],3,Sheet1, Релаксациялық кернеумен басқарылатын осцилляторлар,генерациялау үшін қолданылады,Бұл мәселеді шешу.,Осы құрылғылардың негізгі ерекшелігі — олардың жұмысына кернеудің өзгерісін бақылау арқылы пайда болған сигналдардың түрін анықтауға мүмкіндік береді және оны басқаруға жарамды құрылғылар болып саналады.,0.0,0.0,0.54,0.52,No
 Жаттығу кезінде АТФ синтезін қалпына келтірудің ең жылдам әдісі:, колледж_медицина," ['гликолиз.' 'фосфокреатиннің ыдырауы.' ""үш карбон қышқылы циклі (Кребс циклі)."" 'гликогенолиз.']",1,Sheet1, Жаттығу кезінде АТФ синтезін қалпына,келтірудің ең жылдам әдісі:,қайта түрленуіне мүмкіндік береді,...өнеркәсіптік қызметіне тиімді,0.0,0.0,0.32,0.62,No
"16 жасар қызды анасы кеңсеге алып келді, себебі ол футбол командалас әріптесінен менингит жұқтырған болуы мүмкін деп алаңдайды, оған менингококк менингиті диагнозы қойылып, кеше ауруханаға жатқызылды. Пациенттің футбол командасы 1 апта бұрын турнирге қатысу үшін көршілес штатқа барған, ал ол ауруханаға жатқызылған қызбен қонақ үй бөлмесін бөліскен. Пациент өзін жақсы сезінеді, бірақ «сол вирусты жұқтырған болуы мүмкін» деп алаңдайды. Демікпенің медициналық тарихы ерекше. Дәрі-дәрмектерге ингаляциялық альбутерол кіреді. Өмірлік маңызды белгілер - температура 37,2°C (98,9°F), пульс 64/мин, тыныс алу 16/мин және қан қысымы 107/58 мм сын. бағ.. Физикалық тексеруде ауытқулар байқалмайды. Қазіргі уақытта осы науқас үшін келесі араласудың қайсысы ең қолайлы?", кәсіби_медицина, ['Менингококкқа қарсы вакцина егіңіз' 'Доксициклин тағайындаңыз' 'Пенициллин тағайындаңыз' 'Рифампицин тағайындаңыз'],3,Sheet1,"16 жасар қызды анасы кеңсеге алып келді, себебі ол футбол командалас әріптесінен менингит жұқтырған болуы мүмкін деп алаңдайды, оған менингококк менингиті диагнозы қойылып, кеше ауруханаға жатқызылды. Пациенттің футбол командасы 1 апта бұрын турнирге қатысу үшін көршілес штатқа барған, ал ол ауруханаға жатқызылған қызбен қонақ үй бөлмесін бөліскен. Пациент өзін жақсы сезінеді, бірақ «сол вирусты жұқтырған болуы мүмкін» деп алаңдайды. Демікпенің медициналық тарихы ерекше. Дәрі-дәрмектерге ингаляциялық альбутерол кіреді.","Өмірлік маңызды белгілер - температура 37,2°C (98,9°F), пульс 64/мин, тыныс алу 16/мин және қан қысымы 107/58 мм сын. бағ.. Физикалық тексеруде ауытқулар байқалмайды. Қазіргі уақытта осы науқас үшін келесі араласудың қайсысы ең қолайлы?",Бұл жартылайдан соңғы тапшылыққа дейін қосылып тұрды,"Осы мәселелерді шешудегі маңызды фактілердің орнын айқындап, қорытындылануға болатынымен, қызметкерлердің істі қорғауға болатыны.",0.0,0.0,0.43,0.52,No
Терроризм мен террористік мәселелердің жұмыс істейтін анықтамасына қандай әдістер мен мақсаттар жатады?, қауіпсіздікті зерттеу,"[«Суицидтік шабуылдарды террористер соңғы сәтте немесе шығындар барынша көбейетін кезде жарылыс жасауға мүмкіндік беретін артықшылықпен пайдаланды. Болашақтағы ықтимал қауіп - суицидтік шабуыл химиялық, биологиялық немесе радиологиялық қаруды қолданумен біріктірілуі мүмкін». «Демократиялық мемлекеттерде осал нысандарды табу мүмкіндігі көбірек болуы мүмкін, себебі үкіметтің өз азаматын қаншалықты бақылай алатынына шектеулер бар және шабуыл болған жағдайда көбірек жарнама жасайды. Дегенмен, әлсіз демократиялық емес елдердегі қауіпсіздік күштері террористік әрекетке қолайлы жағдайлар жасайды, бұл салыстырмалы түрде операция мен қозғалыс еркіндігін қамтамасыз етеді». «Жаппай қырып-жою қаруы жиі қолданылмаған, оны пайдалану үшін жоғары деңгейдегі ресурстар мен дайындалған персонал қажет. Сонымен қатар, көптеген террористік топтар нысанаға максималды шығын келтіру үшін болжамды әдістерді қолдануды жөн көреді. Дегенмен, белгілі бір дәрежеде террористік топтар ЖҚҚ қолданудан қорқып, психологиялық артықшылыққа ие болды». «Осы нұсқалардың барлығы».",3,Sheet1,Терроризм мен террористік мәселелердің жұмыс істейтін анықтамасына,қандай әдістер мен мақсаттар жатады?,қызметін орнатып,Бұл мәселеге қатысты заңдылықтар мен тиімді шешімдерді жүргізу үшін қажетті ерекше жобаларды дайындау.,0.0,0.0,0.64,0.44,No
"Виджет өндірушісі мен виджет сатушысы келесі келісімге қол қойды: «Өндіруші сатуға уәде береді, ал сатушы 10 000 виджетті 100-ін 50 доллардан сатып алуға уәде береді. Өндіруші келесі 10 айдың әрқайсысының бірінші күнінде мың виджет жеткізуі тиіс. ӘР АЙ САЙЫН ЖЕТКІЗУ БОЛЫП ТАБЫЛАТЫН БӨЛІК ШАРТ. Төлем әрбір жөнелтімді алғаннан кейін 10 күн ішінде төленуі тиіс. «Өндіруші мен сатушы арасындағы келісімді ең жақсы түрде былай түсіндіруге болады...»", кәсіби_құқық, ['бөлінетін келісімшарт.' 'бөліп төлеу келісімшарты.' '10 бөлек келісімшарт.' 'талаптарды шығару келісімшарты.'],1,Sheet1,"Виджет өндірушісі мен виджет сатушысы келесі келісімге қол қойды: «Өндіруші сатуға уәде береді, ал сатушы 10 000 виджетті 100-ін 50 доллардан сатып алуға уәде береді. Өндіруші келесі 10 айдың әрқайсысының бірінші күнінде мың виджет жеткізуі тиіс. ӘР АЙ САЙЫН ЖЕТКІЗУ БОЛЫП ТАБЫЛАТЫН БӨЛІК ШАРТ.",Төлем әрбір жөнелтімді алғаннан кейін 10 күн ішінде төленуі тиіс. «Өндіруші мен сатушы арасындағы келісімді ең жақсы түрде былай түсіндіруге болады...»,Сұрақ: Келісім шарт дұрыс па?,"Келісім шарт бойынша, 100 виджет пен 50 доллардан сатып алу мүмкіндігінің бұл кезеңдегі әрекеттері түрлі түрде берілген, сондықтан осындай шартты жүзеге асырудан басқа баға алу немесе өзін-өзі тауарға қол қою нәтижесі белгіленді.",0.0,0.0,0.71,0.83,No
 Қазба деректері жылқылардың геологиялық уақыт өте келе біртіндеп үлкейгенін көрсетеді. Төмендегі терминдердің қайсысы мұны жақсы сипаттайды?, орта мектеп_биологиясы, ['жасанды таңдау' 'бағытты таңдау' 'тұрақтандыратын таңдау' 'бұзушы таңдау'],1,Sheet1, Қазба деректері жылқылардың геологиялық уақыт өте келе біртіндеп үлкейгенін көрсетеді.,Төмендегі терминдердің қайсысы мұны жақсы сипаттайды?,Осылайша.,"Осылайша, қазыбалардың үлкею процесін талдау арқылы зерттеушілердің еңбектерінен қарапайым жүйені қорғауға тырысып, геологиялық уақыт өте келе азырақ үлкеюінің мәнін анықтауға болады.",0.0,0.0,0.53,0.63,No
" "" _Ad lazarum_ "" is", логикалық_қателіктері,"['құн мен сапа арасында міндетті түрде кері байланыс бар екенін дәлелдейтін жалған белгінің белгілі бір түрі, сондықтан бір нәрсе міндетті түрде жақсы құндылық болып табылады, себебі ол аз шығынға ие болады' 'бүкіл нысанға қатысты шындық сол нысанның әрбір жеке бөлігіне де қатысты болуы керек деген пікір' 'табиғатқа қатысты шындық адамдар үшін де шындық болуы керек деген жалған ұқсастықтың белгілі бір түрі' 'сол қорытындыны растайтын жеткілікті дәлелсіз қорытынды жасау']",0,Sheet1," "" _Ad lazarum_",""" is",**of the dead**,Ad lazarum – To serve the weary with a hand extended toward their burdens.,0.0,0.0,0.38,0.44,No
 Меккенің дінге келуіне қандай алғашқы шайқас себеп болды?, әлем_діндері,['Ухуд шайқасы' 'Түйе шайқасы' 'Оқоп шайқасы' 'Бәдір шайқасы'],2,Sheet1, Меккенің дінге келуіне қандай,алғашқы шайқас себеп болды?,...әлемді танудан.,,0.0,0.0,0.39,0.36,No
" Қылмыс жасағаны үшін қамауға алынса, төмендегілердің қайсысы заң бойынша есі дұрыс емес деп жариялануы мүмкін?", орта мектеп психологиясы," ['Шизофренияның ұйымдастырылмаған белгілерімен ауыратын Аарон'', 'Обсессивті-компульсивті бұзылыс диагнозы қойылған Бретт', 'Зоофобия белгілерімен ауыратын Клара', 'Ипохондриаз белгілері бар Дон']",0,Sheet1," Қылмыс жасағаны үшін қамауға алынса, төмендегілердің қайсысы заң",бойынша есі дұрыс емес деп жариялануы мүмкін?,заңсыз емес,Заңға саяхаттану және заңды құрметтеушілік мінездетуді талап етеді.,0.0,0.0,0.43,0.58,No
 Төмендегі тұжырымдардың қайсысы Росстың әлеуметтік өмірді шахмат ойынымен салыстыруын ең дәл түсіндіреді?, юриспруденция,"['Шахмат - шеберлік ойыны; өмірдегі табыс та шеберлік мәселесі.' 'Шахмат ойынында жеңіске жету, өмір сияқты, көбінесе сәттілікке байланысты.' 'Шахмат ойындарында да, әлеуметтік өмірде де іс жүзінде дау немесе бәсекелестік болады.' 'Әлеуметтік өмір шахматқа ұқсас, себебі жеке әрекеттер көбінесе ережелер туралы ортақ түсінікке байланысты.']",3,Sheet1, Төмендегі тұжырымдардың қайсысы Росстың әлеуметтік өмірді шахмат,ойынымен салыстыруын ең дәл түсіндіреді?,Көрсетілген нұсқаларда,Бұл тұжырымдық құрылымның екінші бөлігінде Росстың әлеуметтік өмірінің шахматпен қаншалықты тығыз байланысын анықтамалық форматқа сәйкестендіру керек.,0.0,0.0,0.51,0.32,No
