id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
13912,world_religions,Философия,"Какая форма буддизма фокусируется на социальной вовлеченности, которая привлекает мирян?",Дзен-буддизм,Чань-буддизм,Гуманистический буддизм,Буддизм чистой земли,C,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Какая форма буддизма фокусируется на социальной,"вовлеченности, которая привлекает мирян?",социальной деятельности,помощи нуждающимся,0.0,0.0,0.63,0.53,No
9392,nutrition,Медицина,Какое из следующих утверждений о потребностях человека в аминокислотах в питании человека является правильным?,"Предполагается, что потребности в аминокислотах, определенные для взрослых, являются общими для всех возрастов.","Предполагается, что потребности в аминокислотах, определенные для взрослых, являются требованиями к содержанию для всех возрастов.","Предполагается, что аминокислотный состав грудного молока является необходимым для всех детей.","Предполагается, что аминокислотный состав белка тканей человека является необходимым для младенцев и детей младшего возраста.",B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Какое из следующих утверждений о потребностях человека в,аминокислотах в питании человека является правильным?,"и определяются как биологические, физические и психологические потребности",в психологии.,0.0,0.0,0.25,0.28,No
10383,professional_accounting,Бизнес,"При выборе подходящей выборки для проверки по существу аудитор, скорее всего, стратифицирует совокупность, если","Аудитор подозревает, что в течение года имело место мошенничество со стороны руководства.","Желаемый оцененный уровень риска контроля меньше, чем в предыдущем году.",Используемый метод - атрибутивная выборка.,Аудитор планирует обеспечить более полное представление крупных учтенных сумм.,D,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,При выборе подходящей выборки для проверки по существу,"аудитор, скорее всего, стратифицирует совокупность, если",и подлежат оценке экспертом,которая должна включать в себя все существенные характеристики предмета,0.0,0.0,0.42,0.34,No
7759,miscellaneous,Общие факты,Железнодорожный паровой двигатель начала девятнадцатого века является прекрасным примером какой из следующих энергетических систем?,Двигатель внутреннего сгорания,Двигатель внешнего сгорания,Роторный двигатель,Реактивный двигатель,B,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Железнодорожный паровой двигатель начала девятнадцатого века является прекрасным,примером какой из следующих энергетических систем?,и использовался для пассажирских перевозок и грузов,и навсегда изменил ход истории.,0.0,0.0,0.49,0.52,No
1352,college_medicine,Медицина,"Пациент поступает в больницу после того, как его укусила собака, которая, по его словам, “вела себя как сумасшедшая”. Рана открыта и кровоточит. Служба контроля за животными поймала собаку и сказала, что у нее шла пена изо рта и она была чрезвычайно агрессивна. При подозрении на заражение бешенством пациенту вводят сыворотку, содержащую антитела к бешенству, которые были выращены внутри лошади. Это пример какого рода иммунитета?",Пассивного,Активного,Естественного,Искусственного,A,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Пациент поступает в больницу после того, как его укусила собака, которая, по его словам, “вела себя как сумасшедшая”. Рана открыта и кровоточит. Служба контроля за животными поймала собаку и сказала, что у нее шла пена изо рта и она была чрезвычайно агрессивна.","При подозрении на заражение бешенством пациенту вводят сыворотку, содержащую антитела к бешенству, которые были выращены внутри лошади. Это пример какого рода иммунитета?",Срочно обратиться к врачу для диагностики состояния,"Осмотр специалиста выявил признаки глубокого повреждения тканей, поэтому ему была назначена специальная повязка. Врач посоветовал принимать антибиотики от 5 дней, а также обеспечить достаточное количество жидкости.",0.0,0.0,0.59,0.62,No
3327,high_school_european_history,История,"Этот вопрос относится к следующей информации.
Следующий отчет о Парижской выставке 1889 года.
""Возможности изучать естественную историю человека в Париже во время выставки, и особенно в августе, когда проходили большие конгрессы и Французская ассоциация проводили свои сессии, не имели аналогов в истории антропологии. В любое время французская столица предоставляет антропологу редкие преимущества. Музей и лаборатория Брока, антропометрические операции Бертильона во Дворце правосудия, курсы лекций в школе антропологии, коллекции в Ботаническом саду, возможности для оригинальной работы в медицинской школе и больницах предоставляют сравнительному анатому и биологу обширную занятость.""
Отис Т. Мейсон, американский этнолог и куратор, 1889
Из текста можно сделать вывод, что во время Парижской выставки научное сообщество менялось из-за",вовлечение женщин,увеличение финансирования со стороны чиновников во французской столице,развитие всеобщего государственного образования во многих европейских странах,"развитие новых, специализированных областей",D,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Этот вопрос относится к следующей информации. Следующий отчет о Парижской выставке 1889 года. ""Возможности изучать естественную историю человека в Париже во время выставки, и особенно в августе, когда проходили большие конгрессы и Французская ассоциация проводили свои сессии, не имели аналогов в истории антропологии. В любое время французская столица предоставляет антропологу редкие преимущества.","Музей и лаборатория Брока, антропометрические операции Бертильона во Дворце правосудия, курсы лекций в школе антропологии, коллекции в Ботаническом саду, возможности для оригинальной работы в медицинской школе и больницах предоставляют сравнительному анатому и биологу обширную занятость."" Отис Т. Мейсон, американский этнолог и куратор, 1889
Из текста можно сделать вывод, что во время Парижской выставки научное сообщество менялось из-за",Какова цель отчета о Парижской выставке 1889 года по отношению к антропологии?,"Это оказало существенное влияние на развитие антропологии в целом, предоставляя основу для будущих научных исследований.",0.0,1.0,0.53,0.52,No
4048,high_school_macroeconomics,Экономика,В результате автоматических стабилизаторов во время экономического роста государственные расходы,и налоги падают.,и налоги растут.,"растут, а налоги падают.","падают, а налоги растут.",D,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,В результате автоматических стабилизаторов во время,экономического роста государственные расходы,кризисов снижает инфляцию,во время полетных операций,0.0,0.0,0.18,0.41,No
2611,global_facts,Общие факты,"По состоянию на 2019 год, какой процент американцев считает, что очень важно иметь независимые СМИ в нашей стране без правительственной/государственной цензуры?",50%,60%,70%,80%,D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"По состоянию на 2019 год, какой процент американцев считает, что очень важно",иметь независимые СМИ в нашей стране без правительственной/государственной цензуры?,о влиянии интернета на общество?,"Вопросы и факты об общественном мнении в 2019 году часто указывали, что граждане осознают приоритеты, связанные со здоровьем и безопасностью. Например, опросы показывают высокую значимость этого направления для многих жителей страны.",0.0,0.0,0.41,0.44,No
4279,high_school_mathematics,Математика,Среднее значение 7 чисел равно 15. При добавлении 8-го числа среднее значение уменьшается до 12. Каким будет 8-е число?,-12,-9,0,8,B,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Среднее значение 7 чисел равно 15. При добавлении 8-го числа среднее значение уменьшается до 12.,Каким будет 8-е число?,Найдите значение 8-го числа.,"Рассчитайте 8-е число, учитывая, что сумма всех 8 чисел должна соответствовать новому среднему значению.",0.67,1.0,0.75,0.87,No
5837,high_school_world_history,История,"Этот вопрос относится к следующей информации.
Приведенный ниже отрывок взят из показаний в парламенте.
Джошуа Дрейк, вызванный и осмотренный.
Вы говорите, что предпочли бы умеренный труд и более низкую зарплату; довольно ли вам комфортно при вашей нынешней зарплате?
- В настоящее время у меня нет зарплаты, только два дня в неделю; но когда я работаю, на одних работах получается заработать немного, а на других - очень плохо.
Когда ребенок получает 3 шиллинга в неделю, много ли это дает ему на пропитание?
- Нет, это не поможет ему прокормиться так, как нужно.
Почему вы позволяете своим детям работать в тех местах, где с ними плохо обращаются или перегружают работой?
- Необходимость заставляет человека, у которого есть дети, позволять им работать.
Тогда вы не позволили бы своим детям ходить на эти фабрики при нынешней системе, если бы не необходимость?
- Нет.
- Свидетельство, данное перед Комитетом Сэдлера, 1831-32 гг.
Согласно этому отрывку, почему свидетель позволяет своим детям работать там, где с ними плохо обращаются?",Владелец фабрики заставляет его это делать.,Он сам зарабатывает недостаточно.,Детям нужна дисциплина.,Их труд лишь умеренно тяжел.,B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Этот вопрос относится к следующей информации. Приведенный ниже отрывок взят из показаний в парламенте. Джошуа Дрейк, вызванный и осмотренный. Вы говорите, что предпочли бы умеренный труд и более низкую зарплату; довольно ли вам комфортно при вашей нынешней зарплате? - В настоящее время у меня нет зарплаты, только два дня в неделю; но когда я работаю, на одних работах получается заработать немного, а на других - очень плохо. Когда ребенок получает 3 шиллинга в неделю, много ли это дает ему на пропитание? - Нет, это не поможет ему прокормиться так, как нужно. Почему вы позволяете своим детям работать в тех местах, где с ними плохо обращаются или перегружают работой?","- Необходимость заставляет человека, у которого есть дети, позволять им работать. Тогда вы не позволили бы своим детям ходить на эти фабрики при нынешней системе, если бы не необходимость? - Нет. - Свидетельство, данное перед Комитетом Сэдлера, 1831-32 гг. Согласно этому отрывку, почему свидетель позволяет своим детям работать там, где с ними плохо обращаются?",Вам нравится это отношение к детским правам?,"Потому что мне кажется, что это единственный способ сохранить семью и обеспечить будущее нашим потомкам. Но я должен сказать, что иногда я чувствую, что мы слишком много работаем на жизнь и не всегда сможем обеспечить детям достойную жизнь.",0.0,0.0,0.71,0.71,No
2627,global_facts,Общие факты,По состоянию на 2015 год коэффициент рождаемости в мире составлял около,"1,5 ребенка на одну женщину","2,5 ребенка на женщину","3,5 ребенка на женщину","4,5 ребенка на женщину",B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,По состоянию на 2015 год коэффициент рождаемости,в мире составлял около,в 2015 году составил,В этом регионе показатели были значительно ниже среднего уровня,0.0,0.0,0.5,0.68,No
8825,moral_scenarios,Философия,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") делает что-то явно морально неправильное, согласно обычным моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я постирал постельное белье своего сына с отбеливателем. Сценарий 2 | Я испытал свою лазерную указку, направив ее на вертолет.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",C,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") делает что-то явно морально неправильное, согласно обычным моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я постирал постельное белье своего сына с отбеливателем.","Сценарий 2 | Я испытал свою лазерную указку, направив ее на вертолет.",Сценарий 2 | Ты поступил таким образом,Сценарий 2 | Я оставил свой кошелек без замка на столе,1.0,1.0,0.66,0.51,No
985,college_chemistry,Биология,"Предположим, что ядра 13C в молекуле в спектрометре с частотой 600 МГц могут быть поляризованы на 100% (p = 1). Если T1 = 5,0 с, сколько времени требуется для того, чтобы p достигло значения, равного удвоенной поляризации теплового равновесия при 298 К?",[Поляризация ослабевает экспоненциально: p(t) = [p(0) - peq]exp(-t/T1) + peq.],"72,0 с","56,6 с","12,7 с",B,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,"Предположим, что ядра 13C в молекуле в спектрометре с частотой 600 МГц могут быть поляризованы на 100% (p = 1).","Если T1 = 5,0 с, сколько времени требуется для того, чтобы p достигло значения, равного удвоенной поляризации теплового равновесия при 298 К?","Какова будет энергия, необходимая для поляризации ядер 13C в полном объеме?","Следовательно, энергия поглощения для этого типа ядер определяется как произведение постоянной Планка на частоту резонансного процесса.",0.0,0.0,0.52,0.62,No
