question,choice_A,choice_B,choice_C,choice_D,answer,category,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"Which of the following equations correctly represents the relationship between flow, density, and space mean speed?", Flow = density/space mean speed, Flow = density x space mean speed, Flow = space mean speed /density, Density = flow x space mean speed,B,,val,Which of the following equations correctly represents the relationship,"between flow, density, and space mean speed?", between the number of protons and the atomic number of an element?,between the variables in the given scenario?,0.14,0.21,0.53,0.46
Which country did Mangrol port trade with during the Indus Valley Civilization?, Egypt, Iran, None of the other choices, Mesopotamia,D,,val,Which country did Mangrol port trade with,during the Indus Valley Civilization?,India,"Mangrol port, located in the Kathiawar region of present-day Gujarat, India, historically traded with a wide network of countries and regions across the Indian Ocean. Its primary trading partners included:

*   **Arabian Peninsula:** Extensive trade occurred with ports in Oman, Yemen, and the broader Arabian Gulf.
*   **East Africa:** Merchants from Mangrol had direct contact with coastal cities in modern-day Kenya, Tanzania, and Mozambique.
*   **Southeast Asia:** Trade links extended to the Malay Archipelago, including modern-day Indonesia, Malaysia, and Thailand.
*   **China:** There is evidence of direct or indirect trade relations with Chinese ports, particularly during the Tang and Song dynasties.
*   **Persia (Iran):** Trade with Persian Gulf ports was also significant.

These connections made Mangrol a vital hub in the medieval Indian Ocean trade network, facilitating the exchange of goods such as cotton textiles, spices, ivory, and precious stones.",0.03,0.0,0.45,0.61
What is measured in non-coherent reception?, Power, Phase, Energy, None of the mentioned,B,,val,What is measured in,non-coherent reception?,meters per second squared.,meters.,0.0,0.0,0.24,0.25
"In the digital economy, what is the new product development strategy?", Communal Activation, Conversation, Co-creation, None of the other choices,A,,val,"In the digital economy, what is the",new product development strategy?,definition of a digital platform?,"In the digital economy, what is the most valuable asset? It is no longer just land, labor, or capital, but rather data—the vast, interconnected stream of information generated by every click, purchase, and interaction that drives innovation, personalizes experiences, and fuels the engines of modern commerce.",0.0,0.0,0.42,0.52
Which of the following factors does not directly influence the depth of a thermocline?, wind speed., input of solar radiation., influx of water., None of the other choices,C,,val,Which of the following factors does not directly,influence the depth of a thermocline?,influence the rate of a chemical reaction?,affect the rate of a chemical reaction?,0.46,0.62,0.49,0.5
"What is the method of cultural preservation called, where the culture is quickly frozen at a temperature of -70 °C and subsequently dehydrated under vacuum conditions?", Paraffination, Lyophilization, None of the other choices, Cryopreservation,B,,val,"What is the method of cultural preservation called, where the culture is quickly frozen at",a temperature of -70 °C and subsequently dehydrated under vacuum conditions?,-196°C to preserve its original state for future study?,"the moment of its discovery, often by removing it from its natural environment and placing it in a museum or archive? This method is known as **freezing** or **museumification**, a concept famously critiqued by anthropologist Edward Said and others who argue that it strips culture of its living, evolving context, turning dynamic traditions into static artifacts for observation rather than participation.",0.06,0.1,0.54,0.69
Which of the following drugs is used to stimulate the release of breast milk?, Phenytoin, Vasopressin, Desmopressin, Oxytocin,D,,val,Which of the following drugs is used to,stimulate the release of breast milk?,treat hypertension?,treat hypertension?,0.0,0.0,0.4,0.4
"In three examples of informational writing, the author of sample 1 provides evidence that is only marginally related to their argument. The author of sample 2 uses anecdotal evidence that is not accurate. The author of sample 3 offers accurate and relevant evidence, but it stands alone without support from other sources. Which option correctly aligns these samples with criteria that are not fully satisfied?", The evidence of samples 1 and 3 is insufficient; sample 2’s evidence is factual but irrelevant., Sample 1’s evidence is not sufficient; sample 2’s is not relevant; sample 3’s is not factual., Sample 1’s evidence is not relevant; sample 2’s is not factual; sample 3’s is not sufficient., Sample 1’s evidence is not factual; sample 2’s is not sufficient; sample 3’s is not relevant.,C,,val,"In three examples of informational writing, the author of sample 1 provides evidence that is only marginally related to their argument. The author of sample 2 uses anecdotal evidence that is not accurate.","The author of sample 3 offers accurate and relevant evidence, but it stands alone without support from other sources. Which option correctly aligns these samples with criteria that are not fully satisfied?",The author of sample 3 uses evidence that is accurate but irrelevant to the argument.,The author of sample 3 presents data that is outdated and no longer reflects current trends.,0.25,0.3,0.61,0.64
Why is Bhagavatim considered a completely democratic religion?, it preached a simple religion in the language of the masses., it was free from high sounding philosophical speculations," it opened the portals of salvation to all irrespective of caste, creed or sex.", None of the other choices,C,,val,Why is Bhagavatim considered a,completely democratic religion?,significant site in the history of Buddhism?,"Why is Bhagavatim considered a **significant historical and cultural landmark in Sri Lanka?**

Located in the ancient city of Anuradhapura, Bhagavatim (also known as the ""City of the Gods"") was a royal residence and a major religious center during the Anuradhapura period. It is renowned for its association with King Mahasena and the construction of the famous Abhayagiri Vihara nearby, making it a pivotal site in the history of Theravada Buddhism in the island.",0.0,0.0,0.43,0.49
Which of the following factors aided in the development of DNA fingerprinting for forensic analysis of blood and other body fluids?, None of the other choices, Alec Jeffreys, A. Bertillon, Calvin Goddard,B,,val,Which of the following factors aided in the development of DNA fingerprinting,for forensic analysis of blood and other body fluids?,by Alec Jeffreys in 1984?,"was the discovery that specific regions of human DNA, known as minisatellites or variable number tandem repeats (VNTRs), vary significantly in length between individuals, providing a unique genetic profile for each person.",0.05,0.0,0.46,0.48
"What function do the green glands serve in certain arthropods? (BHU 1998, 2007)", respiration, digestion, excretion, none of these,C,,val,What function do the green glands serve in certain arthropods?,"(BHU 1998, 2007)",They are excretory organs that remove nitrogenous waste from the hemolymph and release it into the surrounding water.,"In crustaceans, the green glands (also known as antennal glands) function as the primary organs of excretion and osmoregulation. Located near the base of the antennae, they filter waste products from the hemolymph (blood), removing nitrogenous wastes primarily in the form of ammonia, while simultaneously regulating the body's water and salt balance to maintain internal homeostasis.",0.0,0.0,0.54,0.59
How is the tortuosity of a meandering river defined?, None of the other choices, meander length to meander belt, meander belt to meander length, direct axial length of the river reach to curved length along the channel,A,,val,How is the tortuosity of,a meandering river defined?,the river calculated?,the river measured?,0.29,0.29,0.7,0.67
Which of the following does not apply to a life insurance contract?, Indemnity contract, Unilateral contract, Conditional contract, None of the above,A,,val,Which of the following does not apply,to a life insurance contract?,"to the concept of ""opportunity cost""?",to the list.,0.25,0.18,0.47,0.37
Who did Chief of Army Staff (COAS) General Qamar Javed Bajwa meet during his visit to Iran in November 2017?, Chief of General Staff (CGS) Maj-Gen Muhammad Bagheri, Foreign Minister Mohammad Javad Zarif, President Hassan Rowhani, All of the Above,C,,val,Who did Chief of Army Staff (COAS) General Qamar Javed Bajwa meet,during his visit to Iran in November 2017?,in Moscow on 10 January 2019?,"on the sidelines of the 15th ASEAN Defence Ministers' Meeting-Plus (ADMM-Plus) in Kuala Lumpur, Malaysia, on November 13, 2018. During the visit, General Bajwa held bilateral talks with Malaysian Prime Minister Mahathir Mohamad and met with other regional defense officials to discuss strategic cooperation and regional security issues.",0.1,0.14,0.45,0.54
What does the active form of Entamoeba histolytica feed on?, food in intestine, mucosa and submucosa of colon only," erythrocytes, mucosa and submucosa of colon", None of the other choices,C,,val,What does the active form of,Entamoeba histolytica feed on?,"the verb ""to be"" indicate?","the verb ""to be"" look like? It changes depending on the subject: ""am"" for I, ""is"" for he/she/it, and ""are"" for you/we/they.",0.07,0.0,0.3,0.2
Which individual introduced the ideas of ‘Cultural Intensity’ and ‘Cultural Climax’ to the concept of a ‘Culture area’?, None of the other choices, E. B. Tylor, Clark Wissler, Franz Boas,A,,val,Which individual introduced the ideas of ‘Cultural Intensity’ and ‘Cultural Climax’,to the concept of a ‘Culture area’?,in the study of cultural evolution?,"were the American anthropologist **Robert Redfield** and the sociologist **Ralph Linton**. They introduced these concepts in their seminal 1936 book, *The Peasant Society and the Study of Civilizations*, to describe the dynamic relationship between small, traditional societies (low cultural intensity) and large, complex civilizations (high cultural intensity), arguing that the latter exerts a ""cultural climax"" or gravitational pull on the former.",0.09,0.31,0.41,0.62
How does the temperature affect the solubility of oxygen in water?, It decreases with increase in temperature, It decreases with decrease in temperature, It does not depend on temperature, It increases with increase in temperature,A,,val,How does the temperature affect the solubility,of oxygen in water?, of a solid in a liquid?,"of most solid solutes in water? Generally, as the temperature increases, the solubility of solids also increases. This means that warmer water can dissolve more solid material than cooler water. However, this trend does not apply to all substances; for example, the solubility of gases in liquids typically decreases as temperature rises.",0.11,0.4,0.61,0.71
Why does the resistance of a metal conductor increase with temperature?, change in current carriers., increase in the rate of collisions between the current carriers and the vibrating atoms of the conductor., increase in the number of collisions among the current carriers., None of the other choices,B,,val,Why does the resistance of a metal,conductor increase with temperature?,decrease with increasing temperature?,increase with temperature?,0.86,0.5,0.87,0.75
On what chemical principle do breath analyzers used by police to test for intoxicated drivers operate?, None of the other choices, Complexation reactions, Redox reactions, Acid-base reactions,D,,val,On what chemical principle do breath analyzers used by,police to test for intoxicated drivers operate?,police officers work? (A) The oxidation of ethanol to acetaldehyde by potassium dichromate (B) The reduction of ethanol to ethane by lithium aluminum hydride (C) The formation of an ester between ethanol and acetic acid (D) The dehydration of ethanol to ethene by concentrated sulfuric acid,"police officers operate? They rely on the principle of **oxidation**, specifically the catalytic oxidation of ethanol. Inside the device, a fuel cell or a copper catalyst at high temperatures reacts the alcohol in a breath sample with oxygen. This chemical reaction converts ethanol ($C_2H_5OH$) into acetic acid ($CH_3COOH$) and water, while simultaneously generating an electrical current. The magnitude of this current is directly proportional to the concentration of alcohol in the breath, allowing the machine to calculate the blood alcohol content (BAC).",0.04,0.08,0.52,0.57
"Blood calcium level is influenced by the amount of dietary calcium absorbed, the amount of calcium excreted in urine, the dissolution of bone releasing calcium into the bloodstream, and the uptake of calcium from the blood into tissues. Various factors significantly affect these processes. Identify the one that does not contribute.", Parathyroid hormone, Thymosin, Vitamin D, Thyrocalcitonin,B,,val,"Blood calcium level is influenced by the amount of dietary calcium absorbed, the amount of calcium excreted in urine, the dissolution of bone releasing calcium into the bloodstream, and the uptake of calcium from the blood into tissues. Various factors significantly affect these processes.",Identify the one that does not contribute.,Which of the following is NOT a factor that significantly affects these processes? A) The level of parathyroid hormone in the blood B) The amount of vitamin D in the diet C) The color of the skin D) The age of the individual,"Among these, the most critical regulator is parathyroid hormone (PTH), which is secreted by the parathyroid glands in response to low blood calcium levels. When calcium drops, PTH stimulates the dissolution of bone to release stored calcium, increases the reabsorption of calcium in the kidneys to reduce urinary excretion, and activates vitamin D to enhance intestinal absorption of dietary calcium. Conversely, when blood calcium levels are high, the hormone calcitonin is released to inhibit bone resorption and promote calcium deposition in bones, thereby lowering serum calcium concentrations. This dynamic interplay ensures that blood calcium remains within a narrow, physiologically optimal range essential for nerve function, muscle contraction, and blood clotting.",0.03,0.08,0.53,0.7
Which accessory sex gland is composed of 20-30 distinct lobes and produces approximately 30% of the semen?, Cowper's gland, Seminal vesicles, Bulbourethral gland, Prostate glands,D,,val,Which accessory sex gland is composed of 20-30 distinct lobes,and produces approximately 30% of the semen?,?,"The **seminal vesicles** are the accessory sex glands composed of approximately 20 to 30 distinct, highly coiled lobes. These lobes are responsible for producing a significant portion of the seminal fluid, which provides nutrients (such as fructose) and other substances essential for sperm motility and viability. While the prostate gland is also a major accessory gland, it is typically described as a single, walnut-sized organ rather than a multi-lobed structure in the same manner as the seminal vesicles.",0.09,0.0,0.52,0.65
Which of the following was not a feudal duty of the vassals to their liege lord?, Attendance at court and payment of tribute to the overlord., None of the other choices, Maintenance of a specified numbers of troops and payment of tribute to the king.," For smaller feudatories, permission from the king for any change in the administration of their property.",B,,val,Which of the following was not a feudal duty,of the vassals to their liege lord?,of a vassal to his lord?,"to pay taxes to the king.

(Note: In the feudal system, peasants or serfs owed labor, military service, or a portion of their harvest to their lord, but they did not pay direct taxes to the king. Taxes were typically levied by the king on the nobility or through specific mechanisms like tallage, not as a direct duty from the peasantry.)",0.12,0.46,0.52,0.81
"A salesman receives a 5.5% discount on his total sales along with a 0.5% bonus on sales exceeding Rs. 10,000. If his total earnings amounted to Rs. 1,990, what was the amount of his total sales in rupees?"," Rs. 34,000"," Rs. 45,000"," Rs. 22,000"," Rs. 32,000",A,,val,"A salesman receives a 5.5% discount on his total sales along with a 0.5% bonus on sales exceeding Rs. 10,000.","If his total earnings amounted to Rs. 1,990, what was the amount of his total sales in rupees?","If his total sales are Rs. 15,000, what is the net amount he receives?","If the salesman's total sales amount to Rs. 12,000, he first receives a 5.5% discount on the full amount, which equals Rs. 660. Additionally, since his sales exceed Rs. 10,000 by Rs. 2,000, he earns a 0.5% bonus on that excess, amounting to Rs. 10. Therefore, his total earnings from incentives are Rs. 670.",0.2,0.41,0.73,0.8
What in our residual plot indicates that the standard deviation of y varies with x?, Curve pattern, Linear Pattern, Fanning, All of the above,A,,val,What in our residual plot indicates that the standard,deviation of y varies with x?,errors are not constant.,What in our residual plot indicates that the standard deviation of the errors is not constant?,0.18,0.0,0.45,0.56
In what order should the boiling points of the following substances be listed?, None of the other choices, HCOOH > C2H5COOH > CH3COOH, HCOOH > CH3COOH > C2H5COOH, C2H5COOH > CH3COOH > HCOOH,D,,val,In what order should the boiling points of,the following substances be listed?,"the following substances be arranged from lowest to highest? (a) H2O, (b) H2S, (c) H2Se, (d) H2Te",the following substances be arranged?,0.8,0.36,0.84,0.67
Which of the following statements about scientific observation is FALSE?," yields valid data with classification, organization, or recording", is open to anyone who wants to pursue it, must occur under controlled conditions, must proceed systematically,B,,val,Which of the following statements about,scientific observation is FALSE?,the relationship between the size of a population and the rate of growth of that population is true?,the options is true?,0.25,0.09,0.42,0.44
What percentage of Earth's total history does the Precambrian Eon cover?, 87.6 percent, 5 percent, 0.04 percent, 12.4 percent,A,,val,What percentage of Earth's total history does,the Precambrian Eon cover?,the human species exist?,human civilization represent? Less than 0.01%.,0.0,0.25,0.42,0.42
Why are massive main-sequence stars more luminous than their low-mass counterparts?, None of the other choices, wider absorption lines., greater amounts of unstable heavy elements., greater core pressures and temperatures.,D,,val,Why are massive main-sequence stars more luminous,than their low-mass counterparts?,than low-mass main-sequence stars?,"than smaller ones? The answer lies in the relationship between a star's mass, its core temperature, and the rate of nuclear fusion. Massive stars have much stronger gravitational forces pulling inward, which creates an extremely high pressure and temperature in their cores. This intense environment allows for a vastly more rapid rate of hydrogen fusion compared to smaller stars. Because the energy production scales so steeply with mass (roughly to the fourth power), a star just twice as massive as the Sun can be hundreds of times more luminous, radiating that excess energy into space as brilliant light and heat.",0.06,0.55,0.61,0.86
The removal of ……………………….. necessitates a significant quantity of water., Urea, Uric acid, creatinine, Ammonia,D,,val,The removal of ……………………….. necessitates a,significant quantity of water.,comprehensive revision of the entire text.,"The removal of **a specific element** necessitates a **reassessment of the entire system**.

*(Note: Since the original text was not provided, this is a logical completion based on common sentence structures. If you have the specific source text you are referring to, please provide it for an exact match.)*",0.04,0.2,0.37,0.56
What is the effect of suppressing frequencies that do not contain any signal?, None of the other choices, Decreases S/N ratio, Increases S/N ratio, S/N ratio is kept constant,C,,val,What is the effect of suppressing frequencies that,do not contain any signal?,are below the Nyquist frequency in a digital signal?,are below the threshold of human hearing?,0.0,0.14,0.66,0.57
What is the term for analyzing human remains to detect signs of foul play?, Forensic Chemistry, None of the other choices, Forensic Pathology, Forensic Botany,C,,val,What is the term for analyzing human remains,to detect signs of foul play?,to determine the cause of death?,"What is the term for analyzing human remains? The answer is **forensic anthropology**. This specialized field of physical anthropology focuses on the study of human skeletal remains to assist in legal investigations, often helping to determine the identity of the deceased, estimate the time since death, and identify any signs of trauma or disease.",0.1,0.33,0.52,0.59
What will a cross-section at the midpoint of the middle segment of a human sperm reveal?, centriole and mitochondria," centriole, mitochondria and 9+2 arrangement of microtubules", 9+2 arrangement of microtubules only, mitochondria and 9+2 arrangement of microtubules,D,,val,What will a cross-section at the midpoint of the,middle segment of a human sperm reveal?,cross-section of a cube look like?,What will a cross-section at the midpoint of the **beam look like?**,0.1,0.29,0.37,0.49
Who authored the KATHĀVATTHU?, Moggaliputta Tissa, Buddhaghosa, Nāgasena, None of the other choices,A,,val,Who authored,the KATHĀVATTHU?,"the book ""The Great Gatsby""?",the book?,0.4,0.25,0.68,0.42
Which of these statements regarding telescopes is false?, We see distant cars getting smaller and smaller because their view to our eyes is diminishing, All telescopes are made of two convex lenses, The objective lens of the telescope can be a concave mirror, The objective lens (convex lens) of the telescope forms a reduced real image,B,,val,Which of these statements regarding,telescopes is false?,the relationship between the size of a population and the rate of growth of that population is true?,the relationship between sleep and memory consolidation is true?,0.17,0.1,0.34,0.39
In which of the following cases did the Supreme Court overturn its previous judgments in Shankari Prasad vs. Union of India (1951) and Sajjan Singh vs. State of Rajasthan (1965) regarding the Parliament's power to amend Fundamental Rights?, A.K. Gopalan Vs State of Madras, Golaknath Vs Punjab State, Minerva Mills Vs Union Government, None of the other choices,B,,val,In which of the following cases did the Supreme Court overturn its previous judgments in Shankari Prasad vs. Union of India (1951),and Sajjan Singh vs. State of Rajasthan (1965) regarding the Parliament's power to amend Fundamental Rights?,and Golaknath vs. State of Punjab (1967)?,"In which of the following cases did the Supreme Court overturn its previous judgments in *Shankari Prasad vs. Union of India* (1951)?

The Supreme Court overturned its earlier decision in **Kesavananda Bharati v. State of Kerala (1973)**.

In *Shankari Prasad* (1951), the Court had held that Parliament's power to amend the Constitution under Article 368 was unlimited and could not be challenged under Article 13, which prohibits laws that take away or abridge fundamental rights. This view was reaffirmed in *Sajjan Singh v. State of Rajasthan* (1965). However, in the landmark *Kesavananda Bharati* case, a 13-judge bench of the Supreme Court overruled these precedents. It established the **""Basic Structure Doctrine,""** ruling that while Parliament has the power to amend any part of the Constitution, it cannot alter or destroy its ""basic structure"" or essential features. Consequently, amendments that violate fundamental rights in a way that damages the basic structure (such as the right to property being a fundamental right at that time) are unconstitutional. This doctrine was later solidified in the *Minerva Mills v. Union of India* (1980) case.",0.14,0.33,0.59,0.67
What is the amount of charge passing through any cross section per unit time in a conductor with a non-uniform cross-section when a steady current is flowing?, Independent of the area of cross-section, Directly proportional to the area of cross-section, Proportional to square of the area of cross-section, Inversely proportional to the area of cross-section,A,,val,What is the amount of charge passing through any cross section per unit time in a,conductor with a non-uniform cross-section when a steady current is flowing?,conductor?,"conductor? This physical quantity is known as electric current. Mathematically, it is defined as the rate of change of charge with respect to time, expressed by the formula $I = \frac{dQ}{dt}$, where $I$ represents current, $Q$ is the charge, and $t$ is time. The standard unit of measurement for electric current is the ampere (A), which corresponds to one coulomb of charge passing through a cross-section per second.",0.12,0.14,0.54,0.69
For which type of fund is a statement of cash flows required?, Governmental, Fiduciary, Proprietary, All of the above,C,,val,For which type of fund is a,statement of cash flows required?,manager's compensation based on the fund's performance?,For which type of fund is a **board of directors required to approve the investment policy statement?**,0.18,0.0,0.49,0.45
What is the phenomenon called when a beam of light passes through a colloidal solution?, Cataphoresis, Tyndall effect, Electrophoresis, Coagulation,B,,val,What is the phenomenon called when a beam of,light passes through a colloidal solution?,light passes through a narrow slit and spreads out?,"light passes through a small aperture or around an obstacle and spreads out into a region of space that would otherwise be in shadow? This phenomenon is known as **diffraction**.

It occurs because light behaves as a wave; when it encounters an obstacle or opening comparable in size to its wavelength, the wavefronts bend and interfere with one another, creating patterns of bright and dark fringes. This effect is a fundamental demonstration of the wave nature of light and is observed in various contexts, from the spreading of sound waves around corners to the intricate patterns seen in the diffraction of X-rays through crystals.",0.07,0.53,0.43,0.46
What special measures are needed to grow stringent anaerobes in a medium?, passing through oxygen-free nitrogen, any of these, addition of cysteine, boiling the media for several minutes,B,,val,What special measures are needed to grow,stringent anaerobes in a medium?,rice in the Philippines?,a thriving community?,0.25,0.22,0.38,0.37
What does CPRF stand for?, Combined Plain Round Foundation, Corrosion Proof Raft Foundation, Connected Pile Round Foundation, Combined Pile Raft Foundation,D,,val,What does CPRF,stand for?, stand for?,"stand for? It is an acronym for the Communist Party of the Russian Federation, a major political party in Russia founded by former Soviet leader Boris Yeltsin's rival, Gennady Zyuganov, in 1993.",0.11,1.0,0.55,1.0
Where is a difference equation used?, Digital analysis, Continuous time analysis, Discrete time analysis, None of the mentioned,C,,val,Where is a difference,equation used?,between the two?,where a difference makes a difference.,0.0,0.0,0.49,0.45
Which of the following statements about Concurrent composite states is incorrect?, Concurrent composite states simplify state diagrams by greatly reducing the number of states and transitions, All of the mentioned," Any set of concurrent state diagrams can be converted into an equivalent sequential state diagram, but the number of states in the sequential state diagram may be as much as the product of the number of states in each of the concurrent state diagrams", None of the mentioned,A,,val,Which of the following statements about Concurrent,composite states is incorrect?,"Execution is true?
A. It is possible for a process to be in the running state while another process is also in the running state on a single-core system.
B. It is possible for a process to be in the waiting state while another process is in the ready state.
C. It is possible for a process to be in the ready state while another process is in the running state.
D. It is possible for a process to be in the terminated state while another process is in the ready state.
E. All of the above.","Execution is true? (Note: This appears to be an incomplete multiple-choice question stem. Without the list of options (A, B, C, D) or the specific context of the exam/textbook this was taken from, it is impossible to provide the correct completion with certainty. However, a common completion for this type of question stem is:)

""...that multiple processes can run at the same time on a single processor through time-slicing is true.""

*(If you can provide the full list of options or the source material, I can give you the exact intended answer.)*",0.02,0.02,0.38,0.53
"Which disease, associated with fever and rash, has an incubation period ranging from 10 to 21 days?", Measles, German measles, Dengue, Chicken pox,D,,val,"Which disease, associated with fever and rash, has an incubation",period ranging from 10 to 21 days?, period of 10 to 14 days?,period of 2 to 3 weeks?,0.31,0.62,0.77,0.82
