subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
anatomy,The lateral pterygoid muscle,is attached to the coronoid process and elevates the mandible.,is attached to the condylar process and elevates the mandible.,is attached to the coronoid process and protrudes the mandible.,is attached to the condylar process and protrudes the mandible.,3,D,test,The lateral,pterygoid muscle,view,thinking,0.0,0.0,0.24,0.3,No
public_relations,"In recent research, the 14,000 stories that could be accessed on Google News' front page in a day pertained to how many actual news events?",18,24,326,"9,574",1,B,test,"In recent research, the 14,000 stories that could be accessed on Google News' front page",in a day pertained to how many actual news events?,"A. 14,000 stories were published daily on the front page  
B. 14,000 stories could be accessed on the front page  
C. The front page contained only news stories  
D. All news stories on the front page","front page, which provides direct access to hundreds of thousands of articles stored across various categories, enabling users to retrieve and engage with the most relevant information in real-time.",0.05,0.08,0.5,0.57,No
high_school_psychology,Which of the following neurotransmitters is most explicitly associated with the experience of pleasure?,GABA,Acetylcholine,Serotonin,Dopamine,3,D,test,Which of the following neurotransmitters is most explicitly,associated with the experience of pleasure?,"A. Acetylcholine
B. Norepinephrine
C. Dopamine
D. Serotonin",Which of the following neurotransmitters is most explicitly secreted by the presynaptic neuron.,0.11,0.0,0.45,0.35,No
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I teased Kelly's transition. Scenario 2 | While the elderly lady was gone I helped her by cleaning her out of everything in her house.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,validation,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I teased Kelly's transition.",Scenario 2 | While the elderly lady was gone I helped her by cleaning her out of everything in her house.,Scenario 2 | The character insulted a friend.,Scenario 2 | I lied about the outcome of a public project proposal.,0.25,0.22,0.65,0.65,No
professional_law,"A condominium development consists of two buildings, one with balconies attached to each unit, and one withno balconies. For safety concerns, the condominium association amended the covenants and restrictions toprohibit future sales of balcony units to families with minor children. The amendment did not affect families withchildren already living in balcony units. The amendment was promptly recorded. The condominium associationhad a valid covenant providing that all sales had to be approved by the association. Subsequent to the effective date of the amendment, the owner of a balcony unit contracted to sell it to a familywith minor children. Before the closing, the association told the buyers that because they had minor children,they could not buy the unit. The association further told the buyers that numerous units were available in thebuilding without balconies. After receiving this notification, the buyers complained to a fair housing agency, claiming that the amendmentwas unenforceable because it violated federal fair housing laws. Is there reasonable cause to believe that a violation has occurred?","No, because families with children are allowed to purchase units in the building without balconies.","No, because the amendment is based on legitimate safety issues.","Yes, because families with children are already living in units with balconies.","Yes, because families with children cannot be segregated within the condominium development.",3,D,test,"A condominium development consists of two buildings, one with balconies attached to each unit, and one withno balconies. For safety concerns, the condominium association amended the covenants and restrictions toprohibit future sales of balcony units to families with minor children. The amendment did not affect families withchildren already living in balcony units. The amendment was promptly recorded. The condominium associationhad a valid covenant providing that all sales had to be approved by the association. Subsequent to the effective date of the amendment, the owner of a balcony unit contracted to sell it to a familywith minor children.","Before the closing, the association told the buyers that because they had minor children,they could not buy the unit. The association further told the buyers that numerous units were available in thebuilding without balconies. After receiving this notification, the buyers complained to a fair housing agency, claiming that the amendmentwas unenforceable because it violated federal fair housing laws. Is there reasonable cause to believe that a violation has occurred?",Which of the following is/are CORRECT?,"The condominium association faces the legal hurdle of determining if the amendment prevents the transfer of a balcony unit to a family with minor children, and if so, whether the contract remains enforceable despite the change in restrictions.",0.15,0.05,0.73,0.71,No
human_aging,"All other things being equal, which of the following persons is more likely to show osteoporosis?",An older Hispanic American woman,An older African American woman,An older Asian American woman,An older Native American woman,2,C,dev,"All other things being equal, which of the following",persons is more likely to show osteoporosis?,Choose one of the following answers.,which of the following is the most suitable option,0.12,0.0,0.4,0.38,No
formal_logic, Select the best translation into predicate logic. Some firefighters rescue victims from danger. (Dx: x is danger; Fx: x is a firefighter; Vx: x is a victim; Rxyz: x rescues y from z),(∃x){Fx • (∀y)[Dy ⊃ (∃z)(Vz • Rxyz)]},(∃x){Fx • (∃y)[Vy • (∃z)(Dz • Rxyz)]},(∃x){Fx • (∃y)(∃z)[(Vy • Dz) • Rxzy]},(∀x){Fx ⊃ (∃y)[Vy . (∃z)(Dz • Rxyz)]},1,B,test, Select the best translation into predicate logic. Some firefighters rescue victims from danger.,(Dx: x is danger; Fx: x is a firefighter; Vx: x is a victim; Rxyz: x rescues y from z),,There exists a firefighter x who rescues a victim y from danger.,0.44,0.0,0.71,0.78,No
econometrics,"Which of the following statements will be true if the number of replications used in a Monte Carlo study is small?

i) The statistic of interest may be estimated imprecisely


ii) The results may be affected by unrepresentative combinations of random draws


iii) The standard errors on the estimated quantities may be unacceptably large


iv) Variance reduction techniques can be used to reduce the standard errors",(ii) and (iv) only,(i) and (iii) only,"(i), (ii), and (iv) only","(i), (ii), (iii), and (iv)",3,D,test,Which of the following statements will be true if the number of replications used in a Monte Carlo study is small?,"i) The statistic of interest may be estimated imprecisely


ii) The results may be affected by unrepresentative combinations of random draws


iii) The standard errors on the estimated quantities may be unacceptably large


iv) Variance reduction techniques can be used to reduce the standard errors","A. The results will be less reliable.
B. The variance will increase.
C. The estimates will become more accurate.
D. None of the above.",The results will be highly variable and statistically unreliable due to the increased sampling error associated with a smaller sample size.,0.15,0.17,0.56,0.54,No
jurisprudence,The body of law which establishes rights between persons and provides for redress for violation of those rights is known as:,Criminal Law,Civil Law.,The Uniform Commercial Code.,Stare decisis.,1,B,test,The body of law which establishes rights between persons and provides for,redress for violation of those rights is known as:,property.,justice,0.0,0.0,0.59,0.48,No
computer_security,A/an ___________ is a program that steals your logins & passwords for instant messaging applications.,IM – Trojans,Backdoor Trojans,Trojan-Downloader,Ransom Trojan,0,A,test,A/an ___________ is a program that steals your logins,& passwords for instant messaging applications.,Spyware,malware,0.0,0.0,0.56,0.6,No
high_school_statistics,"The average number of calories in Yum-Yum Good candy bars is 210, with a standard deviation of 10. If the number of calories per candy bar is normally distributed, what percent of candy bars contain more than 225 calories?",66.80%,47.70%,43.30%,6.68%,3,D,test,"The average number of calories in Yum-Yum Good candy bars is 210, with a standard deviation of 10.","If the number of calories per candy bar is normally distributed, what percent of candy bars contain more than 225 calories?",therefore the data suggests a healthy trend.,"Assuming the population of calorie counts is normally distributed with a mean of 210 calories and a standard deviation of 10 calories, what is the probability that a randomly selected candy bar will contain fewer than 205 calories?",0.34,0.07,0.66,0.61,No
security_studies,Which of the following represent a move away from traditional interpretations of security studies?,Critical questioning.,Realist logic.,State-centric security analysis.,All of these options.,0,A,test,Which of the following represent a move away,from traditional interpretations of security studies?,None,from the current state.,0.2,0.0,0.49,0.35,No
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Everyday I gave her 2 slaps before school. Scenario 2 | I peed in the public urinal.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Everyday I gave her 2 slaps before school.",Scenario 2 | I peed in the public urinal.,Scenario 2 | Every student knows that it is bad to be violent.,Scenario 2 | Everyday I stole her lunch money and kept it,0.32,0.2,0.6,0.7,No
professional_accounting,Match Co. manufactures a product with the following costs per unit based on a maximum plant capacity of 400000 units per year: Direct materials $ 60 Direct labor 10 Variable overhead 40 Fixed overhead 30 Total $140 Match has a ready market for all 400000 units at a selling price of $200 each. Selling costs in this market consist of $10 per unit shipping and a fixed licensing fee of $50000 per year. Reno Co. wishes to buy 5000 of these units on a special order. There would be no shipping costs on this special order. What is the lowest price per unit at which Match should be willing to sell the 5000 units to Reno?,$110,$140,$190,200,2,C,test,Match Co. manufactures a product with the following costs per unit based on a maximum plant capacity of 400000 units per year: Direct materials $ 60 Direct labor 10 Variable overhead 40 Fixed overhead 30 Total $140 Match has a ready market for all 400000 units at a selling price of $200 each. Selling costs in this market consist of $10 per unit shipping and a fixed licensing fee of $50000 per year. Reno Co. wishes to buy 5000 of these units on a special order.,There would be no shipping costs on this special order. What is the lowest price per unit at which Match should be willing to sell the 5000 units to Reno?,Match Co. should accept the special order from Reno Co. because the incremental revenue is greater than the incremental cost.,"Match Co. should accept the special order from Reno Co. if the incremental revenue generated covers the incremental variable costs and contributes to increasing total company profits without exceeding the available plant capacity of 400,000 units.",0.18,0.16,0.74,0.78,No
miscellaneous,What biological process replicates DNA?,molting,mitosis,diffusion,peristalsis,1,B,test,What biological process,replicates DNA?,cellular respiration,What biological process creates energy from food and water?,0.0,0.0,0.41,0.35,No
electrical_engineering,For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,111.9 ohm,11.19 ohm,108 ohm,115 ohm,0,A,test,For an SCR gate cathode characteristic is a straight line of 130.,For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,Which of the following best describes the relationship?,For an SCR gate cathode characteristic is a straight line of 130.,0.18,0.14,0.6,0.5,No
international_law,Is extra-territorial abduction a ground for refusal of otherwise lawful jurisdiction by English courts?,Such abduction constitutes abuse of process and leads to a stay of proceedings,Such abduction gives rise to the abductor's liability but does not lead to a stay of proceedings,The stay of proceedings under such circumstances would prevent the administration of justice in respect of international criminals,"The courts may, but will seldom, stay proceedings in cases of extra-territorial abduction",0,A,test,Is extra-territorial abduction a ground for refusal of,otherwise lawful jurisdiction by English courts?,a marriage,refusal of extradition,0.0,0.0,0.38,0.35,No
management,What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,3,D,test,What are characteristics of,a programmed decision?,living organisms.,leadership traits. Effective decision making,0.25,0.0,0.47,0.34,No
high_school_statistics,A department store at a large mall claims that over 60 percent of the mall’s visitors shop at that store. Let p = the proportion of the mall’s visitors who shop at the store. Which of the following pairs of hypotheses should be used to support this claim?,H0: p ≤ 0.60 and Ha: p > 0.60,H0: p = 0.60 and Ha: p 0.60,H0: p = 0.60 and Ha: p < 0.60,H0: p > 0.60 and Ha: p 0.60,0,A,test,A department store at a large mall claims that over 60 percent of the mall’s visitors shop at that store. Let p = the proportion of the mall’s visitors who shop at the store.,Which of the following pairs of hypotheses should be used to support this claim?,What is the value of p?,"To evaluate the validity of the store's claim, we will take a random sample of the mall's visitors and compare the observed proportion to the hypothesized value using a test statistic.",0.17,0.2,0.65,0.73,No
miscellaneous,What does the acronym 'REM' stand for?,random energy module,rapid eye movement,red entertainment machine,really energetic music,1,B,test,What does the acronym,'REM' stand for?,stand for.,What does the acronym WHO stand for?,0.4,0.8,0.46,0.66,No
anatomy,A pulse may be felt on a patient's face where the,facial artery crosses the mandible.,facial artery crosses the maxilla.,superficial temporal artery crosses the maxilla.,superficial temporal artery crosses the orbital rim.,0,A,test,A pulse may be felt on a,patient's face where the,wrist.,wrist,0.0,0.0,0.36,0.4,No
high_school_mathematics,"Let $C$ be the circle with equation $x^2+12y+57=-y^2-10x$. If $(a,b)$ is the center of $C$ and $r$ is its radius, what is the value of $a+b+r$?",-9,-5,-6,-57,0,A,test,Let $C$ be the circle with equation $x^2+12y+57=-y^2-10x$.,"If $(a,b)$ is the center of $C$ and $r$ is its radius, what is the value of $a+b+r$?",What is the radius of circle C.?,"The center of the circle is $(-5, -6)$ and the radius is $2$.",0.35,0.29,0.61,0.67,No
high_school_microeconomics,"Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,","Ray pulls weeds, since he has absolute advantage in cooking.","Dorothy pulls weeds, since she has absolute advantage in cooking.","Dorothy cooks, since she has comparative advantage in cooking.","Ray cooks, since he has comparative advantage in cooking.",3,D,test,"Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds.","Based on this information,",In how many hours will they pull the same number of weeds?,"Therefore, it is necessary to establish a balanced schedule to accommodate their varying workloads.",0.0,0.0,0.77,0.79,No
miscellaneous,Which of the following is a way in which Congress can influence the federal bureaucracy?,Increasing or decreasing departmental salaries,Appropriating funds,Appointing agency heads,Dismissing cabinet secretaries,1,B,test,Which of the following is a way in which,Congress can influence the federal bureaucracy?,are ways to improve,to achieve optimal results,0.0,0.0,0.33,0.3,No
anatomy,Oxygenated blood is carried to the heart by which of the following structures?,Aorta,Carotid arteries,Inferior vena cava,Pulmonary veins,3,D,test,Oxygenated blood is carried to the heart by,which of the following structures?,the pulmonary veins.,pulmonary veins.,0.0,0.25,0.67,0.65,No
moral_disputes, Nagel clarifies that absolutism is the view that we should,prevent murder at all costs,avoid murder at all costs,only sometimes prevent murder,only sometimes avoid murder,1,B,test, Nagel clarifies that absolutism is the,view that we should,is absolute truth.,is the belief in absolute monarchical rule,0.0,0.0,0.46,0.49,No
clinical_knowledge,"In hypovolaemic shock, what percentage of blood can be lost before it is reflected in changes in heart rate and blood pressure?",5%,10%,20%,30%,3,D,test,"In hypovolaemic shock, what percentage of blood can be lost before it is",reflected in changes in heart rate and blood pressure?,life-threatening,"In hypovolaemic shock, what percentage of blood can be lost before it is sufficient to compromise cardiac output",0.15,0.0,0.57,0.59,No
philosophy,What are the two principal answers to whether life has any meaning for us?,the external view and the internal view,the pessimist'sview and the optimist'sview,the religious view and the liberal view,the theistic view and the agnostics view,1,B,test,What are the two principal answers to whether,life has any meaning for us?,whether a theory is valid,whether free will or determinism governs the outcome,0.0,0.0,0.52,0.47,No
prehistory,What was NOT a deciding factor in the development of Mesopotamian civilization?,the need to concentrate population away from arable lands near rivers,"the need to construct monumental works, such as step-pyramids and temples",the need to develop a complex social system that would allow the construction of canals,the use of irrigation to produce enough food,0,A,test,What was NOT a deciding factor in,the development of Mesopotamian civilization?,the decision to increase funding,in the outcome of the process,0.36,0.2,0.5,0.33,No
sociology,Margaret Mead suggested that:,adolescence and gender roles varied between societies and so were culturally determined,gender roles in three New Guinea societies were identical and so must be biologically determined,adolescence in the USA is a time of relative calm compared to the experience in Japan and Europe,anthropological fieldwork can be problematic because the researcher's values affect the way they interpret their observations,0,A,test,Margaret Mead,suggested that:,What is her nationality?,"Mead is widely recognized for her pioneering research into child development and the effects of cultural environments on individual behavior. Her work challenged traditional views on gender roles, arguing that children adapt differently depending on the societal expectations placed upon them. By promoting dialogue across diverse families, she helped shape modern educational frameworks and global understanding of human relationships.",0.03,0.0,0.48,0.39,No
high_school_european_history,"This question refers to the following information.
Under the name of Chartist well-meaning inconsiderate men and other misled men have in very many cases, all over the country from the extreme west to the extreme east and from Brighton in the south to nearly the extreme north of Scotland, denounced every man who is not a working man, applied to him, the grossest epithets and most atrocious intentions and conduct, have threatened them with vengeance and in some places, have proposed plans for the seizure and division of their property—numbers of misled men and others of bad character, under the self-denomination of Chartists have gone from place to place and in the most violent manner disturbed and dispersed meetings of various kinds. Your Committee object to the words Household Suffrage since under any honest definition of the words—they would exclude a large majority of the men of these kingdoms—and because they have become reasonably obnoxious to the political portion of the working people.
—Excerpt of a letter from British social reformer Francis Place, written in 1842
The primary goal of the Chartist movement was which of the following?",Universal suffrage,Universal male suffrage,Universal health care,Social security and unemployment insurance,1,B,test,"This question refers to the following information. Under the name of Chartist well-meaning inconsiderate men and other misled men have in very many cases, all over the country from the extreme west to the extreme east and from Brighton in the south to nearly the extreme north of Scotland, denounced every man who is not a working man, applied to him, the grossest epithets and most atrocious intentions and conduct, have threatened them with vengeance and in some places, have proposed plans for the seizure and division of their property—numbers of misled men and others of bad character, under the self-denomination of Chartists have gone from place to place and in the most violent manner disturbed and dispersed meetings of various kinds.","Your Committee object to the words Household Suffrage since under any honest definition of the words—they would exclude a large majority of the men of these kingdoms—and because they have become reasonably obnoxious to the political portion of the working people. —Excerpt of a letter from British social reformer Francis Place, written in 1842
The primary goal of the Chartist movement was which of the following?","According to the passage, what were the main characteristics of the Chartist movement as described?","Consequently, the intense turmoil and repeated interruptions caused by the agitators drew immediate attention from local authorities, leading to the arrest of numerous participants and the banning of gatherings. Ultimately, this series of violent confrontations weakened the support base of the movement while highlighting the need for moderation and adherence to established laws governing political discourse.",0.21,0.17,0.52,0.61,No
human_aging,BMI is regarded as a better measure of health than weight by itself because BMI is based on weight and,Height,Bone structure,Immune Function,Diet and exercise,0,A,test,BMI is regarded as a better measure of health than weight by,itself because BMI is based on weight and,health professionals,BMI is regarded as a better measure of health than weight by medical experts.,0.27,0.0,0.58,0.64,No
college_medicine,"A source emits a sound from one medium with a certain velocity, intensity, frequency and wavelength. When the sound exits the first medium and enters a denser medium, all of the following changes EXCEPT:",velocity,intensity,frequency,wavelength,2,C,test,"A source emits a sound from one medium with a certain velocity, intensity, frequency and wavelength.","When the sound exits the first medium and enters a denser medium, all of the following changes EXCEPT:",Which of the following statements correctly describes the behavior of the wave?,"Thus, when the sound travels through a different medium, the frequency remains constant while the wavelength and velocity are altered accordingly.",0.31,0.27,0.66,0.55,No
professional_psychology,Performance of which type of activity has a positive relationship with age,Continuous paced data processing,Knowledge-based judgments with no time pressure,Relatively undemanding activities,Skilled manual labor,1,B,validation,Performance of which type of activity has,a positive relationship with age,increased significantly over the last 5 years,Performance of which type of activity has been evaluated.,0.0,0.0,0.34,0.45,No
professional_law,"A city ordinance forbids washing vehicles parked on city streets. A man washes his car while it is parked on the street in front of his home. The water forms a puddle in the street, which freezes over during the night. Early the next morning, a car driving on the street slides on the ice and crashes into a tree. If the driver of the car sues the man and asserts that the man was negligent per Se, which of the following additional facts would help the man the most?",The man was not aware of the ordinance.,The city council enacted the ordinance after someone washing his car was hit by a passing truck.,The driver lives in the man's neighborhood and saw the man washing his car the day before the accident.,The driver is not a resident of the city.,1,B,test,"A city ordinance forbids washing vehicles parked on city streets. A man washes his car while it is parked on the street in front of his home. The water forms a puddle in the street, which freezes over during the night.","Early the next morning, a car driving on the street slides on the ice and crashes into a tree. If the driver of the car sues the man and asserts that the man was negligent per Se, which of the following additional facts would help the man the most?",Does the man violate the ordinance?,"Accordingly, the municipality retains the authority to punish him for violating the parking restriction despite the snow.",0.12,0.11,0.51,0.58,No
