subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,first_piece,second_piece,generated_guided_completion
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took a toy from the store Scenario 2 | I drank gatorade during halftime of the big game.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020?",Scenario 1 | I took a toy from the store Scenario 2 | I drank gatorade during halftime of the big game.,"Scenario 1: You find a wallet containing $500 and your keys while walking alone. You decide to keep the $500 because you are broke and need money for rent, and you leave the keys and wallet together on the sidewalk near a mailbox.
Scenario 2: You witness a shoplifter stealing a $500 worth of electronics from a department store. You call the police to report them, but you do not intervene to physically stop them."
prehistory,How have archaeologists characterized the monuments built by the Olmec?,Halafian ritual monuments,megalithic chiefdoms,surplus food storage centers,regal-ritual centers,3,D,test,How have archaeologists characterized the monuments,built by the Olmec?,?\n
management,How can organisational structures that are characterised by democratic and inclusive styles of management be described?,Hierarchical,Bureaucratic,Flat,Functional,2,C,dev,How can organisational structures that are characterised by democratic,and inclusive styles of management be described?,centralism be improved?
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I washed the car and was paid. Scenario 2 | During the house's demolition, I pushed over a wall as he watched.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",3,D,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I washed the car and was paid.","Scenario 2 | During the house's demolition, I pushed over a wall as he watched.",Scenario 2 | I hit a pedestrian who was crossing the street.
logical_fallacies,"In a hypothetical syllogism, when the minor premise affirms the antecedent",no valid conclusion can be drawn,the conclusion must affirm the consequent,the conclusion must deny the consequent,the conclusion must deny the antecedent,1,B,test,"In a hypothetical syllogism, when the minor",premise affirms the antecedent,"premise is false, the conclusion must be false."
high_school_european_history,"This question refers to the following information.
The pair of excerpts below is written by explorer Christopher Columbus and the Dominican Bishop of Chiapas, Mexico, Bartholomew de las Casas.
Source 1
Indians would give whatever the seller required. . . . Thus they bartered, like idiots, cotton and gold for fragments of bows, glasses, bottles, and jars; which I forbad as being unjust, and myself gave them many beautiful and acceptable articles which I had brought with me, taking nothing from them in return; I did this in order that I might the more easily conciliate them, that they might be led to become Christians, and be inclined to entertain a regard for the King and Queen, our Princes and all Spaniards, and that I might induce them to take an interest in seeking out, and collecting and delivering to us such things as they possessed in abundance, but which we greatly needed.
—Christopher Columbus: letter to Raphael Sanchez, 1493
Source 2
It was upon these gentle lambs . . . that from the very first day they clapped eyes on them the Spanish fell like ravening wolves upon the fold, or like tigers and savage lions who have not eaten meat for days. The pattern established at the outset has remained unchanged to this day, and the Spaniards still do nothing save tear the natives to shreds, murder them and inflict upon them untold misery, suffering and distress, tormenting, harrying and persecuting them mercilessly. We shall in due course describe some of the many ingenious methods of torture they have invented and refined for this purpose, but one can get some idea of the effectiveness of their methods from the figures alone. When the Spanish first journeyed there, the indigenous population of the island of Hispaniola stood at some three million; today only two hundred survive. Their reason for killing and destroying such an infinite number of souls is that the Christians have an ultimate aim, which is to acquire gold, and to swell themselves with riches in a very brief time and thus rise to a high estate disproportionate to their merits.
—Bartholomew de las Casas: A Short Account of the Destruction of the Indies, 1542
Which of the following motives for exploration is de las Casas most likely to think is most important in Source 2?",Converting the natives to Christianity,Financial gain,Personal glory,Finding new mates,0,A,test,"This question refers to the following information. The pair of excerpts below is written by explorer Christopher Columbus and the Dominican Bishop of Chiapas, Mexico, Bartholomew de las Casas. Source 1
Indians would give whatever the seller required. . . . Thus they bartered, like idiots, cotton and gold for fragments of bows, glasses, bottles, and jars; which I forbad as being unjust, and myself gave them many beautiful and acceptable articles which I had brought with me, taking nothing from them in return; I did this in order that I might the more easily conciliate them, that they might be led to become Christians, and be inclined to entertain a regard for the King and Queen, our Princes and all Spaniards, and that I might induce them to take an interest in seeking out, and collecting and delivering to us such things as they possessed in abundance, but which we greatly needed. —Christopher Columbus: letter to Raphael Sanchez, 1493
Source 2
It was upon these gentle lambs . .",". that from the very first day they clapped eyes on them the Spanish fell like ravening wolves upon the fold, or like tigers and savage lions who have not eaten meat for days. The pattern established at the outset has remained unchanged to this day, and the Spaniards still do nothing save tear the natives to shreds, murder them and inflict upon them untold misery, suffering and distress, tormenting, harrying and persecuting them mercilessly. We shall in due course describe some of the many ingenious methods of torture they have invented and refined for this purpose, but one can get some idea of the effectiveness of their methods from the figures alone. When the Spanish first journeyed there, the indigenous population of the island of Hispaniola stood at some three million; today only two hundred survive. Their reason for killing and destroying such an infinite number of souls is that the Christians have an ultimate aim, which is to acquire gold, and to swell themselves with riches in a very brief time and thus rise to a high estate disproportionate to their merits. —Bartholomew de las Casas: A Short Account of the Destruction of the Indies, 1542
Which of the following motives for exploration is de las Casas most likely to think is most important in Source 2?","whom you slaughtered with such eagerness. —Bartholomew de las Casas: Letter to Charles V, 1567

According to the passages above, which of the following best summarizes the primary disagreement between the two authors regarding the indigenous population?"
international_law,What kind of State practice is required?,"Widespread, consistent and uniform practice, consisting both of acts and omissions.","Only widespread, consistent and uniform acts and not omissions of States",Widespread acts and omissions of States but not necessarily consistent or uniform,"Consistent practice of few States, including both acts and omissions, which is met with protestation by the other States",0,A,validation,What kind of State,practice is required?,does the Constitution establish?
philosophy,What does the notion of “meaning in life” refer to?,external meaning,god's plan,internalmeaning,meaning in an afterlife,2,C,test,What does the notion of “meaning,in life” refer to?,” refer to?
college_physics,"Consider three identical, ideal capacitors. The first capacitor is charged to a voltage and then disconnected from the battery. The other two capacitors, initially uncharged and connected in series, are then connected across the first capacitor. What is the final voltage on the first capacitor?",V_0/5,V_0/3,V_0/2,2V_0/3,3,D,test,"Consider three identical, ideal capacitors. The first capacitor is charged to a voltage and then disconnected from the battery.","The other two capacitors, initially uncharged and connected in series, are then connected across the first capacitor. What is the final voltage on the first capacitor?",
anatomy,Gastrulation is the process of,mesoderm formation and occurs after neurulation.,ectomesenchyme formation and occurs before neurulation.,mesoderm formation and occurs before neurulation.,ectomesenchyme formation and occurs after neurulation.,1,B,test,Gastrulation is the,process of,
machine_learning,Another term for out-of-distribution detection is?,anomaly detection,one-class detection,train-test mismatch robustness,background detection,0,A,test,Another term for out-of-distribution,detection is?,
prehistory,"Which perspective asserts that the Earth and all living organisms are less than six thousand years old and have changed little, if at all, since then?",uniformitarian,paleoanthropological,creationist,all of the above,2,C,test,Which perspective asserts that the Earth and all living organisms are less than six thousand,"years old and have changed little, if at all, since then?",
public_relations,Which type of measurement is the most effective choice for evaluating a campaign's impact on audience attitudes?,preparing a content analysis of media coverage,studying the content of blog postings about your issue,analyzing pre and post sales reports for changes in sales,conducting a pre and post analysis of constituents' opinions,3,D,test,Which type of measurement is the most effective choice for,evaluating a campaign's impact on audience attitudes?,
professional_law,"A 17-year-old boy was jostling with his 12-year-old brother. A pedestrian witnessed the boy shoving his brother and mistakenly believed that they were fighting. Acting as a Good Samaritan, the pedestrian approached the boys and tried to intercede. The boy stumbled and accidentally fell into the pedestrian, knocking him to the ground. The pedestrian broke his arm as a result of the fall. If the pedestrian sues the boy to recover damages for his injury, he should","prevail, because the pedestrian reasonably believed that the boy was about to injure his brother.","prevail, based upon the doctrine of transferred intent.","not prevail, because the pedestrian assumed the risk.","not prevail, unless the boy was negligent.",3,D,test,"A 17-year-old boy was jostling with his 12-year-old brother. A pedestrian witnessed the boy shoving his brother and mistakenly believed that they were fighting. Acting as a Good Samaritan, the pedestrian approached the boys and tried to intercede. The boy stumbled and accidentally fell into the pedestrian, knocking him to the ground.","The pedestrian broke his arm as a result of the fall. If the pedestrian sues the boy to recover damages for his injury, he should",
