question,предмет,выбор,отвечать,sheet,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
" Люди, обладающие какой из следующих форм контроля, с наименьшей вероятностью столкнутся с проблемами доступности в месте своего проживания?", старение человека,['Внешний' 'Внутренний' 'Основной' 'Итого'],1,Sheet1," Люди, обладающие какой из следующих форм контроля, с наименьшей вероятностью",столкнутся с проблемами доступности в месте своего проживания?,подвергаются ответственности,и не демонстрируют готовность к изменениям.,0.0,0.0,0.42,0.51,No
 гетеротроф, биология для старшей школы," ['получает энергию от солнечного света, используя пигменты' 'получает энергию путем окисления органических молекул' 'образует органические молекулы из CO2' 'получает энергию, потребляя исключительно автотрофы']",1,Sheet1,,гетеротроф,"Переведите фразу ""Hello"" на русский язык","Upon arriving at the end of the road, he turned to face the horizon. His breathing became heavier as the silence stretched out around him, forcing him to listen to every rustle of leaves and shift in the air.",0.0,0.0,0.02,0.08,No
 Вычислите 22 / 2 + 9., элементарная_математика, ['10' '11' '20' '2'],2,Sheet1, Вычислите 22 /,2 + 9.,4,22 / 2,0.5,0.0,0.74,0.55,No
" За месяц до экзаменов Конрад составляет расписание занятий и начинает просматривать свои записи. За две недели до экзаменов Конрад занимается по несколько часов в день, готовясь к ним. Сразу после экзаменов, в начале летних каникул, Конрад заболевает гриппом. Какая из следующих теорий лучше всего объясняет эту цепочку событий?", психология старшей школы," [«Общий адаптационный синдром Селье», «Закон Йеркса-Додсона», «Закон эффекта Торндайка», «Теория когнитивного диссонанса Фестингера»]",0,Sheet1," За месяц до экзаменов Конрад составляет расписание занятий и начинает просматривать свои записи. За две недели до экзаменов Конрад занимается по несколько часов в день, готовясь к ним.","Сразу после экзаменов, в начале летних каникул, Конрад заболевает гриппом. Какая из следующих теорий лучше всего объясняет эту цепочку событий?",Выберите правильный ответ.,"Конрад последовательно применяет эту стратегию к каждому плану, обеспечивая стабильное развитие успеваемости.",0.0,0.0,0.59,0.66,No
"Степень окисления хлора в перхлорат-ионе, ClO4–, равна", химия в старшей школе, ['2' '-3' '-1' '7'],3,Sheet1,Степень окисления хлора в,"перхлорат-ионе, ClO4–, равна",в NaClO,в различных соединениях,0.0,0.0,0.32,0.3,No
 При увеличении разброса результатов дисперсия возрастает., профессиональная_психология, ['уменьшается' 'увеличивается' 'остается неизменным' 'может увеличиваться или уменьшаться'],1,Sheet1, При увеличении разброса,результатов дисперсия возрастает.,и может повлиять на точность результата измерения,вероятность получения ошибочного результата будет выше,0.0,0.0,0.75,0.43,No
" Отображение x -> axa² группы G в себя является гомоморфизмом тогда и только тогда, когда", математика колледжа, ['G — абелева' 'G = {e}' 'a^3 = e' 'a^2 = a'],2,Sheet1, Отображение x -> axa² группы G в себя,"является гомоморфизмом тогда и только тогда, когда",Какие из перечисленных утверждений верны?,"Следовательно, это отображение является автоморфизмом группы G",0.0,0.0,0.49,0.24,No
" Стагфляция, скорее всего, является результатом", макроэкономика для старшей школы," ['Увеличение AD при постоянном SRAS.' 'Уменьшение SRAS при постоянном AD.' 'Уменьшение AD при постоянном SRAS.' 'Уменьшение как AD, так и SRAS.']",1,Sheet1," Стагфляция, скорее всего,",является результатом,возникнет,"Стагфляция, скорее всего, возникнет при сочетании высоких рисков и дефицита товаров.",0.0,0.0,0.42,0.68,No
"Все следующие утверждения верны для всех дискретных случайных величин, кроме одного. Какого именно?", статистика для старшей школы," «Все возможные исходы должны быть числовыми». «Все возможные исходы должны быть взаимоисключающими». «Среднее значение (математическое ожидание) всегда равно сумме произведений, полученных путем умножения каждого значения на соответствующую вероятность». «Приблизительно 95% исходов будут находиться в пределах двух стандартных отклонений от среднего значения».",3,Sheet1,"Все следующие утверждения верны для всех дискретных случайных величин, кроме одного.",Какого именно?,Вариант 3.,"1. Для любых дискретных случайных величин функция распределения должна быть определена.
2. Сумма вероятностей всех возможных значений данной величины должна составлять единичный интервал.
3. Ожидаемое значение такой случайной величины является средним арифметическим весов этих значений.
4. Для любого дискретного события вероятность его осуществления может быть равна нулю.",0.0,0.0,0.54,0.77,No
" Археологическим объектом называется место, где люди жили и/или работали и где можно обнаружить вещественные доказательства их существования.", доисторический период, ['артефакт.' 'образец.' 'место.' 'культура.'],2,Sheet1," Археологическим объектом называется место, где люди жили и/или работали и",где можно обнаружить вещественные доказательства их существования.,и сохранившиеся,и являются важными источниками для изучения,0.0,0.0,0.53,0.43,No
" 37-летняя женщина с ВИЧ-инфекцией обратилась к врачу из-за прогрессирующей диареи, продолжающейся в течение месяца, и потери веса на 1,8 кг. В течение последней недели у нее было шесть больших жидких стулов в день. В настоящее время она получает тройную антиретровирусную терапию. Она работает бортпроводницей и регулярно выполняет внутренние рейсы по США. Также она летает в Азию не реже одного раза в месяц. Ее рост 163 см, вес 59 кг; ИМТ 22 кг/м2. Температура 37°C, пульс 88 ударов в минуту, артериальное давление 112/64 мм рт. ст. Живот смещен в сторону ладьевидной кости. Остальные результаты обследования не выявили отклонений. Количество CD4+ Т-лимфоцитов составляет 400/мм3 (норма ≥500). Какой из перечисленных организмов, скорее всего, является причиной заболевания?", профессиональная_медицина,['Cryptosporidium parvum'' 'Cytomegalovirus' 'Mycobacterium avium-intraculturale complex' ''Salmonella enteritidis'],0,Sheet1," 37-летняя женщина с ВИЧ-инфекцией обратилась к врачу из-за прогрессирующей диареи, продолжающейся в течение месяца, и потери веса на 1,8 кг. В течение последней недели у нее было шесть больших жидких стулов в день. В настоящее время она получает тройную антиретровирусную терапию. Она работает бортпроводницей и регулярно выполняет внутренние рейсы по США. Также она летает в Азию не реже одного раза в месяц. Ее рост 163 см, вес 59 кг; ИМТ 22 кг/м2. Температура 37°C, пульс 88 ударов в минуту, артериальное давление 112/64 мм рт.","ст. Живот смещен в сторону ладьевидной кости. Остальные результаты обследования не выявили отклонений. Количество CD4+ Т-лимфоцитов составляет 400/мм3 (норма ≥500). Какой из перечисленных организмов, скорее всего, является причиной заболевания?",Какая группа лекарственных препаратов входит в стандартный режим лечения этого состояния?,"Кроме того, в ходе инструментальной диагностики не были выявлены признаки поражения органов грудной клетки или кишечника, что исключает острых воспалительных состояний. Однако необходима консультация гастроэнтеролога для уточнения диагноза и контроля эффективности лечения, так как симптомы могут быть связаны с микобиозом.",0.0,0.0,0.65,0.7,No
" Доктор Вик Васкес, лицензированный психолог, предоставляет секретарские услуги и офисное помещение доктору Бернис Банквист в обмен на 20% от гонорара, который доктор Банквист получает от своих клиентов. Когда доктор Васкес обнаруживает, что у него нет времени на прием всех клиентов, желающих начать терапию, он начинает направлять некоторых из них к доктору Банквист и взимает с нее 30% от гонорара, который доктор Банквист получает от этих направленных клиентов. Согласно этическим кодексам, опубликованным Американской и Канадской психологическими ассоциациями, более высокая плата за направленных клиентов составляет:", профессиональная_психология,"[«Неэтично, потому что нарушает запрет на «разделение комиссионных».» «Неэтично, потому что создает неприемлемые множественные отношения». «Этично только в том случае, если более высокая плата за привлеченных клиентов отражает фактические затраты, связанные с этими клиентами». «Этично, потому что комиссионные за привлечение клиентов запрещены только тогда, когда они являются «явно эксплуататорскими».»]",2,Sheet1," Доктор Вик Васкес, лицензированный психолог, предоставляет секретарские услуги и офисное помещение доктору Бернис Банквист в обмен на 20% от гонорара, который доктор Банквист получает от своих клиентов. Когда доктор Васкес обнаруживает, что у него нет времени на прием всех клиентов, желающих начать терапию, он начинает направлять некоторых из них к доктору Банквист и взимает с нее 30% от гонорара, который доктор Банквист получает от этих направленных клиентов.","Согласно этическим кодексам, опубликованным Американской и Канадской психологическими ассоциациями, более высокая плата за направленных клиентов составляет:",Каков наиболее подходящий ответ в данной ситуации?,"This arrangement creates a clear conflict of interest that jeopardizes the independence required in a professional relationship between the physicians. Such an agreement violates the principles of fiduciary duty typically owed to patients, particularly regarding the separation of commercial benefits from clinical judgment. Therefore, the ethical obligations of the licensing body imply that Dr. Bankvist must be prevented from receiving a direct share of the referred income or that such a transaction must be disclosed as an improper referral fee arrangement under the regulatory frameworks governing medical practices.",0.0,0.0,0.42,0.79,No
 Каким образом концепция безопасности человека приобрела важное значение?, исследования безопасности,"«Концепция безопасности человека уделяет особое внимание взаимосвязи между конфликтом и развитием, что является весьма полезным понятием. Значение этой взаимосвязи между развитием и конфликтом заключается не только в том, что она поднимает этические вопросы о человеческих страданиях и неравенстве, но и в том, что ее частые последствия, так называемое будущее государства, имеют ужасные локальные, региональные и глобальные последствия». «С нормативной точки зрения, эта концепция служит для выделения хороших глобальных норм. Безопасность человека часто выступает в качестве всеобъемлющей нормы. Разработка хороших глобальных норм важна не только по моральным и этическим причинам, но и потому, что они способствуют укреплению государственного и международного сообщества». «Развитие концепции безопасности человека подчеркивает точку зрения, что угрозы как для людей, так и для государственных образований меняются и усиливаются. Эти изменения стимулировали дискуссии о значении безопасности и аргументы в пользу ее расширения и углубления. Как и внутреннее насилие, эти транснациональные проблемы имеют серьезные локальные, региональные и глобальные последствия». «Все эти варианты».",3,Sheet1, Каким образом концепция безопасности,человека приобрела важное значение?,насколько она важна для жизни людей,С помощью современных алгоритмов и программного обеспечения обеспечивается защита информации и предотвращаются негативные последствия.,0.0,0.0,0.38,0.53,No
" Упростите 5³. Используйте калькулятор, бумагу и карандаш или устный счет.", элементарная_математика, ['15' '125' '8' '53'],1,Sheet1, Упростите 5³.,"Используйте калькулятор, бумагу и карандаш или устный счет.",Ответ:,Ответ: 125,0.0,0.0,0.34,0.4,No
 Почему марсоход Spirit в данный момент наклонен на север?, астрономия," «Потому что оно поднимается на большой холм. Потому что оно находится в южном полушарии, где сейчас зима. Потому что оно находится в северном полушарии, где сейчас зима. Потому что у него сломалось одно из колес».",1,Sheet1, Почему марсоход Spirit в данный,момент наклонен на север?,в данный момент,но в данный момент он находится в резервном режиме,0.0,0.0,0.35,0.35,No
" Компании Rigg Steele и Urco Corps. — все корпорации типа C, работающие по методу начисления и ведущие учет по календарному году, имеют в обращении только голосующие обыкновенные акции. Rigg владеет 85 процентами акций Steele и 40 процентами акций Urco. Steele владеет 50 процентами акций Urco. Какая группа корпораций считается аффилированной группой и может участвовать в подаче консолидированной федеральной налоговой декларации?", профессиональный_бухгалтерский_учет, ['Ригг и Урко.' 'Урко и Стил.' 'Ригг Стил и Урко.' 'Аффилированной группы не существует.'],2,Sheet1," Компании Rigg Steele и Urco Corps. — все корпорации типа C, работающие по методу начисления и ведущие учет по календарному году, имеют в обращении только голосующие обыкновенные акции. Rigg владеет 85 процентами акций Steele и 40 процентами акций Urco.",Steele владеет 50 процентами акций Urco. Какая группа корпораций считается аффилированной группой и может участвовать в подаче консолидированной федеральной налоговой декларации?,Выберите один из вариантов.,"Таким образом, исходя из описанного положения, Ригг-Стейл является единственным субъектом, обладающим достаточным уровнем контрольного пакета для проведения консолидации финансового периода, тогда как отношение с участием Urco указывает на наличие значимого инстансового влияния, но не достигают критического порога для полного включения в состав финансовой отчетности Группы.",0.5,0.0,0.54,0.69,No
" Процесс выявления групп общественности, вовлеченных в ситуацию, имеющую центральное значение для организации, и затронутых ею, называется", связи с общественностью, ['исследовательское исследование' 'ситуационное интервью' 'аудит коммуникаций' 'анализ заинтересованных сторон'],3,Sheet1," Процесс выявления групп общественности, вовлеченных в ситуацию, имеющую центральное","значение для организации, и затронутых ею, называется",влияние на власть,"позволяя формировать меры социальной поддержки, а также определять наиболее уязвимые сегменты, необходимые для стабильного развития и предотвращения дальнейшей деградации социальных связей.",0.0,0.0,0.39,0.56,No
" Компания Audi предложила расширить перечень основных обязанностей Росса, включив в него следующее:", моральные_споры, ['правдивость'.' 'укрепление и сохранение свободы'.' 'уважение'.' 'все вышеперечисленное'],3,Sheet1, Компания Audi предложила расширить перечень основных обязанностей,"Росса, включив в него следующее:",на всех сотрудников,"Компания Audi предложила расширить перечень основных обязанностей, включая новые задачи по повышению качества продукции и соблюдению законодательства Российской Федерации.",0.0,0.0,0.74,0.62,No
 Изменение температуры — это, электротехника, ['Цифровое значение' 'Аналоговое значение' 'Цифровое или аналоговое значение' 'Нет'],1,Sheet1, Изменение температуры,— это,Какое влияние оказывает изменение температуры на биологические процессы?,"Его колебания оказывают прямое воздействие на биофизические параметры, влияя на теплообмен в биологических системах.",0.0,0.0,0.38,0.63,No
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Когда я вошел в комнату, я украл у всех кошельки. Сценарий 2 | Я приказал своему классу третьего класса учиться.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",1,Sheet1," В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Когда я вошел в комнату, я украл у всех кошельки.",Сценарий 2 | Я приказал своему классу третьего класса учиться.,Сенарий 2 | Когда вы,"Сценарий 2 | Когда я увидел, что мой друг хотел продать мою старую машину по заниженной цене, чтобы избежать налоговой проверки, я сообщил о его намерениях полицейскому.",1.0,1.0,0.68,0.54,No
"Когда корреляция между средним баллом успеваемости старшеклассников и количеством времени, которое они тратят на учебу каждую неделю, составляет ____, это означает, что примерно 15% вариабельности среднего балла объясняется количеством времени, затраченным на учебу.", профессиональная_психология, ['0.02' '0.15' '0.39' '0.85'],2,Sheet1,"Когда корреляция между средним баллом успеваемости старшеклассников и количеством времени, которое они тратят на учебу каждую неделю, составляет ____, это","означает, что примерно 15% вариабельности среднего балла объясняется количеством времени, затраченным на учебу.",это не является определяющим фактором,"0,8; это свидетельствует о высокой степени точности прогнозирования результатов.",0.0,0.0,0.61,0.62,No
"Беременная женщина сидела на крыльце своего дома и наблюдала, как ее муж косит газон. Подруга женщины знала ее много лет и знала, что она легко выходит из себя. Подруга также ненавидела мужа женщины. Зная о присутствии женщины, подруга достала пистолет и пригрозила убить мужа. В результате этого инцидента женщина пережила сильное эмоциональное потрясение и вскоре после этого у нее случился выкидыш. В иске, поданном женщиной против подруги за моральные страдания, повлекшие за собой выкидыш, женщина будет удовлетворена.", профессиональное_право," ['проиграть, потому что подруга не хотела, чтобы у женщины случился выкидыш.' 'проиграть, потому что действия подруги были направлены против мужа, а не против женщины.' 'выиграть, потому что с высокой вероятностью крайнее и возмутительное поведение подруги причинило бы женщине эмоциональное потрясение.' 'выиграть, потому что она жена мужа.']",2,Sheet1,"Беременная женщина сидела на крыльце своего дома и наблюдала, как ее муж косит газон. Подруга женщины знала ее много лет и знала, что она легко выходит из себя. Подруга также ненавидела мужа женщины. Зная о присутствии женщины, подруга достала пистолет и пригрозила убить мужа.","В результате этого инцидента женщина пережила сильное эмоциональное потрясение и вскоре после этого у нее случился выкидыш. В иске, поданном женщиной против подруги за моральные страдания, повлекшие за собой выкидыш, женщина будет удовлетворена.",Ответ: А,"Подруга поняла, что её действия могут привести к серьезным последствиям и рискнезаконных действий против закона. В итоге она решилось прощиться с вопросом и не продолжить разговор.",0.0,0.0,0.5,0.47,No
