question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
4304,"At 273°K and 1atm, 1 liter of N_2O_4 decomposes to NO_2 according to the equation N_2O_4\rightleftarrows 2NO_2. To what extent has decomposition proceeded when the original volume is 25 percent less than the existing volume?",33% decomposition,80% decomposition,90% decomposition,75% decomposition,66% decomposition,10% decomposition,40% decomposition,50% decomposition,25% decomposition,60% decomposition,A,0,chemistry,stemez-Chemistry,,test,"At 273°K and 1atm, 1 liter of N_2O_4 decomposes to NO_2 according to the equation N_2O_4\rightleftarrows 2NO_2.",To what extent has decomposition proceeded when the original volume is 25 percent less than the existing volume?,"The equilibrium mixture has a density of 2.0 g/L. The degree of dissociation of N_2O_4 is:
A) 0.1
B) 0.2
C) 0.3
D) 0.4
E) 0.5","At 273°K and 1atm, 1 liter of N_2O_4 decomposes to NO_2 according to the equation N_2O_4\rightleftarrows 2NO_2. **If the decomposition were complete, the number of moles of gas would double, causing the final volume to expand to 2 liters at constant temperature and pressure; however, since the reaction is an equilibrium process, the actual volume will be between 1 and 2 liters depending on the equilibrium constant.**",0.15,0.11,0.68,0.62
9586,Which planet(s) in the solar system has/have active plate tectonics?,None of the above,Venus,Saturn,Venus and Mars,Neptune,Uranus,Earth,Mars and Earth,Mars,Jupiter,G,6,physics,ori_mmlu-astronomy,,test,Which planet(s) in the solar system,has/have active plate tectonics?,"have rings?
A. Jupiter
B. Saturn
C. Uranus
D. Neptune
E. All of the above",have rings?,0.29,0.1,0.43,0.4
2732,Discuss the influence of the five early schools of thought on modern psychology.,The early schools of thought were only relevant to the cultures in which they were developed and have no bearing on modern psychology.,Modern psychology only recognizes the methodologies of the early schools of thought but not their theoretical contributions.,All early schools of thought are obsolete today.,Modern psychology completely rejects the principles of early schools of thought.,Each early school of thought had some beneficial effect on the shaping of psychology as we know it today.,The five early schools of thought were independently developed but did not influence modern psychology.,"Early schools of thought have been replaced by a single, unified theory that explains all psychological phenomena.","Three of the early schools of thought continue to dominate psychological research and practice, while the other two have been discredited.",Only one school of thought influenced modern psychology.,Modern psychology is a direct reflection of only two early schools of thought.,E,4,psychology,stemez-Psychology,,test,Discuss the influence of the five early schools,of thought on modern psychology.,of thought on the development of modern physics.,"of Buddhism, which emerged in India between the 6th and 4th centuries BCE. These schools—Sarvāstivāda, Sautrāntika, Mahāsāṃghika, Dharmaguptaka, and Mūlasarvāstivāda—were not merely regional variations but represented distinct philosophical interpretations of core doctrines such as the nature of reality, the continuity of consciousness, and the path to liberation. Their debates shaped the trajectory of Buddhist thought, influencing later developments in Mahayana and Vajrayana traditions, while their textual canons and monastic codes continue to inform contemporary Buddhist practice across Asia.",0.04,0.62,0.46,0.69
8365,Ms. Fisher used the expression (6 × 8) × 12 to find the total number of markers needed for her students’ art project. Which expression is equal to the one used by Ms. Fisher?,12 × (6 + 8),(6 + 8 + 12) × 6,6 + (8 × 12),6 + (8 + 12),6 × (8 + 12),8 × (6 + 12),(6 + 8) × 12,6 × 8 + 12,6 × (8 × 12),(6 × 8) + 12,I,8,math,ori_mmlu-elementary_mathematics,,test,Ms. Fisher used the expression (6 × 8) × 12 to find the total number of markers needed for her students’ art project.,Which expression is equal to the one used by Ms. Fisher?,"How many markers did she need in total?
A. 576
B. 48
C. 72
D. 144","She calculated the product of 6 and 8 to get 48, and then multiplied that result by 12, determining that a total of 576 markers were required for the project.",0.1,0.0,0.73,0.73
7053,"If the government subsidizes the production of halogen headlights,",the price of halogen headlights will increase.,the supply curve will shift to the left.,the price of halogen headlights will remain the same.,the quantity of halogen headlights demanded will decrease.,both the supply and demand curves will shift to the left.,both the supply and demand curves will shift to the right.,the supply curve will shift to the right.,the demand curve will shift to the left.,there will be no change in the market for halogen headlights.,the demand curve will shift to the right.,G,6,economics,ori_mmlu-high_school_microeconomics,,test,If the government subsidizes the,"production of halogen headlights,","production of a good, the supply curve for that good will shift to the right.","production of a good, the price of that good will likely decrease, making it more accessible to consumers while encouraging greater supply from producers.",0.14,0.21,0.38,0.3
8040,"What is the minimum value of the expression x + 4z as a function defined on R^3, subject to the constraint x^2 + y^2 + z^2 <= 2?",-sqrt(20),-sqrt(3),-sqrt(10),-2,-sqrt(34),-sqrt(30),-sqrt(2),0,-sqrt(35),-sqrt(36),E,4,math,ori_mmlu-college_mathematics,,test,"What is the minimum value of the expression x + 4z as a function defined on R^3,",subject to the constraint x^2 + y^2 + z^2 <= 2?," subject to the constraints x + y + z = 1, x^2 + y^2 + z^2 = 1, and z ≥ 0?",subject to the constraints $x^2 + y^2 + z^2 = 1$ and $x + y + z = 0$?,0.67,0.62,0.77,0.76
212,"Assume the Black-Scholes framework. For $t \ge 0$, let $S(t)$ be the time-$t$ price of a nondividend-paying stock. You are given:
(i) $S(0)=0.5
(ii) The stock price process is $\frac{dS(t)}{S(t)} = 0.05dt+0.2dZ(t)$ where $Z(t)$ is a standart Brownian motion.
(iii) $E[S(1)^\alpha]=1.4$, where $\alpha$ is a negative constant.
(iv) The continuously compounded risk-free interest rate is $3%$.
Consider a contingent claim that pays $S(1)^\alpha$ at time 1. What is the time-0 price of the contigent claim?",1.450,1.475,1.415,1.250,1.360,1.390,1.325,1.500,1.287,1.372,J,9,business,theoremQA-Finance,,test,"Assume the Black-Scholes framework. For $t \ge 0$, let $S(t)$ be the time-$t$ price of a nondividend-paying stock. You are given:
(i) $S(0)=0.5
(ii) The stock price process is $\frac{dS(t)}{S(t)} = 0.05dt+0.2dZ(t)$ where $Z(t)$ is a standart Brownian motion. (iii) $E[S(1)^\alpha]=1.4$, where $\alpha$ is a negative constant.",(iv) The continuously compounded risk-free interest rate is $3%$. Consider a contingent claim that pays $S(1)^\alpha$ at time 1. What is the time-0 price of the contigent claim?,"(iv) The price of a European put option with strike $K=0.5$ and maturity $T=1$ is $0.1$.

Calculate $\alpha$.","Based on the Black-Scholes framework and the data provided in the first piece, here is the logical deduction to find the value of $\alpha$:

### Step-by-Step Deduction

1.  **Identify the Dynamics of the Stock Price**:
    The stock price follows the geometric Brownian motion:
    $$ \frac{dS(t)}{S(t)} = \mu dt + \sigma dZ(t) $$
    From the given information:
    *   Drift ($\mu$) = $0.05$
    *   Volatility ($\sigma$) = $0.2$
    *   Initial price ($S(0)$) = $0.5$

2.  **Determine the Distribution of $S(1)$**:
    The solution to the SDE for $S(t)$ is:
    $$ S(t) = S(0) \exp\left( \left(\mu - \frac{\sigma^2}{2}\right)t + \sigma Z(t) \right) $$
    For $t=1$:
    $$ S(1) = 0.5 \exp\left( (0.05 - 0.2^2/2)(1) + 0.2 Z(1) \right) $$
    Since $Z(1) \sim N(0, 1)$, let $X = Z(1)$. Then $S(1)$ is log-normally distributed.

3.  **Formulate the Expectation $E[S(1)^\alpha]$**:
    We need to calculate $E[S(1)^\alpha]$. Using the property of the log-normal distribution, if $Y = \ln(S(1))$, then $S(1)^\alpha = e^{\alpha Y}$.
    Alternatively, using the moment formula for a log-normal variable $S(T) = S_0 e^{(\mu - \sigma^2/2)T + \sigma \sqrt{T} X}$:
    $$ E[S(T)^\alpha] = S_0^\alpha \exp\left( \alpha \left(\mu - \frac{\sigma^2}{2}\right)T + \frac{1}{2} \alpha^2 \sigma^2 T \right) $$
    
    Substitute the",0.07,0.22,0.55,0.66
6962,Suppose the exchange rates are 0.5 British Pound per dollar; 10 Mexican Pesos per dollar; and 100 Chinese Yuan per dollar. Further suppose that a Big Mac costs 3 dollars in America; 2 pounds in England; 50 pesos in Mexico; and 200 yuan in China. In which country is a Big Mac most expensive?,America ($3).,England ($4).,Mexico ($5).,China ($2).,,,,,,,C,2,economics,ori_mmlu-high_school_macroeconomics,,test,Suppose the exchange rates are 0.5 British Pound per dollar; 10 Mexican Pesos per dollar; and 100 Chinese Yuan per dollar. Further suppose that a Big Mac costs 3 dollars in America; 2 pounds in England; 50 pesos in Mexico; and 200 yuan in China.,In which country is a Big Mac most expensive?,"Based on the provided first piece, the second piece of the question from the MMLU-Pro dataset (specifically the Economics domain) continues as follows:

If the Big Mac Index is used to determine the equilibrium exchange rate, which of the following statements is true?
(A) The British Pound is overvalued.
(B) The Mexican Peso is overvalued.
(C) The Chinese Yuan is overvalued.
(D) The British Pound is undervalued.
(E) The Mexican Peso is undervalued.
(F) The Chinese Yuan is undervalued.
(G) All currencies are at equilibrium.
(H) All currencies are overvalued.
(I) All currencies are undervalued.
(J) None of the above.","Based on the exchange rates and prices provided in the first piece, we can determine the purchasing power parity by converting all prices to a common currency (the US dollar):

*   **England:** 2 pounds × 0.5 dollars/pound = **$1.00**
*   **Mexico:** 50 pesos ÷ 10 pesos/dollar = **$5.00**
*   **China:** 200 yuan ÷ 100 yuan/dollar = **$2.00**

Comparing these converted prices to the American price of **$3.00**, the Big Mac is cheaper in England ($1.00), China ($2.00), and more expensive in Mexico ($5.00). According to the Law of One Price, arbitrage opportunities exist where traders would buy Big Macs in England or China and sell them in the US, while simultaneously buying them in the US to sell in Mexico. This increased demand for exports and decreased demand for imports would cause the US dollar to appreciate against the pound and yuan, while depreciating against the peso, eventually driving the prices toward equilibrium.",0.06,0.05,0.59,0.64
2044,Discuss equity theory. When are equity andinequity perceived ?,Equity is perceived when a person has high expectations for promotion.,Equity is perceived when there's a balance between a person's inputs and outcomes on the job.,"Inequity is perceived when a person receives the same outcomes as others, regardless of input.",Equity is perceived when a person's salary is higher than their peers.,Inequity is perceived when a person's inputs are recognized through awards and honors.,Inequity is perceived when a person compares their job title with others.,Equity is perceived when there's an imbalance between a person's inputs and outcomes.,Equity is perceived when a person is promoted.,,,B,1,psychology,stemez-Psychology,,test,Discuss equity theory.,When are equity andinequity perceived ?,"Equity theory, proposed by J. Stacy Adams in 1963, is a motivational theory that suggests employees are motivated by the desire to be treated fairly. According to the theory, individuals compare their input-output ratio to that of a referent other. If they perceive an imbalance, they experience distress and are motivated to restore equity by changing their inputs, altering their outputs, distorting their cognitions, or leaving the situation.","Equity theory, developed by J. Stacy Adams in the 1960s, is a motivational framework suggesting that individuals are driven by a desire for fairness in their social and professional relationships. At its core, the theory posits that employees compare their own input-to-outcome ratio (such as effort, skills, and time versus salary, recognition, and benefits) against the ratio of a referent other, such as a colleague or industry standard. When individuals perceive an imbalance—feeling they are under-rewarded (inequity) or over-rewarded (over-equity)—they experience psychological distress. To restore this perceived equity, individuals may take several actions: they can alter their own inputs (working less hard), change their perception of the situation, leave the organization, or attempt to change the outcomes of themselves or others. Ultimately, equity theory highlights that motivation is not solely based on absolute rewards but heavily influenced by the relative fairness of those rewards compared to others.",0.05,0.05,0.41,0.34
9981,"An oscillator of frequency 2.3 × 10^8 Hz is set up near a plane metal reflector, and the distance between adjacent nodes in the standing waves produced is found to be 65 cm. From this data, compute the velocity of light.",2.99 × 10^10 cm/sec,2.50 × 10^10 cm/sec,2.99 × 10^9 cm/sec,2.99 × 10^11 cm/sec,3.99 × 10^10 cm/sec,1.50 × 10^10 cm/sec,1.99 × 10^10 cm/sec,3.00 × 10^9 cm/sec,4.50 × 10^10 cm/sec,1.99 × 10^9 cm/sec,A,0,physics,stemez-Optics,,test,"An oscillator of frequency 2.3 × 10^8 Hz is set up near a plane metal reflector, and the distance between adjacent nodes in the standing waves produced is found to be 65 cm.","From this data, compute the velocity of light.",The distance of the reflector from the oscillator is,"The speed of the waves is calculated as $v = f \lambda = (2.3 \times 10^8 \text{ Hz})(1.30 \text{ m}) = 2.99 \times 10^8 \text{ m/s}$, which is approximately the speed of light, indicating that the waves are electromagnetic.",0.12,0.24,0.68,0.66
3890,Identify the Brønsted-Lowry conjugate acid-base pair in the following list.,HC2H3O2 and C2H3O2-,SO32- and SO22-,H3PO4 and H3PO3,H3O+ and OH-,,,,,,,A,0,chemistry,ori_mmlu-high_school_chemistry,,test,Identify the Brønsted-Lowry conjugate acid-base pair,in the following list.,in the reaction: HCl + H2O → Cl- + H3O+,"in the reaction $NH_3 + H_2O \rightleftharpoons NH_4^+ + OH^-$, the conjugate acid-base pairs are $NH_3/NH_4^+$ and $H_2O/OH^-$.",0.14,0.36,0.59,0.62
