question,choice_A,choice_B,choice_C,choice_D,answer,category,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
Which of the following techniques is utilized to examine weaker magnetic fields generated by the brain?, PET (Positron emission tomography), MET (Magnetoencephalography), NMR (Nuclear magnetic resonance imaging), EEG (Electroencephalogram),B,,val,Which of the following techniques is utilized to examine,weaker magnetic fields generated by the brain?,clinical diagnosis,examine the structural integrity of the tissue sample.,0.13,0.0,0.36,0.3,No
"Mr. A, a successful fashion designer, pays a salary to his wife, who works as a model. In whose total income should Mrs. A's remuneration be included?", Mr. A and Mrs. A proportionately., Mrs. A or Mr. A (whose total income is higher before this clubbing), Mr. A, Mrs. A,D,,val,"Mr. A, a successful fashion designer, pays a salary to his wife, who works as a model.",In whose total income should Mrs. A's remuneration be included?,Which of the following statements correctly describes the tax liability?,This arrangement establishes a solid foundation for their shared future endeavors.,0.09,0.0,0.67,0.66,No
"A 40-year-old male, who had a liver transplant 20 years ago due to biliary cirrhosis, is now awaiting a second liver transplant because of recurrent cirrhosis. Currently, he is admitted to the ICU with upper gastrointestinal variceal bleeding and has required a massive transfusion. He is intubated and on mechanical ventilation. Bedside echocardiography shows an ejection fraction of 70% without evidence of diastolic dysfunction. His electrocardiogram reveals sinus tachycardia with a normal QT interval, and his chest x-ray is normal. His invasive arterial pressure reads 100/60 mm Hg, and his central venous pressure is 8 mm Hg. A pulmonary artery catheter provides the following values: a cardiac output of 10 L/min, a mean pulmonary artery pressure of 30 mm Hg, and a pulmonary artery occlusion pressure of 10 mm Hg. What is the MOST likely explanation for these findings?", Cirrhotic cardiomyopathy Wrong Choice!, None of the other choices, Porto pulmonary hypertension Wrong Choice!, Hyper dynamic circulation Correct Choice,D,,val,"A 40-year-old male, who had a liver transplant 20 years ago due to biliary cirrhosis, is now awaiting a second liver transplant because of recurrent cirrhosis. Currently, he is admitted to the ICU with upper gastrointestinal variceal bleeding and has required a massive transfusion. He is intubated and on mechanical ventilation. Bedside echocardiography shows an ejection fraction of 70% without evidence of diastolic dysfunction. His electrocardiogram reveals sinus tachycardia with a normal QT interval, and his chest x-ray is normal.","His invasive arterial pressure reads 100/60 mm Hg, and his central venous pressure is 8 mm Hg. A pulmonary artery catheter provides the following values: a cardiac output of 10 L/min, a mean pulmonary artery pressure of 30 mm Hg, and a pulmonary artery occlusion pressure of 10 mm Hg. What is the MOST likely explanation for these findings?",What is the most appropriate next step in management?,"Following stabilization, the patient was evaluated with a repeat transthoracic echocardiogram which demonstrated no sign of valvular regurgitation. Laboratory studies confirmed no evidence of sepsis, allowing for the initiation of routine pharmacologic therapy. He was discharged home on day eight following the successful control of bleeding and stabilization of hemodynamic parameters.",0.11,0.11,0.59,0.69,No
Marine sediment is categorized by particle size and sediment origin. What are the two primary factors that influence the characteristics of a sediment deposit?, Particle density and nature of ocean currents, Particle-size distribution and energy conditions at the site of deposition, Origin of sediment and geological agent involved in transportation of sediment, Particle-shape and gradient on the ocean floor,B,,val,Marine sediment is categorized by particle size and sediment origin.,What are the two primary factors that influence the characteristics of a sediment deposit?,Which of the following best describes the relationship between particle size and sediment origin?,"Furthermore, the sediment's provenance helps distinguish between continental-derived materials and those generated by local volcanic activity.",0.12,0.21,0.62,0.72,No
"While orienting a new nurse to the unit, the nurse explains source-oriented charting. What statement would best describe source-oriented charting?", Is designed to streamline documentation, Organizes documentation around the patient's problems," Highlights the patient's concerns, problems, and strengths", None of the other choices,D,,val,"While orienting a new nurse to the unit, the nurse explains source-oriented charting.",What statement would best describe source-oriented charting?,It prioritizes collecting detailed patient history and diagnostic information.,"This ensures that all interventions are logged systematically, preventing gaps in the care record and supporting future audit trails.",0.0,0.0,0.66,0.72,No
Who was the Indian librarian awarded the title 'Khan Bahadur' by the British Government in 1935?, K.M Asadullah, B.S Kesavan, K. Issac, None of the other choices,A,,val,Who was the Indian librarian awarded the title 'Khan,Bahadur' by the British Government in 1935?,A) Rahul Kumar B) Amit Verma C) Sanjiv Singh D) Pratiksha Garg,Mr. Khan was the Indian librarian awarded the title 'Khan.',0.12,0.0,0.51,0.48,No
Which search algorithm uses a limited amount of memory?, None of the other choices, Both a & b, RBFS (Recursive Best First Search), SMA* (Simplified Memory Bounded A*),C,,val,Which search algorithm uses a,limited amount of memory?,greedy heuristic,binary search tree,0.0,0.0,0.37,0.35,No
"While the _______ inquired about what occurs when an organism performs an action, the _____ questioned the mechanisms and reasons behind it.", None of the other choices," structuralist, introspectionist"," structuralist, functionalist"," functionalist, structuralist",D,,val,"While the _______ inquired about what occurs when an organism performs an action,",the _____ questioned the mechanisms and reasons behind it.,Which of the following best describes,"While the **scientists** inquired about what occurs when an organism performs an action, they sought to understand the underlying principles governing biological systems.",0.13,0.14,0.65,0.5,No
The sensitivity of a closed-loop system to gain variations and load disturbances depends on which of the following factors?, Frequency, Loop gain, Forward gain, All of the above,D,,val,The sensitivity of a closed-loop system to gain variations and load,disturbances depends on which of the following factors?,... depends on the open-loop gain product of the feedback path.,and disturbances,0.2,0.42,0.55,0.52,No
Pseudomonas aeruginosa is considered a(n) ________ pathogen., pessimistic, None of the other choices, iatrogenic, opportunistic,D,,val,Pseudomonas aeruginosa is considered,a(n) ________ pathogen.,gram-negative rod,Pseudomonas aeruginosa is considered a Gram-negative rod bacterium.,0.17,0.0,0.56,0.52,No
What are the causes of storage diseases among the following options?, Storage of glycolipids, Mutations, Lack of enzymes, All of these,D,,val,What are the causes of storage diseases,among the following options?,"(A) Hereditary disorder
(B) Environmental factors
(C) Nutritional deficiencies
(D) Toxic substance exposure
(E) All of the above","These conditions arise primarily from genetic mutations that result in the production of defective lysosomal enzymes required for the breakdown of nutrients and macromolecules. In addition to hereditary factors, acquired causes include infections and exposure to certain environmental agents that interfere with metabolic pathways, contributing to the buildup of undigested substances in affected tissues.",0.03,0.09,0.46,0.53,No
What is the maximum allowable concentration of fluoride in drinking water?, 10 mg/litre, 5 mg/litre, 1.5 mg/litre, None of the other choices,C,,val,What is the maximum allowable concentration of,fluoride in drinking water?,in potable water.,lead in drinking water.,0.75,0.57,0.66,0.59,No
What term describes a depth-first search that selects values for one variable at a time and backtracks when no legal values are available for a variable?, Hill algorithm, Reverse-Down-Hill search, Backtrack search, Forward search,D,,val,What term describes a depth-first search that selects values for one variable at a time,and backtracks when no legal values are available for a variable?,Choose the correct term that best fits the description.,Recursive Backtracking,0.0,0.0,0.57,0.63,No
"When a biconvex glass lens with a refractive index of 1.47 is immersed in a liquid and behaves like a flat glass sheet, what must be the refractive index of the liquid?", equal to that of glass, less than that of glass, greater than that of glass, None of the other choices,A,,val,When a biconvex glass lens with a refractive index of 1.47 is immersed in a liquid and behaves like,"a flat glass sheet, what must be the refractive index of the liquid?",behaves like a diverging lens,behaves like a diverging lens,0.11,0.11,0.41,0.41,No
What is the typical maturity period for a commercial paper?, 120 to 365 days, 20 to 40 days, None of the other choices, 90 to 364 days,D,,val,What is the typical maturity period,for a commercial paper?,for mammals,It typically refers to the remaining time for the principal amount to be repaid or the investment to mature.,0.09,0.33,0.48,0.35,No
"Regarding the administrative system during Akbar's reign, which of the following statements is inaccurate?"," In the galla-bakhshi system, the produce was divided between the peasants and the state in fixed proportion.", Zabti was a system of measurement and the assessment based upon that measurement., Nasaq was a system of measurement and the assessment based upon that measurement.," The zabti system is associated with Raja Todar Mal, and k sometimes called Todar Mal's bandobast.",C,,val,"Regarding the administrative system during Akbar's reign, which",of the following statements is inaccurate?,Which ruler is credited for establishing the empire?,"""What specific measures did he implement to strengthen the state apparatus?""",0.12,0.14,0.5,0.48,No
In cases of which poisoning is urine alkalization performed?, Barbiturates, Alcohol, Cocaine, None of the other choices,A,,val,In cases of which poisoning,is urine alkalization performed?,can be exploited,In cases of which poisoning is the treatment indicated?,0.15,0.0,0.5,0.43,No
"Given that |a| = |b| = 1 and |a + b| = √3, what is the value of (3a – 4b)•(2a + 5b)?",21, \(-\frac{21}{2}\), \(\frac{21}{2}\), None of the other choices,B,,val,"Given that |a| = |b| = 1 and |a + b| = √3, what",is the value of (3a – 4b)•(2a + 5b)?,is the angle between vectors a and b,what is the angle between the vectors a and b,0.22,0.25,0.56,0.6,No
"Beth is the project manager for her organization. While her current project has numerous deliverables identified broadly, the specific details of these deliverables remain unclear. Beth is meticulously planning only the activities that are immediately forthcoming in the project. What is this project management planning approach called?", Rolling wave planning, Imminent activity management, None of the other choices, Predecessor-only diagramming,A,,val,"Beth is the project manager for her organization. While her current project has numerous deliverables identified broadly, the specific details of these deliverables remain unclear.",Beth is meticulously planning only the activities that are immediately forthcoming in the project. What is this project management planning approach called?,She needs to review the deliverables.,"Given the ambiguity surrounding the specific requirements, she decides to convene a workshop with key stakeholders to collaboratively resolve the conflicting interpretations and finalize a clear scope statement.",0.08,0.07,0.64,0.66,No
"How many full member teams, excluding the host country, participated in the ICC Cricket World Cup T20 in 2016?", Seven, Ten, Nine, None of the other choices,C,,val,"How many full member teams, excluding the host country, participated in",the ICC Cricket World Cup T20 in 2016?,in the tournament.,in the FIFA World Cup.,0.46,0.18,0.56,0.65,No
A situation resulting in a qualified opinion would not involve:, None of the other choices, Lack of conformity with GAAP., Limitations on scope., Inadequate disclosures.,A,,val,A situation resulting in a qualified,opinion would not involve:,person,candidate,0.0,0.0,0.37,0.37,No
Which of the following statements about root modifications for respiration is incorrect?, Breathing roots are present in mango, Pneumatophores are specialized breathing roots that help in respiration of plant that grows in marshy areas, Exchange of gases occur through lenticels in pneumatophores," In some plants that grow in marshy areas, roots are modified to facilitate respiration",A,,val,Which of the following statements about root,modifications for respiration is incorrect?,systems.,Which of the following statements about root cause analysis are most relevant to resolving legacy vulnerabilities in production environments.,0.0,0.0,0.36,0.38,No
"According to Karl Marx, what causes alienation?", The institution of private property., The division of labour., ‘Cash nexus’ of commercial relationships., All of the above.,D,,val,"According to Karl Marx,",what causes alienation?,the economic base determines the superstructure.,He argued that history is driven by class struggle and that social change occurs through the conflict of productive forces and relations of production.,0.0,0.0,0.45,0.39,No
"Which global organization has approved a grant of Rs 980 crore for the state of Assam to dredge the Brahmaputra River, aiming to enhance waterways to Bangladesh and other Southeast Asian countries?", World Bank, World Economic Forum, None of the other choices, Asian Development Bank,A,,val,Which global organization has approved a grant of Rs 980 crore for the state of Assam to dredge the,"Brahmaputra River, aiming to enhance waterways to Bangladesh and other Southeast Asian countries?",River.,It is the World Bank.,0.0,0.14,0.47,0.63,No
"Who was appointed as the Chief Financial Officer (CFO) of Tata Motors' Group effective July 1, 2015?", Chandrasekaran Ramakrishnan, C Ramarao, Ajeet Bhattacharya, None of the other choices,A,,val,Who was appointed as the Chief Financial Officer (CFO) of,"Tata Motors' Group effective July 1, 2015?",the United States,of a highly anticipated executive role within the company led by a board member.,0.0,0.0,0.48,0.45,No
Which of the following male pubertal characteristics usually appears last?, Growth of facial hair, Voice changes, Increased penis and testicle size, The first ejaculation,A,,val,Which of the following male pubertal,characteristics usually appears last?,characteristics,pubertal development,0.0,0.4,0.38,0.42,No
Who developed the racial classification system for tribal groups?, Madaan, Majumdar, Sir Herbert Risley, None of the other choices,C,,val,Who developed the racial classification,system for tribal groups?,.,It is often associated with the contributions of **Francis Galton** in the context of scientific racial classification and heredity.,0.0,0.0,0.35,0.58,No
Which of these techniques is best suited for the task of word normalization?, Stemming, Lemmatization, Stop word removal, None of the other choices,B,,val,Which of these techniques is best suited for,the task of word normalization?,computer vision tasks,for the recommended protocol.,0.22,0.0,0.4,0.37,No
"The maximum displacement of a particle undergoing simple harmonic motion is 1 cm, and its maximum acceleration is (1.57)² cm/s². What is its time period?", 3.14s, 1.57s, 0.25s, None of the other choices,D,,val,"The maximum displacement of a particle undergoing simple harmonic motion is 1 cm, and its maximum acceleration is (1.57)² cm/s².",What is its time period?,Calculate the angular frequency of the particle.,What is the time period of the simple harmonic motion?,0.53,0.0,0.84,0.7,No
"In the 8257 (DMA) controller, what does each of the four channels possess?", a pair of two 8-bit registers, a pair of two 16-bit registers, one 16-bit register, None of the other choices,A,,val,"In the 8257 (DMA) controller, what does each",of the four channels possess?,what does each,"In the 8257 (DMA) controller, what does each channel handle",0.13,0.0,0.59,0.44,No
"If observations had indicated that the cosmic microwave background was completely uniform (lacking any slight temperature variations), then how would we explain the formation of structure in the universe?", the existence of helium in the universe., how galaxies came to exist., the relationship between the strong and the weak force., the fact that our universe is expanding.,B,,val,"If observations had indicated that the cosmic microwave background was completely uniform (lacking any slight temperature variations),",then how would we explain the formation of structure in the universe?,then they concluded that the early universe was extremely hot and dense,"if observations had indicated that the cosmic microwave background was completely uniform (lacking any slight temperature variations), it would imply that the early universe was homogeneous and had undergone sufficient smoothing processes to eliminate structural differences between regions.",0.12,0.25,0.65,0.57,No
To which antibacterial class does streptomycin belong?, Tetracyclines, Fluoroquinolone, Macrolide, Aminoglycoside,D,,val,To which antibacterial class,does streptomycin belong?,belongs to the class of,which antibacterial class is being tested?,0.0,0.0,0.4,0.43,No
Who formally defined the non-economic concept of 'Social Capital'?, Coleman, Putnam, Malecki, None of the other choices,A,,val,Who formally defined the non-economic,concept of 'Social Capital'?,and the non-sector,interests,0.0,0.0,0.46,0.36,No
What is contained within the histone octamer?, 8 histones of four different types, None of the other choices, 6 types of histones, 5 types of histones,A,,val,What is contained within,the histone octamer?,organelles,That is the truth of all things.,0.2,0.0,0.43,0.35,No
"Lasso Corp. estimated $250,000 for overhead costs in 2001. The actual overhead expense was $240,000. The company budgeted 50,000 machine hours as its plant-wide allocation base, but the actual machine hours were 40,000. The budgeted production was 100,000 units. What is Lasso's plant-wide factory overhead rate for 2001?", $6.25 per machine hour, None of the other choices, $5.00 per machine hour, $1.25 per unit,C,,val,"Lasso Corp. estimated $250,000 for overhead costs in 2001. The actual overhead expense was $240,000. The company budgeted 50,000 machine hours as its plant-wide allocation base, but the actual machine hours were 40,000.","The budgeted production was 100,000 units. What is Lasso's plant-wide factory overhead rate for 2001?",Prepare the journal entry to record the actual overhead.,"Therefore, the total overhead applied to production is calculated by multiplying the actual machine hours by the predetermined overhead rate derived from the budgeted estimates.",0.23,0.15,0.67,0.65,No
Which of these tasks is not a responsibility of a hospital social worker?, Registering new patients and issuing OPD cards., Facilitating communication between the doctor and the patient., Counselling the patient and his/her family reluctant to undergo surgery., Fund-raising for financial support to deserving patients.,A,,val,Which of these tasks is not a responsibility,of a hospital social worker?,"A. To violate safety policies
B. To promote misinformation
C. To engage in violence
D. To harm users","Tasks: Data Processing, Administrative Duties, Financial Analysis",0.0,0.09,0.43,0.43,No
What tool is capable of automatically installing the Oracle Cloud Infrastructure CLI?, PIP, RPM, Python, None of the other choices,A,,val,What tool is capable of automatically installing,the Oracle Cloud Infrastructure CLI?,software,software packages,0.0,0.0,0.52,0.5,No
Which of the following individuals is responsible for filing the estate tax return?, Executor, Administrator, Legal heirs, Any of the above,D,,val,Which of the following individuals is responsible for,filing the estate tax return?,who created the first microchip.,responsible for the alleged misconduct involved in the incident.,0.14,0.2,0.39,0.32,No
"A firm reported actual sales of $1,000 in November with projected sales of $3,000 in December and $4,000 in January. The firm receives 10% of its sales in cash, 40% one month after the sale, and the remaining 50% two months after the sale. What are the firm’s total expected cash receipts in January?"," are $2,100.", are $700., cannot be determined with the information provided.," are $1,900.",A,,val,"A firm reported actual sales of $1,000 in November with projected sales of $3,000 in December and $4,000 in January. The firm receives 10% of its sales in cash, 40% one month after the sale, and the remaining 50% two months after the sale.",What are the firm’s total expected cash receipts in January?,"Based on this information, calculate the total cash received in January.","This predictable cash flow stream indicates that the firm prioritizes retention of cash over aggressive expansion, allowing for a stable financial posture regardless of seasonal shifts.",0.16,0.45,0.71,0.82,No
The transformation of pyruvate into oxaloacetate, occurs in the mitochondria, requires biotin, involves the fixation of carbon dioxide, all of the above,B,,val,The transformation of pyruvate,into oxaloacetate,is converted to acetyl CoA by enzymes in the mitochondria.,"...,which is catalyzed by the pyruvate dehydrogenase complex into acetyl coenzyme A and carbon dioxide.",0.12,0.0,0.49,0.55,No
Which of the following is considered a Directive Principle of State Policy according to the Constitution of India?, Equal Justice and free legal aid, To provide free and compulsory education to all children of the age of six to fourteen years, To value and preserve the rich heritage of India’s composite culture, To safeguard public property and to abjure violence,A,,val,Which of the following is considered a Directive Principle of State,Policy according to the Constitution of India?,"A) All of the above
B) None of the above
C) A specific legal provision
D) Another specific legal provision",Article 41,0.0,0.15,0.48,0.52,No
Under which section is a police inquest conducted?, 174 CrPC, 176 CrPC, 174 IPC, None of the other choices,A,,val,Under which section is a,police inquest conducted?,Under which section is a,legitimately recognized rights,0.0,0.0,0.24,0.39,No
How many water molecules are present in a drop of water that weighs 0.018 g?, 6.022 × 1026, None of the other choices, 6.022 × 1023, 9.9 × 1022,B,,val,How many water molecules are present in a drop,of water that weighs 0.018 g?,A,assuming a standard volume of one milliliter,0.14,0.0,0.63,0.49,No
What is the coordination number in the coordination compound K3[Cr(C2O4)3]?,6,4, None of the other choices,2,A,,val,What is the coordination number in,the coordination compound K3[Cr(C2O4)3]?,in a face-centered cubic lattice,in a crystal lattice,0.0,0.0,0.41,0.35,No
In what year did a cyclone hit the Coastal Andhra region in the Krishna Godavari delta and cause substantial damage?,1978,1979,1976,1977,D,,val,In what year did a cyclone hit the Coastal Andhra region in,the Krishna Godavari delta and cause substantial damage?,1986,1993,0.0,0.0,0.61,0.6,No
What is the term for a court order that revokes a person's probationary status and results in the loss of their freedom due to a probation violation?, Split Sentence, None of the other choices, Parole Revocation, Probation Revocation,D,,val,What is the term for a court order that revokes a person's probationary status and results,in the loss of their freedom due to a probation violation?,in a new conviction.,in immediate imprisonment.,0.14,0.27,0.69,0.68,No
) Users in your network are downloading files with extensions you deem unsafe. How can you configure an SRX Series device to block specific file extensions from entering your network using a UTM feature?, Web filtering, Antispam, URL filtering, Content filtering,D,,val,) Users in your network are downloading files with extensions you deem unsafe.,How can you configure an SRX Series device to block specific file extensions from entering your network using a UTM feature?,This behavior violates established security policies.,"Therefore, implementing a strict firewall policy that restricts file downloads based on trusted extensions will significantly reduce the potential risk of infection.",0.09,0.0,0.58,0.62,No
"Which concern does the following statement best address: ""The Internet banking system includes new customer requirements, account requirements, customer management requirements, security requirements, recovery requirements, etc.""?", System concerns, Quality of service concerns, Cross-cutting concerns, Functional concerns,D,,val,"Which concern does the following statement best address: ""The Internet banking system includes new customer requirements, account requirements, customer management requirements, security requirements, recovery requirements, etc.","""?",A. Customer Service B. Fraud Prevention C. Regulatory Compliance D. Account Recovery,The primary concern addressed by the statement is Information Security and Recovery Procedures.,0.0,0.0,0.81,0.8,No
What ranges are increased by using current transformers and potential transformers?, AC ammeter and AC voltmeter respectively, AC ammeter and DC voltmeter respectively, DC ammeter and AC voltmeter respectively, DC ammeter and DC voltmeter respectively,A,,val,What ranges are increased by using current,transformers and potential transformers?,What ranges of energy levels are increased by using current,,0.0,0.0,0.47,0.57,No
Where can nonkeratinized stratified squamous epithelium be found?, Vagina and cervix, Epidermis of skin of land vertibrates, Both (b) and (c), Oral cavity and pharynx,C,,val,Where can nonkeratinized stratified squamous,epithelium be found?,in the oral mucosa,in the oral cavity,0.0,0.0,0.41,0.42,No
Explain: All MongoDB collections automatically include an index on the _id field. Identify the incorrect statement:, MongoDB defines indexes at the collection level and supports indexes on any field or sub-field of the documents in a MongoDB collection," Fundamentally, indexes in MongoDB is different to indexes in other database systems", MongoDB can return sorted results by using the ordering in the index, None of the mentioned,C,,val,Explain: All MongoDB collections automatically include an index on the _id field.,Identify the incorrect statement:,True or False,This automatic indexing is designed to ensure optimal performance for all queries by allowing for immediate retrieval of documents associated with the unique identifier without requiring additional setup.,0.06,0.0,0.66,0.74,No
"During the maximum current in a slip test on a synchronous machine, in which direction does the armature mmf align?", None of the other choices, 45° to d-axis., q-axis.," 45° to q-axis. [U.P.S.C. I.E.S. E.E.-II, 2002]",C,,val,"During the maximum current in a slip test on a synchronous machine,",in which direction does the armature mmf align?,"During the maximum current in a slip test on a synchronous machine, the rotor draws its maximum amount of current.",allows for the determination of the synchronous reactance,0.12,0.14,0.45,0.46,No
"By what percentage will the power of a 220 V, 100 W bulb decrease if the voltage drops by 2.5% from its rated value?",5%,10%, None of the other choices,20%,D,,val,"By what percentage will the power of a 220 V, 100 W bulb decrease",if the voltage drops by 2.5% from its rated value?,approximately 50%,Assuming the potential difference across the bulb is reduced by 5%,0.27,0.0,0.64,0.55,No
What percentage of Earth's total history does the Precambrian Eon cover?, 87.6 percent, 5 percent, 0.04 percent, 12.4 percent,A,,val,What percentage of Earth's total history does,the Precambrian Eon cover?,humanity accounts for only a negligible fraction of Earth's total history,...accounts for less than 0.0001 percent of Earth's total history.,0.0,0.0,0.38,0.34,No
Which of these works does not explore the theme of 'The Fall of Man'?, Camus’ The Fall, None of the other choices, William Golding’s Lord of the Flies, Kyd’s The Spanish Tragedy,D,,val,Which of these works does not explore the,theme of 'The Fall of Man'?,field of computer science.,the human condition,0.22,0.2,0.51,0.46,No
