subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
college_computer_science,Which of the following is NOT a property of bitmap graphics?,Fast hardware exists to move blocks of pixels efficiently.,Realistic lighting and shading can be done.,All line segments can be displayed as straight.,Polygons can be filled with solid colors and textures.,2,C,ok,,,https://people.engr.tamu.edu/d-walker/Quals/CompSciGREPractice.pdf,Which of the following is NOT a,property of bitmap graphics?,characteristic of a covalent bond?,valid option in the list?,0.0,0.22,0.41,0.35
anatomy,During an inferior alveolar nerve block the needle ideally passes,posterior and medial to medial pterygoid.,anterior and lateral to medial pterygoid.,through medial pterygoid.,inferior to medial pterygoid.,1,B,ok,,,https://global.oup.com/uk/orc/dentistry/atkinson/student/mcqs/ch25/,During an inferior alveolar nerve block,the needle ideally passes,", which of the following statements is true?
A. The needle is inserted into the pterygomandibular space.
B. The needle is inserted into the buccal mucosa.
C. The needle is inserted into the submandibular space.
D. The needle is inserted into the parotid gland.
E. The needle is inserted into the masseter muscle.","During an inferior alveolar nerve block, the anesthetic solution is deposited near the mandibular foramen on the medial aspect of the ramus of the mandible to anesthetize the inferior alveolar nerve, which subsequently provides pulpal anesthesia to all teeth on the ipsilateral side of the lower jaw and soft tissue anesthesia to the lower lip and chin.",0.03,0.07,0.37,0.45
business_ethics,Which of the following statements is correct?,Business ethics is not a real concept as the rules and ethics of everyday life don't apply to the world of business.,"Business Ethics is the study of business situations, activities and decisions where issues of right and wrong are addressed.",Business ethics cannot be defined as a real concept as it is an oxymoronic term.,Business ethics is concerned with the study of assessing the activities of a business based on their profitability.,1,B,ok,,,https://learninglink.oup.com/access/content/cranebe5e-student-resources/cranebe5e-chapter-1-multiple-choice-questions?previousFilter=tag_chapter-01,Which of the following,statements is correct?,"is the capital of France?
A. London
B. Berlin
C. Paris
D. Madrid",is the correct answer?,0.57,0.12,0.74,0.41
college_biology,Which of the following is the best explanation for why net primary productivity in terrestrial ecosystems tends to increase toward the tropics?,The higher species diversity in the tropics tends to increase plant growth.,There are lower metabolic costs to plant growth in the tropics.,The availability of water and warm temperatures in the tropics fosters photosynthesis.,The tropics have more predators that minimize herbivory.,2,C,ok,,,https://maktabkhooneh.org/mag/wp-content/uploads/2020/12/practice_book_biology.pdf,Which of the following is the best explanation for why net primary productivity,in terrestrial ecosystems tends to increase toward the tropics?," is highest in tropical rainforests?
A. High temperatures and abundant rainfall
B. Low temperatures and low rainfall
C. High temperatures and low rainfall
D. Low temperatures and abundant rainfall","is generally higher in the ocean's surface waters than in the deep sea? The primary reason is the availability of sunlight and nutrients. Photosynthesis, which drives net primary productivity, requires solar energy, which is abundant only in the sunlit upper layer of the ocean (the euphotic zone). Additionally, while nutrients are often scarce at the surface due to consumption by phytoplankton, they are replenished from deeper waters through upwelling or mixing, creating the necessary conditions for high productivity in these specific regions, whereas the deep sea lacks both light and the active biological processes required for primary production.",0.06,0.05,0.5,0.67
miscellaneous,What was the revenue for flat screen televisions sold in Australia in the past 12 months (as of 2013)?,$120 million annual Revenue,$1.2 billion annual Revenue,$12 billion annual Revenue,$120 billion annual Revenue,1,B,ok,,,,What was the revenue for flat screen televisions sold in Australia,in the past 12 months (as of 2013)?,in 2011?,"for the fiscal year 2022-2023, the revenue generated from flat screen televisions sold in Australia was approximately **$1.8 billion AUD**. This figure represents a slight decline from the previous year, reflecting broader trends in the consumer electronics market, including shifting consumer preferences toward larger screen sizes and the impact of global supply chain fluctuations on pricing and availability.",0.09,0.2,0.51,0.71
college_biology,"From an evolutionary perspective, the optimality theory as applied to a given trait is best represented by the idea that","if the benefits gained from the trait exceed the cost of the trait to the animal performing them, that trait will persist in the genome","if the trait reaps the best return for the cost relative to alternative forms of the trait, that trait will win out over the alternative forms","beneficial traits are always worth the cost to the organism in energy and physiology, so those traits will persist in the genome",the relative fitness of an organism must be improved due to a specific trait in order for the trait to remain in a population's gene pool,1,B,ok,,,https://en.wikipedia.org/wiki/Optimality_model,"From an evolutionary perspective, the optimality theory as applied to a given",trait is best represented by the idea that,"species is a theory that attempts to explain the evolution of a trait by assuming that the trait has evolved to maximize some fitness-related function. This approach has been widely used in the study of animal behavior, particularly in the context of foraging theory, where it has been used to explain the optimal foraging strategies of animals. However, the optimality theory has also been criticized for its reliance on assumptions that may not always hold in real-world scenarios, and for its difficulty in accounting for the complex interactions between different traits and environmental factors. Despite these limitations, the optimality theory remains an important tool for understanding the evolution of animal behavior and has been the subject of extensive research and debate in the field of evolutionary biology.","From an evolutionary perspective, the optimality theory as applied to a given trait or behavior posits that natural selection has shaped organisms to maximize fitness within specific constraints. This framework assumes that the observed outcome is the best possible solution to a problem, balancing competing selective pressures such as energy expenditure, survival rates, and reproductive success. By modeling these trade-offs, researchers can predict how organisms should behave or be structured under ideal conditions, allowing them to test whether real-world observations align with these theoretical optima or if other factors, such as historical contingencies or developmental limitations, are at play.",0.07,0.06,0.53,0.49
electrical_engineering,Which of the following is not a sinusoidal oscillator?,LC oscillator,RC phase shift oscillator,Relaxation oscillator,Crystal oscillator,2,C,ok,,,,Which of the following is,not a sinusoidal oscillator?,not a primary source of energy?,the correct answer?,0.0,0.4,0.43,0.42
college_biology,Which is a characteristic unique to angiosperms?,Wind-borne pollen,A dominant sporophyte life cycle,Alteration of generations,Double fertilization,3,D,ok,,,https://study.com/academy/lesson/angiosperms-characteristics-definition-examples.html,Which is a characteristic,unique to angiosperms?, of a good hypothesis?,of a good leader?,0.0,0.0,0.35,0.27
computer_security,Which among them has the strongest wireless security?,WEP,WPA,WPA2,WPA3,3,D,ok,,,"https://www.sanfoundry.com/cyber-security-questions-answers-wireless-security/#:~:text=Which%20among%20them%20has%20the%20strongest%20wireless%20security%3F&text=Explanation%3A%20The%20most%20extensive%20types,the%20strongest%20and%20recently%20released.",Which among them has the,strongest wireless security?,highest number of electrons in the outermost shell?,greatest power?,0.0,0.0,0.49,0.35
public_relations,Psychographics refers to,"individual values, lifestyles and characteristics","individual sex, age, race and income statistics",potential influence,all of the above,0,A,ok,,,https://www2.tesu.edu/tecep_desc/COM-210.pdf,Psychographics refers,to,"to the study of people's psychological characteristics, such as their attitudes, interests, opinions, and values, which are used to segment markets and understand consumer behavior.","to the study of consumers' psychological characteristics, such as their attitudes, values, interests, lifestyles, and personality traits. Unlike demographics, which categorize people based on observable data like age, income, or education, psychographics seeks to understand the underlying motivations and emotional drivers that influence purchasing decisions. By analyzing these deeper factors, marketers can segment audiences more effectively, creating targeted campaigns that resonate with individuals on a personal level rather than just fitting them into broad statistical groups.",0.03,0.07,0.39,0.4
virology,What is the biggest risk factor for infection with Ebola?,Working in a category IV laboratory,Attending a funeral of a victim outside,Nursing a patient at home,Attending football matches or large gatherings,0,A,bad_question_clarity,,From the source. The question is not clearly stated. C is possible,Human Virology 5e,What is the biggest risk factor,for infection with Ebola?,for developing atherosclerosis?,for developing type 2 diabetes is being overweight or obese.,0.14,0.29,0.41,0.46
human_aging,Projective tests generally ___ than objective tests of personality.,Have higher reliability,Are more visual,Are more valid,Provide more information,1,B,ok,,,https://s3-eu-west-1.amazonaws.com/s3-euw1-ap-pe-ws4-cws-documents.ri-prod/9780205544011/Chapter%209%20Multiple%20Choice.doc,Projective tests generally ___ than,objective tests of personality.,objective tests.,Projective tests generally **take longer to administer and score than**,0.14,0.67,0.46,0.79
high_school_psychology,Which of the following LEAST influences sexual behavior?,hypothalamus,pituitary,gonads,reticular formation,3,D,ok,,,https://www.crackap.com/ap/psychology/question-473-answer-and-explanation.html,Which of the following LEAST,influences sexual behavior?,"likely to be a primary source of information for a historian studying the causes of World War I?
(A) A diary entry written by a soldier who fought in the war
(B) A letter from a diplomat describing negotiations before the war
(C) A textbook written in 1920 summarizing the events leading to the war
(D) A photograph of the signing of the Treaty of Versailles",fits the pattern of the others.,0.0,0.0,0.46,0.37
high_school_us_history,"This question refers to the following information.
""Since the foundations of the American commonwealth were laid in colonial times over 300 years ago, vigorous complaint and more or less bitter persecution have been aimed at newcomers to our shores. Also the congressional reports of about 1840 are full of abuse of English, Scotch, Welsh immigrants as paupers, criminals, and so forth. Old citizens in Detroit of Irish and German descent have told me of the fierce tirades and propaganda directed against the great waves of Irish and Germans who came over from 1840 on for a few decades to escape civil, racial, and religious persecution in their native lands. The ""Know-Nothings,"" lineal ancestors of the Ku-Klux Klan, bitterly denounced the Irish and Germans as mongrels, scum, foreigners, and a menace to our institutions, much as other great branches of the Caucasian race of glorious history and antecedents are berated to-day….But to-day it is the Italians, Spanish, Poles, Jews, Greeks, Russians, Balkanians, and so forth, who are the racial lepers…..In this bill we find racial discrimination at its worst—a deliberate attempt to go back 84 years in our census taken every 10 years so that a blow may be aimed at peoples of eastern and southern Europe, particularly at our recent allies in the Great War—Poland and Italy.""
Robert H. Clancy, Congressional Record, 68th Congress, 1st Session, 1924
What best accounts for the sharp increase of immigrants during the period 1880–1910?",Many Southern and Eastern Europeans turned to America for financial gain and political freedom.,Irish farmers were forced to leave their homes due to agricultural disasters.,Germans were seeking ways to avoid military conscription.,The United States welcomed immigrants by providing housing and employment.,0,A,ok,,,https://www.crackap.com/ap/us-history/question-90-answer-and-explanation.html,"This question refers to the following information. ""Since the foundations of the American commonwealth were laid in colonial times over 300 years ago, vigorous complaint and more or less bitter persecution have been aimed at newcomers to our shores. Also the congressional reports of about 1840 are full of abuse of English, Scotch, Welsh immigrants as paupers, criminals, and so forth. Old citizens in Detroit of Irish and German descent have told me of the fierce tirades and propaganda directed against the great waves of Irish and Germans who came over from 1840 on for a few decades to escape civil, racial, and religious persecution in their native lands.","The ""Know-Nothings,"" lineal ancestors of the Ku-Klux Klan, bitterly denounced the Irish and Germans as mongrels, scum, foreigners, and a menace to our institutions, much as other great branches of the Caucasian race of glorious history and antecedents are berated to-day….But to-day it is the Italians, Spanish, Poles, Jews, Greeks, Russians, Balkanians, and so forth, who are the racial lepers…..In this bill we find racial discrimination at its worst—a deliberate attempt to go back 84 years in our census taken every 10 years so that a blow may be aimed at peoples of eastern and southern Europe, particularly at our recent allies in the Great War—Poland and Italy."" Robert H. Clancy, Congressional Record, 68th Congress, 1st Session, 1924
What best accounts for the sharp increase of immigrants during the period 1880–1910?","The author of the passage is most likely to agree with which of the following statements?
A. The United States has always been a nation of immigrants, and the challenges they faced were a necessary part of building a strong country.
B. The persecution of immigrants in the 19th century was primarily due to their economic status rather than their ethnic or religious backgrounds.
C. The American commonwealth was founded on the principle of welcoming all newcomers without discrimination or prejudice.
D. The congressional reports of 1840 accurately reflected the true character of English, Scotch, and Welsh immigrants.
E. The fierce tirades and propaganda against Irish and German immigrants were justified by their behavior as paupers and criminals.","Yet, despite this long history of hostility, the American people have repeatedly demonstrated their capacity for tolerance and assimilation. The very groups once vilified as threats to the nation's stability eventually became its most loyal citizens, contributing significantly to its economic growth, cultural richness, and democratic ideals. As the author suggests, the ""fierce tirades"" of the past were often born of fear and ignorance, but they ultimately failed to stop the inevitable flow of immigration that has defined the American character. Today, the descendants of those Irish and German immigrants, along with countless others who followed, stand as a testament to the enduring promise of the American commonwealth: that it is a nation built not by blood or birth, but by the courage of those willing to seek a better life and the willingness of the host society to welcome them.",0.17,0.15,0.56,0.53
marketing," These goods are low-priced products that are bought frequently, are used just once, and incur low levels of purchase risk:",Non-durable.,Durable.,Generic.,Luxury.,0,A,ok,,,https://www.chegg.com/homework-help/questions-and-answers/goods-low-priced-products-bought-frequently-used-incur-low-levels-purchase-risk-b-c-non-du-q163013948," These goods are low-priced products that are bought frequently, are used","just once, and incur low levels of purchase risk:","up quickly, and are purchased with minimal effort.","up quickly, and are often purchased without much thought or planning.",0.1,0.12,0.69,0.71
high_school_physics,At what angle to the horizontal should an ideal projectile be launched so that its horizontal displacement (the range) is equal to its maximum vertical displacement?,sin–1 (1/g),cos–1 (1/g),45°,tan–1 4,3,D,ok,,,https://www.crackap.com/ap/physics-c-mechanics/question-33-answer-and-explanation.html,At what angle to the horizontal should an ideal projectile be launched so that its,horizontal displacement (the range) is equal to its maximum vertical displacement?,range is equal to its maximum height?,maximum range is achieved? The answer is 45 degrees.,0.2,0.67,0.71,0.73
