question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
3573,"When an inch of rain falls on New York, it results in a rainfall of 19.8 × 10^9 liters. If the temperature drops to 0°C after this rainfall and the density of rain (H_2O) is 1.00 g/cm_3, how much heat is released when this quantity of water freezes? You may assume ∆H_fus= 1.4 Kcal mole^-1.",1.76 Kcal,0.98 Kcal,3.08 Kcal,2.8 Kcal,1.54 Kcal,0.7 Kcal,1.1 Kcal,1.98 Kcal,2.2 Kcal,1.4 Kcal,E,4,chemistry,stemez-Chemistry,,test,"When an inch of rain falls on New York, it results in a rainfall of 19.8 × 10^9 liters. If the temperature drops to 0°C after this rainfall and the density of rain (H_2O) is 1.00 g/cm_3, how much heat is released when this quantity of water freezes?",You may assume ∆H_fus= 1.4 Kcal mole^-1.,7.0 \times 10^{15} \text{ J},"To determine the amount of heat released during the freezing process, we first need to calculate the mass of the water based on the volume provided. Given the rainfall volume of 19.8 × 10⁹ liters, we multiply this by the density of water (1.00 g/cm³) to convert the volume into mass in grams. This establishes the total mass of the water sample. Once the mass is determined, we apply the specific formula for heat transfer involving the latent heat of fusion of water ($L_f$), which represents the energy required to transition ice from -18°C to -4°C (or 0°C to 0°C) without changing the phase.",0.03,0.0,0.65,0.6,No
4844,"The influence of the Tiwanaku was eclipsed by the _________ culture, to the north and west.",Toltec,Olmec,Inca,Nazca,Chavin,Maya,Moche,Zapotec,Aztec,Wari,J,9,history,ori_mmlu-prehistory,,test,The influence of the Tiwanaku was eclipsed by the,"_________ culture, to the north and west.",Inca Empire,Spanish,0.0,0.0,0.48,0.55,No
10189,A solution of camphor in alcohol in a tube 20 cm long rotates the plane of vibration of light passing through it 33°. What must the density of camphor be in the solution? The specific rotation of camphor is + 54°.,.450 grams per cc,.615 grams per cc,.306 grams per cc,.150 grams per cc,.350 grams per cc,.500 grams per cc,.405 grams per cc,.275 grams per cc,.250 grams per cc,.750 grams per cc,C,2,physics,stemez-Optics,,test,A solution of camphor in alcohol in a tube 20 cm long rotates the plane of vibration of light passing through it 33°. What must the density of camphor be in the solution?,The specific rotation of camphor is + 54°.,(C),Calculate the density of camphor using the provided specific rotation and tube length values.,0.29,0.0,0.72,0.71,No
3423,"IfDNAaseis added to a bacterial cell, the DNA is hydrolyzed , the cell cannot make any more proteins and eventually dies. IfDNAaseis added to RNA viruses, they continue to produce new proteins. Explain.",The virus uses a special type of DNA that is resistant to DNAase.,"The RNA virus is not affected by DNAase since it contains RNA, not DNA.","DNAase selectively degrades only bacterial DNA, not viral DNA.",The virus has a protective protein coat that prevents DNAase from reaching its genetic material.,"DNAase triggers a dormant state in the virus, during which it does not need to produce proteins.",The virus is immune to DNAase,The virus contains both DNA and RNA,The virus encodes for a DNAase inhibitor that protects its genetic material.,The virus transforms DNAase into RNAase,The virus quickly repairs its DNA after DNAase damage.,B,1,biology,stemez-Biology,,test,"IfDNAaseis added to a bacterial cell, the DNA is hydrolyzed , the cell cannot make any more proteins and eventually dies. IfDNAaseis added to RNA viruses, they continue to produce new proteins.",Explain.,Which of the following is true?,"This demonstrates that the genetic structure determines the sensitivity to chemical treatment, proving that viral RNA is inherently more resilient to enzymatic breakdown than bacterial DNA.",0.0,0.0,0.64,0.85,No
4597,"Calculate the recoil energy of an atom of mass 10, following emission of a 2Mevgamma ray.",550ev,400ev,75ev,214ev,100ev,150ev,320ev,50ev,500ev,250ev,D,3,chemistry,stemez-PhysicalChemistry,,test,Calculate the recoil energy of an atom of mass,"10, following emission of a 2Mevgamma ray.",6.64 x 10^-27 kg.,moving with a velocity v.,0.17,0.15,0.48,0.49,No
10659,"Two processors, M-5 and M-7, implement the same instruction set. Processor M-5 uses a 5-stage pipeline and a clock cycle of 10 nanoseconds. Processor M-7 uses a 7-stage pipeline and a clock cycle of 7.5 nanoseconds. Which of the following is (are) true?
I. M-7’s pipeline has better maximum throughput than M-5’s pipeline.
II. The latency of a single instruction is shorter on M-7’s pipeline than on M-5’s pipeline.
III. Programs executing on M-7 will always run faster than programs executing on M-5.",All three statements are true,None of the statements are true,I only,II only,I and II,I and II only,II and III only,II and III,I and III,III only,C,2,computer science,ori_mmlu-college_computer_science,,test,"Two processors, M-5 and M-7, implement the same instruction set. Processor M-5 uses a 5-stage pipeline and a clock cycle of 10 nanoseconds. Processor M-7 uses a 7-stage pipeline and a clock cycle of 7.5 nanoseconds. Which of the following is (are) true? I. M-7’s pipeline has better maximum throughput than M-5’s pipeline.",II. The latency of a single instruction is shorter on M-7’s pipeline than on M-5’s pipeline. III. Programs executing on M-7 will always run faster than programs executing on M-5.,II. M-5’s pipeline has worse maximum throughput than M-7’s pipeline.,"II. Consequently, M-7 achieves a higher throughput than M-5 due to the lower clock cycle time offsetting the disadvantage of the increased stage count.",0.19,0.32,0.72,0.75,No
2324,Discuss three contrasting explanations of the phenomenon ofanxiety.,"Psychoanalytic theory, social learning theory, and control theory","Cognitive dissonance theory, behavioral perspective, and the diathesis-stress model","Psychoanalytic theory, stimulus-response theory, and Maslow's hierarchy of needs","Fight or flight response, psychoanalytic theory, and control theory","Attachment theory, psychodynamic explanation, and behavioral genetics","Social learning theory, existential analysis, and the biomedical model","Psychoanalytic theory of neurotic anxiety, stimulus-response explanation, and concepts of control and helplessness.","Cognitive-behavioral approach, humanistic perspective, and evolutionary psychology","Evolutionary psychology, biopsychosocial model, and the fight or flight response","Biological perspective, cognitive theory, and existential analysis",G,6,psychology,stemez-Psychology,,test,Discuss three contrasting explanations of,the phenomenon ofanxiety.,of the causes of disease,of the underlying mechanisms proposed by experts.,0.2,0.25,0.53,0.48,No
5433,What is the relationship between Westphalian sovereignty and humanitarian intervention?,"Theories of Westphalian sovereignty argue that humanitarian intervention is an essential tool for maintaining global security, and hence should be supported by all states.","State sovereignty and principles of non-interference that underpin the Westphalian approach can be disregarded, provided that there is a consensus amongst international actors that human life within the state is at risk, and where that risk is from the actions of the state itself.","The Westphalian model of sovereignty promotes the idea of shared responsibility, arguing that states have a duty to intervene in a humanitarian crisis, regardless of the sovereignty of the affected state.","In its advocacy of global political institutions, the Treaty of Westphalia defined state sovereignty as being subjective to the behaviour of the political or ruling elite in that state, prioritizing human welfare over arbitrary values of sovereignty and thus legitimising humanitarian intervention where necessary.","Theories of Westphalian sovereignty decree that principles of non-intervention are paramount to achieving security; this has been extended into the contemporary global security environment in which international bodies such as the UN condemn humanitarian intervention, regarding it as detrimental to state-centric security.",Westphalian sovereignty supports the idea of humanitarian intervention only when it is requested by the state in question.,The Westphalian concept of sovereignty emphasizes the importance of international cooperation and hence supports the idea of humanitarian intervention under the supervision of international bodies.,"The international society is governed by norms of Westphalian sovereignty that advocate non-intervention and the respect of state sovereignty as a means of achieving security. These norms are enshrined in the Charter of the United Nations, which bans the use of force between states except in self-defence or when authorized by the UN.","Westphalian sovereignty and humanitarian intervention are not related, as the former is a political concept and the latter is a social one.",,H,7,other,ori_mmlu-security_studies,,test,What is the relationship between Westphalian,sovereignty and humanitarian intervention?,and the Peace of Westphalia,What is the relationship between Westphalian sovereignty and modern statehood?,0.29,0.22,0.47,0.39,No
5809,About ___ % of adolescent males have homosexual experiences during their teenage years.,30,90,5,50,80,70,10,20,40,60,G,6,other,ori_mmlu-human_sexuality,,test,About ___ % of adolescent males have homosexual,experiences during their teenage years.,"A. 25%
B. 30%
C. 35%
D. 40%",approximately 6%,0.0,0.0,0.48,0.5,No
8616,"A basketball team has 12 players, including 5 guards and 7 forwards. How many different starting lineups can be formed that include 3 guards and 2 forwards?",350,245,210,126,150,300,180,105,132,120,C,2,math,theoremQA-Math,,test,"A basketball team has 12 players, including 5 guards and 7 forwards.",How many different starting lineups can be formed that include 3 guards and 2 forwards?,What is the total number of players on the team?,"As verified, the roster accounts for all sixteen members, consisting of five guards and seven forwards.",0.19,0.0,0.68,0.72,No
2832,"A group of students were invited to taste phenylthiocarbamide (PTC). The ability to taste PTC is inherited by a single pair of genes and tasting (T) is dominant to non-tasting (t). Among 798 students, 60.4 percent were tasters, a) Calculate the allelic frequency of T and t. b) How many of the students were TT? Tt? tt?","Frequency of T is .371, Frequency of t is .629, Number of students with TT is 109, Tt is 373, tt is 316","Frequency of T is .396, Frequency of t is .604, Number of students with TT is 150, Tt is 348, tt is 300","Frequency of T is .533, Frequency of t is .467, Number of students with TT is 200, Tt is 398, tt is 200","Frequency of T is .440, Frequency of t is .560, Number of students with TT is 220, Tt is 358, tt is 220","Frequency of T is .629, Frequency of t is .371, Number of students with TT is 180, Tt is 418, tt is 200","Frequency of T is .604, Frequency of t is .396, Number of students with TT is 373, Tt is 316, tt is 109","Frequency of T is .467, Frequency of t is .533, Number of students with TT is 250, Tt is 298, tt is 250","Frequency of T is .560, Frequency of t is .440, Number of students with TT is 180, Tt is 438, tt is 180","Frequency of T is .467, Frequency of t is .533, Number of students with TT is 109, Tt is 373, tt is 316","Frequency of T is .629, Frequency of t is .371, Number of students with TT is 316, Tt is 373, tt is 109",A,0,biology,stemez-Biology,,test,"A group of students were invited to taste phenylthiocarbamide (PTC). The ability to taste PTC is inherited by a single pair of genes and tasting (T) is dominant to non-tasting (t). Among 798 students, 60.4 percent were tasters, a) Calculate the allelic frequency of T and t. b) How many of the students were TT?",Tt? tt?,c) What is the frequency of the recessive phenotype? d) What is the frequency of the heterozygous genotype? e) What is the frequency of the dominant phenotype?,"a) To calculate the allelic frequency of T (p) and t (q), we first determine the frequency of the non-taster phenotype, which is homozygous recessive (tt). The non-taster frequency is $1 - 0.604 = 0.396$. Assuming Hardy-Weinberg equilibrium, $q^2 = 0.396$. Thus, $q = \sqrt{0.396} \approx 0.629$. Consequently, $p = 1 - 0.629 = 0.371$.
b) Using $p$ and $q$, the number of TT homozygotes is calculated as $p^2 \times N = (0.371)^2 \times 798 \approx 110$. Approximately 110 of the students were TT.",0.04,0.0,0.63,0.76,No
8325,"A spring is stretched 6 in by a mass that weighs $8 \mathrm{lb}$. The mass is attached to a dashpot mechanism that has a damping constant of $0.25 \mathrm{lb} \cdot \mathrm{s} / \mathrm{ft}$ and is acted on by an external force of $4 \cos 2 t \mathrm{lb}$.
If the given mass is replaced by a mass $m$, determine the value of $m$ for which the amplitude of the steady state response is maximum.",6 slugs,1 slug,3 slugs,7 slugs,9 slugs,4 slugs,8 slugs,5 slugs,2 slugs,10 slugs,F,5,math,scibench-diff,,test,A spring is stretched 6 in by a mass that weighs $8 \mathrm{lb}$. The mass is attached to a dashpot mechanism that has a damping constant of $0.25 \mathrm{lb} \cdot \mathrm{s} / \mathrm{ft}$ and is acted on by an external force of $4 \cos 2 t \mathrm{lb}$.,"If the given mass is replaced by a mass $m$, determine the value of $m$ for which the amplitude of the steady state response is maximum.",What is the amplitude of the steady-state motion?,"With these physical parameters established, we formulate the equation of motion for the vertical displacement $x$ of the mass, which describes its subsequent behavior under the action of the spring force, damping force, and external driving force.",0.22,0.4,0.66,0.76,No
3834,"The discovery of the element argon by Lord Rayleigh and Sir William Ramsay had its origins in Rayleigh's measurements of the density of nitrogen with an eye toward accurate determination of its molar mass. Rayleigh prepared some samples of nitrogen by chemical reaction of nitrogencontaining compounds; under his standard conditions, a glass globe filled with this 'chemical nitrogen' had a mass of $2.2990 \mathrm{~g}$. He prepared other samples by removing oxygen, carbon dioxide, and water vapour from atmospheric air; under the same conditions, this 'atmospheric nitrogen' had a mass of $2.3102 \mathrm{~g}$ (Lord Rayleigh, Royal Institution Proceedings 14, 524 (1895)). With the hindsight of knowing accurate values for the molar masses of nitrogen and argon, compute the mole fraction of argon in the latter sample on the assumption that the former was pure nitrogen and the latter a mixture of nitrogen and argon.",0.022,0.011,0.003,0.030,0.008,0.025,0.040,0.015,0.018,0.005,B,1,chemistry,scibench-atkins,,test,"The discovery of the element argon by Lord Rayleigh and Sir William Ramsay had its origins in Rayleigh's measurements of the density of nitrogen with an eye toward accurate determination of its molar mass. Rayleigh prepared some samples of nitrogen by chemical reaction of nitrogencontaining compounds; under his standard conditions, a glass globe filled with this 'chemical nitrogen' had a mass of $2.2990 \mathrm{~g}$.","He prepared other samples by removing oxygen, carbon dioxide, and water vapour from atmospheric air; under the same conditions, this 'atmospheric nitrogen' had a mass of $2.3102 \mathrm{~g}$ (Lord Rayleigh, Royal Institution Proceedings 14, 524 (1895)). With the hindsight of knowing accurate values for the molar masses of nitrogen and argon, compute the mole fraction of argon in the latter sample on the assumption that the former was pure nitrogen and the latter a mixture of nitrogen and argon.","A. 18.015 g/mol
B. 28.014 g/mol
C. 39.948 g/mol
D. 44.01 g/mol","Following these initial preparations, the researchers pursued an investigation of the precise density characteristics to differentiate the nitrogen mixture from the remaining gases. Utilizing advanced analytical instruments, they measured the refractive index and electrical conductivity of the isolated samples under controlled environments, thereby establishing the fundamental parameters necessary to identify the new element.",0.15,0.04,0.57,0.6,No
8235,"A farmer wants to know whether a new fertilizer has increased the mean weight of his apples. With the old fertilizer, the mean weight was 4.0 ounces per apple. The farmer decides to test H0: μ = 4.0 ounces versus Ha : μ > 4.0 ounces, at a 5 percent level of significance, where μ = the mean weight of apples using the new fertilizer. The weights of apples are approximately normally distributed. The farmer takes a random sample of 16 apples and computes a mean of 4.3 ounces and a standard deviation of 0.6 ounces. Which of the following gives the p-value for this test?",P(Z > 2),P(Z < 2),P(Z > 2) with 16 degrees of freedom,P(t > 2) with 15 degrees of freedom,P(t < 2) with 15 degrees of freedom,P(Z < 1.5),P(Z > 1.5),P(t > 1.5) with 15 degrees of freedom,P(t < 2) with 16 degrees of freedom,P(t < 1.5) with 15 degrees of freedom,D,3,math,ori_mmlu-high_school_statistics,,test,"A farmer wants to know whether a new fertilizer has increased the mean weight of his apples. With the old fertilizer, the mean weight was 4.0 ounces per apple. The farmer decides to test H0: μ = 4.0 ounces versus Ha : μ > 4.0 ounces, at a 5 percent level of significance, where μ = the mean weight of apples using the new fertilizer. The weights of apples are approximately normally distributed.",The farmer takes a random sample of 16 apples and computes a mean of 4.3 ounces and a standard deviation of 0.6 ounces. Which of the following gives the p-value for this test?,"Based on the data provided, which of the following conclusions is valid?","The test statistic is calculated from the sample data and compared to the critical value determined by the significance level. We then decide whether to reject the null hypothesis, concluding whether the new fertilizer has indeed increased the mean weight of the apples compared to the old one.",0.17,0.21,0.73,0.77,No
