id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
5651,https://oltest.kz/tests/finansy_i_kredit/,"Social Science





","Finance, credit, insurance ",University,Russian,Finance (Professional & University in rus),"Способ уплаты налогов, при котором взимание осуществляется на основе описи или реестра, содержащего перечень типичных сведений об оценке и средней доходности объекта обложения
",кадастровый,"у источника выплаты
","на основе налогового уведомления
","по патенту
","по декларации
",A,test,"Способ уплаты налогов, при котором взимание осуществляется на основе описи или реестра, содержащего перечень","типичных сведений об оценке и средней доходности объекта обложения
","имущества налогоплательщика, называется","имущества налогоплательщика, называется **патентной системой** (или патентным сбором).

*Примечание: В классической экономической теории и налоговом праве этот термин чаще всего описывает **патентную систему** (патент), где налог взимается на основе описи имущества или вида деятельности, а не отчисляется с оборота или прибыли. Однако, если контекст строго исторический (например, речь о дореволюционной России), такой способ мог называться **реестровой системой** или **патентным обложением**.*

Если требуется наиболее точное завершение фразы в контексте стандартных определений:
...содержащего перечень **имущества, подлежащего обложению**.

Полное предложение:
**Способ уплаты налогов, при котором взимание осуществляется на основе описи или реестра, содержащего перечень имущества налогоплательщика, называется патентной системой.**",0.0,0.0,0.55,0.56
9539,https://ymnik.kz/tests_old/history_kz/?v=5,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Алтын Орданы құрған хан:,Орда Ежен.,Батыр.,Батый.,Баян.,Ежен.,C,test,Алтын Орданы,құрған хан:,құрамына кірген мемлекеттердің санын анықтаңыз.,Алтын Орданың тарихы мен құрылымын зерттеу.,0.0,0.0,0.44,0.41
8574,https://oltest.kz/tests/gosudarstvo_i_pravo/,"Social Science





","Jurisprudence, state and law",University,Russian,Jurisprudence (Professional & University in rus),"Оно устанавливается для оказания содействия ограниченно дееспособному лицу при осуществлении им своих прав и исполнении обязанностей:
","опека
","попечительство
","усыновление
","удочерение
","патронат
",B,test,Оно устанавливается для оказания содействия ограниченно дееспособному лицу при,"осуществлении им своих прав и исполнении обязанностей:
","осуществлении сделок, совершении которых оно не способно самостоятельно.","Оно устанавливается для оказания содействия ограниченно дееспособному лицу при совершении им сделок, а также для защиты его прав и законных интересов в отношениях с третьими лицами.",0.0,0.0,0.65,0.69
12042,https://itest.kz/kz/endless,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),Пайғамбарлар өмірінен алынған ғибратты әңгімелер мол кездесетін кітап,Ахмет Иасауи «Диуани хикмет»,Рабғузи «Қиса-сул-әнбиа»,Сәйф Сараи «Түрікше Гүлстан»,Махмұт Қашқари «Түркі сөздерінің жинағы»,,B,test,Пайғамбарлар өмірінен алынған ғибратты әңгімелер,мол кездесетін кітап,Пайғамбарлар өмірінен алынған ғибратты әңгімелер. 1. Мұхаммед пайғамбардың өмірінен алынған ғибратты әңгіме.,"Пайғамбарлар өмірінен алынған ғибратты әңгімелер – бұл тек тарихи деректер жиынтығы ғана емес, сонымен қатар адамзатқа мәңгілік сабақтар беретін рухани қазына. Әрбір пайғамбардың өмір жолында қиындықтар, сынақтар мен үлкен мақсаттарға жету жолындағы еңбектері сақталған. Олардың мысалы арқылы адамдарға төзімділік, шыншылдық, әділдік және Аллаға деген сенімділік туралы түсінік беріледі. Мысалы, Нұх пайғамбардың ғасырлар бойы халықты сабырмен насихаттауы, Ибраһим пайғамбардың отқа түсірілгендегі қажылысы немесе Мұса пайғамбардың қиындықтарға қарамастан халықты құтқаруы – бәрі де бізге үлкен ғибрат береді. Бұл әңгімелер арқылы өткеннің тәжірибесі бүгінгі ұрпаққа жетіп, оларға дұрыс жол таңдауға көмектеседі.",0.0,0.0,0.62,0.75
22461,https://ymnik.kz/tests_old/worldhistory/?v=71,Humanities,World_History,High School,Russian,World History (High School in rus),"Брест-Литовский мирный договор, подписанный 3 марта 1918 г., закреплял условия:",Выхода Финляндии из состава России,Присоединения Белоруссии к России,Выхода России из Первой мировой войны,Присоединения Литвы к России,Сотрудничества Временного правительства и Советов,C,test,"Брест-Литовский мирный договор, подписанный 3 марта","1918 г., закреплял условия:","1918 года, положил конец Первой мировой войне для России.","1918 года, положил конец Первой мировой войне для России и Германии.",1.0,1.0,0.74,0.74
20488,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),Комический образ героя-обывателя с убогой моралью и примитивным взглядом на окружающее создан в рассказах,М. А. Горького,М. А. Шолохова,А. А. Платонова,М. М. Зощенко,,D,test,Комический образ героя-обывателя с убогой моралью и примитивным,взглядом на окружающее создан в рассказах,"мировоззрением, созданный М. Зощенко, является одним из ярких примеров советской сатиры 1920-х годов.","мировоззрением, который часто становится объектом сатиры в русской литературе, особенно в произведениях Гоголя или Салтыкова-Щедрина. Этот тип героя, лишенный глубоких нравственных принципов и живущий по принципу «каждый сам за себя», служит автором для разоблачения пороков общества, где мелочность, жадность и пошлость превращаются в доминирующие черты характера. Через комическое преувеличение таких качеств писатели достигают серьезной социальной критики, заставляя читателя смеяться над абсурдом человеческих поступков, но при этом задумываться о трагизме духовной деградации.",0.0,0.0,0.56,0.67
13720,https://itest.kz/ru/endless,Humanities,Law,High School,Russian,Law (High School in rus),"Единственный орган, представляющий интересы государства в суде:",Конституционный Совет,Прокуратура,Министрество внутренних дел,Департамент Юстиции,,B,test,"Единственный орган, представляющий интересы",государства в суде:,Российской Федерации в Совете Федерации является,"Единственный орган, представляющий интересы **населения в сфере здравоохранения, — это Министерство здравоохранения Российской Федерации.**

*(Примечание: Данная фраза является неполным предложением, характерным для официальных документов или тестовых заданий. В зависимости от контекста, после слова «интересов» может следовать конкретная группа лиц, например: «интересов пациентов», «интересов граждан» или название конкретного ведомства. Приведенный выше вариант является наиболее вероятным завершением в контексте государственного управления РФ.)*",0.0,0.0,0.34,0.54
16594,https://oltest.kz/tests/medicina/,STEM,Medicine,University,Russian,Medicine (Professional & University in rus),"Укажите проводящие пути в составе боковых канатиков спинного мозга:
","вегетативные ядра ствола мозга
","клиновидный пучок
","преддверно-спинномозговой путь
","красноядерно-спинномозговой путь
","ретикулярно-спинномозговой путь
",D,test,Укажите проводящие пути в составе,"боковых канатиков спинного мозга:
",сердца человека.,сердца.,0.0,0.0,0.48,0.48
7453,https://ymnik.kz/tests_old/geography/?v=141,Social Science,Geography,High School,Russian,Geography (High School in rus),"В прессе часто сообщается об ущербе, который причиняет атмосферное загрязнение памятникам искусства. Этот процесс разрушения называется",физическим выветриванием.,денудацией,биологическим выветриванием,химическим выветриванием.,оледенением.,D,test,"В прессе часто сообщается об ущербе, который причиняет атмосферное загрязнение памятникам искусства.",Этот процесс разрушения называется,"В частности, в Венеции, где ежегодно посещают миллионы туристов, многие исторические здания и скульптуры подвергаются серьезному воздействию кислотных дождей и промышленных выбросов.","В прессе часто сообщается об ущербе, который причиняет атмосферное загрязнение памятникам искусства. Однако степень этого вреда сильно варьируется в зависимости от типа загрязняющих веществ, климатических условий региона и материалов, из которых выполнены памятники.",0.0,0.0,0.73,0.65
7073,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Оңтүстік Американы мекендейтін үндістер мен еуропалықтардың некелесуінен тараған ұрпақ,Мулаттар,Метистер,Креолдар,Самболар,,B,test,Оңтүстік Американы мекендейтін үндістер мен,еуропалықтардың некелесуінен тараған ұрпақ,Оңтүстік Американы мекендейтін үндістер мен африкалықтардың араласқан ұрпағына қандай атау беріледі?,"Оңтүстік Американы мекендейтін үндістер мен **бұрынғы еуропалықтардың, африкалықтардың және азиялықтардың ұрпақтары қазіргі күнге дейін осы аймақта өмір сүріп келеді.**

*(Бұл сөйлемнің толық нұсқасы: ""Оңтүстік Американы мекендейтін үндістер мен басқа этникалық топтардың араласуынан туған жаңа ұрпақ қалыптасты."")*

Егер бұл сұрақ нақты тарихи деректерге немесе белгілі бір мәтінге сілтеме жасаса, толығырақ ақпарат берсеңіз, дәлірек жауап бере аламын. Дегенмен, жалпы тарихи контексте бұл сөйлем әдетте **Оңтүстік Америка халқының этникалық құрамын** сипаттайды:

**Толық нұсқа (жазылым):**
Оңтүстік Американы мекендейтін үндістер мен **бұрынғы колонизаторлардың (еуропалықтардың, африкалықтардың) араласуынан туған метистер, мулаттар және креолдар қазіргі халықтың басым бөлігін құрайды.**",0.0,0.0,0.68,0.62
11904,https://itest.kz/kz/endless,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),І. Жансүгіровтің «Дала» поэмасының «Той бастау» тарауындағы көркемдік ерекшелікті табыңыз.,Символ,Гипербола,Градация,Аллегория,,C,test,І. Жансүгіровтің «Дала» поэмасының «Той бастау»,тарауындағы көркемдік ерекшелікті табыңыз.,бөлімінен үзінді.,"І. Жансүгіровтің «Дала» поэмасының «Той бастау» бөлімі.

Бұл бөлімде ақын даладағы тойдың қуанышты сәттерін, халықтың бірлігін және ұлттық дәстүрлерді суреттейді. Тойдың басталуымен қатар, елдің болашағына деген үміт пен мақсаттар да айқындалады.",0.0,0.0,0.67,0.81
4334,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),"Для сжигания 35 г циклоалкана с плотностью по азоту - 2,5 требуется воздух (объемная доля кислорода в воздухе 20%, н. у.) объемом",450 л,420 л,430 л,440 л,,B,test,"Для сжигания 35 г циклоалкана с плотностью по азоту - 2,5 требуется воздух (объемная доля кислорода в воздухе 20%, н. у.)",объемом,для полного окисления.,"Для решения задачи сначала определим молярную массу циклоалкана. Плотность по азоту ($\rho_{N_2}$) равна отношению молярной массы вещества ($M$) к молярной массы азота ($M_{N_2} = 28$ г/моль):
$$M = \rho_{N_2} \times M_{N_2} = 2,5 \times 28 = 70 \text{ г/моль}.$$

Общая формула циклоалканов — $C_nH_{2n}$. Составим уравнение для молярной массы:
$$12n + 2n = 70 \Rightarrow 14n = 70 \Rightarrow n = 5.$$
Таким образом, веществом является циклопентан ($C_5H_{10}$).

Найдем количество вещества циклопентана:
$$n(C_5H_{10}) = \frac{m}{M} = \frac{35}{70} = 0,5 \text{ моль}.$$

Запишем уравнение полного сгорания:
$$C_5H_{10} + 7,5O_2 \rightarrow 5CO_2 + 5H_2O.$$
Из уравнения следует, что для сжигания 1 моль циклопентана требуется 7,5 моль кислорода. Следовательно, для 0,5 моль вещества нужно:
$$n(O_2) = 0,5 \times 7,5 = 3,75 \text{ моль}.$$

Объем кислорода при н. у.:
$$V(O_2) = n \times 22,4 = 3,75 \times 22,4 = 84 \text{ л}.$$

Так как объемная доля кислорода в воздухе составляет 20% (0,2), объем воздуха равен:
$$V(воздуха) = \frac{V(O_2)}{0,2} = \frac{84}{0,2} = 420 \text{ л}.$$

**Ответ: 420 л.**",0.0,0.0,0.58,0.73
14322,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Өрнектің мәнін табыңыз: 0,9 · (4х + 3) – (1,6x – 0,3), мұндағы х = – 1.",3,5,4,1,,D,test,"Өрнектің мәнін табыңыз: 0,9 · (4х + 3) – (1,6x","– 0,3), мұндағы х = – 1.",+ 3),"– 3,2x + 3)",0.33,0.5,0.76,0.84
15451,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),Для функции \(y=cos(\frac{x}3+\frac{\pi}4)\) найдите точку максимума на промежутке \([0;6\pi]\).,"\(x=5,25 \pi\)",\(x=4 \pi\),"\(x=-6,5 \pi\)",\(x=\frac{ \pi}2\),,A,test,Для функции \(y=cos(\frac{x}3+\frac{\pi}4)\) найдите точку,максимума на промежутке \([0;6\pi]\).," пересечения графика функции с осью абсцисс, ближайшую к началу координат.",где функция принимает максимальное значение.,0.0,0.0,0.71,0.58
5061,https://oltest.kz/tests/ekonomika_i_predprinimatelstvo/,"Social Science





",Economics and Entrepreneurship ,University,Russian,Economics and Entrepreneurship (Professional in rus),"Согласно этому методу организации ремонта ремонтируемая часть машины после окончания ремонта устанавливается обратно на то же оборудование.
","Агрегатный
",Централизованный,"Узловой
","Индивидуальный
","Единичный
",D,test,Согласно этому методу организации ремонта ремонтируемая часть машины после окончания,"ремонта устанавливается обратно на то же оборудование.
",ремонта должна быть готова к эксплуатации без дополнительных проверок и испытаний.,"Согласно этому методу организации ремонта ремонтируемая часть машины после окончания **ремонтных работ должна быть полностью готова к эксплуатации, прошедшая все необходимые испытания и проверку качества, после чего она возвращается в состав действующего оборудования.**",0.0,0.0,0.65,0.65
5952,https://oltest.kz/tests/obshcheobrazovatelnye_discipliny/,Others,General education disciplines,University,Russian,General Education Disciplines (Professional & University in rus),"Первоначально система ХАССП использовалась для контроля качества и безопасности продуктов питания:
","в космической индустрии
","в металлургической индустрии
","в химической индустрии
","в легкой промышленности
","в пищевой промышленной
",A,test,Первоначально система ХАССП использовалась для контроля качества,"и безопасности продуктов питания:
",пищевых продуктов.,"продукции в пищевой промышленности, а со временем стала обязательным стандартом безопасности для всех предприятий, работающих с едой.",0.0,0.0,0.73,0.85
10983,https://ymnik.kz/tests_old/kazakh_kz/?v=33,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Түбір сөзді табыңыз.,Сана.,Көкте.,Дала.,Кешкі.,Сөйлес.,C,test,Түбір сөзді,табыңыз.,Түбір сөзді табу.,Түбір сөзді **бөліп алу** арқылы сөздің мағыналық ядросын анықтауға болады.,0.0,0.0,0.71,0.83
16340,https://itest.kz/ru/endless,Humanities,Math_Literacy,High School,Russian,Math Literacy (High School in rus),"У Аслана было 4 целых груши, 6 половинок да 8 четвертинок, сколько всего груш было у Аслана?",5,8,9,7,,C,test,"У Аслана было 4 целых груши, 6 половинок да 8","четвертинок, сколько всего груш было у Аслана?",четвертинок груш. Сколько всего груш было у Аслана?,четвертинок.,0.0,0.0,0.83,0.89
8569,https://oltest.kz/tests/gosudarstvo_i_pravo/,"Social Science





","Jurisprudence, state and law",University,Russian,Jurisprudence (Professional & University in rus),"Назовите нормы права, различающиеся по субъекту правотворчества и юридической силе:
","Нормы общего действия и нормы ограниченного действия
","Уголовно-правовые нормы, гражданско-правовые нормы
","Императивные, диспозитивные, поощрительные, рекомендательные
","Законодательные нормы и подзаконные нормы
","Нормы материальные и нормы процессуальные
",D,test,"Назовите нормы права, различающиеся по субъекту","правотворчества и юридической силе:
","это нормы, регулирующие общественные отношения, в которых участвуют государство и гражданин, а также нормы, регулирующие общественные отношения, в которых участвуют граждане и граждане.","Это нормы, регулирующие общественные отношения, в которых хотя бы одной из сторон является государство (или его органы, должностные лица). К таким нормам относятся:

1.  **Публично-правовые нормы** (нормы публичного права): регулируют отношения в сфере государственного управления, обороны, безопасности, а также отношения между государством и гражданами (например, административное, уголовное, конституционное право).
2.  **Нормы, содержащие императивные предписания**: часто характерны для публичного права, где субъект (государство) обладает властными полномочиями и может издавать обязательные для всех подчиненных лиц акты.

Таким образом, ключевым отличием является то, что в этих нормах одним из субъектов выступает **государство** (или публично-правовое образование), в отличие от частноправовых норм, где субъектами являются равные по статусу граждане или юридические лица.",0.0,0.0,0.56,0.57
22982,https://ymnik.kz/tests_old/worldhistory/?v=10,Humanities,World_History,High School,Russian,World History (High School in rus),"Контрреволюционный переворот в Англии, положивший конец республике и революции, произошел в:",1654 году,1650 году,1653 году,1656 году,1652 году,C,test,"Контрреволюционный переворот в Англии, положивший конец республике","и революции, произошел в:","и установивший монархию в 1660 году, называется","и восстановив на троне династию Стюартов, был осуществлен королем Карлом II в 1660 году после периода гражданской войны и правления Кромвеля.",0.0,0.0,0.64,0.61
20311,https://ymnik.kz/tests_old/literature/?v=14,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),Среди маленьких трагедий А.С. Пушкина нет:,«Моцарта и Сальери».,«Каменного гостя».,«Пиковой дамы».,«Скупого рыцаря».,«Пира во время чумы».,C,test,Среди маленьких трагедий А.С.,Пушкина нет:,Пушкина нет в списке.,"Пушкина есть одна, которая особенно трогает своей простотой и искренностью. Речь идет о трагедии маленькой девочки, которая потеряла своего кота. Для многих это может показаться мелочью, но для ребенка это целый мир, который рухнул в одно мгновение.",0.0,0.0,0.46,0.76
19026,https://itest.kz/ru/endless,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),"Репортаж, интервью, дебаты, очерк – это жанры",Публицистического стиля,Официально-делового стиля,Разговорного стиля,Художественного стиля,,A,test,"Репортаж, интервью, дебаты, очерк",– это жанры,— это жанры,"Репортаж, интервью, дебаты, очерк — жанры журналистики.",0.0,0.0,0.82,0.96
2327,https://ymnik.kz/tests_old/biology/?v=72,STEM,Biology,High School,Russian,Biology (High School in rus),Расщепление питательных веществ начинается в,Двенадцатиперстной кишке,Толстом кишечнике,Ротовой полости,Желудке,Тонком кишечнике,C,test,Расщепление питательных веществ,начинается в,происходит в митохондриях.,"Расщепление питательных веществ — это ключевой этап обмена веществ, в ходе которого сложные органические соединения (белки, жиры и углеводы), поступающие в организм с пищей, разлагаются на более простые молекулы. Этот процесс происходит преимущественно в желудочно-кишечном тракте под действием ферментов и соляной кислоты, что позволяет организму усвоить необходимые строительные блоки и энергию. Простые вещества затем всасываются в кровь и лимфу, доставляясь к клеткам, где происходит их дальнейшее окисление для получения жизненно важной энергии.",0.0,0.0,0.49,0.66
21913,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),Бірінші дүниежүзілік соғыстың Батыс майданында 1916 жылы болған негізгі шайқастар:,Седан жанындағы және Капоретте үшін шайқас,«Брусилов шабуылы» және Мазур өзеніндегі шайқас,Ипр мен Брюссельдегі шайқас,«Верден қырғыны» және Соммадағы шайқас,,D,test,Бірінші дүниежүзілік соғыстың Батыс майданында 1916,жылы болған негізгі шайқастар:,жылы Брусилов шабуылы басталды.,жылы Брусилов шабуылы басталды.,0.0,0.0,0.69,0.69
2139,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),Что происходит при гипотонии?,Недостаток гемоглобина в крови,Уменьшение эритроцитов в крови,Повышение давления крови,Понижение давления крови,,D,test,Что происходит,при гипотонии?,с космическим кораблем?,"Что происходит, когда мир вокруг меня начинает меняться? Когда привычные звуки уступают место тишине, а знакомые лица растворяются в тумане неопределенности? Я стою на пороге неизвестного, чувствуя, как сердце бьется чаще от страха и надежды одновременно. Вокруг всё ещё крутится хаос, но внутри меня рождается тихий голос, который шепчет: «Иди дальше». Что происходит дальше?",0.0,0.0,0.46,0.27
5739,https://oltest.kz/tests/finansy_i_kredit/,"Social Science





","Finance, credit, insurance ",University,Russian,Finance (Professional & University in rus),"Орган государственного регулирования финансового рынка, который несет ответственность за функционирование денежно-кредитной сферы:
","инновационный банк
","Национальный банк
","инвестиционный банк
","ипотечный банк
","коммерческий банк
",B,test,"Орган государственного регулирования финансового рынка, который несет","ответственность за функционирование денежно-кредитной сферы:
","ответственность за защиту прав и законных интересов инвесторов и потребителей финансовых услуг, а также за обеспечение прозрачности и стабильности финансового рынка, называется","ответственность за надзор за деятельностью участников финансового рынка и соблюдение ими законодательства в этой сфере, является Центральный банк Российской Федерации (Банк России).",0.0,0.0,0.65,0.62
